# WHAT THIS FILE CONTAINS: All 1036 model inputs in the exact order the estimator receives them: 1024 ECFP-4 fingerprint bits followed by 12 named physicochemical descriptors.
# WHAT IT IS USED FOR: Reading the feature matrix, and confirming that every endpoint shares one fixed representation.
# GENERATED FROM: src/brainsafe/features/featurize.py
position,feature,block,type,meaning
1,ecfp4_0,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
2,ecfp4_1,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
3,ecfp4_2,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
4,ecfp4_3,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
5,ecfp4_4,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
6,ecfp4_5,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
7,ecfp4_6,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
8,ecfp4_7,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
9,ecfp4_8,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
10,ecfp4_9,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
11,ecfp4_10,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
12,ecfp4_11,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
13,ecfp4_12,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
14,ecfp4_13,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
15,ecfp4_14,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
16,ecfp4_15,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
17,ecfp4_16,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
18,ecfp4_17,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
19,ecfp4_18,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
20,ecfp4_19,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
21,ecfp4_20,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
22,ecfp4_21,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
23,ecfp4_22,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
24,ecfp4_23,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
