# WHAT THIS FILE CONTAINS: Every one of 161,812 distinct training structures as a row, with the 12 named physicochemical descriptors as columns and a count of how many of the 1024 fingerprint bits it sets. 2 structures could not be parsed by RDKit and are absent.
# WHAT IT IS USED FOR: Seeing the chemical space the models were fitted over, at a width that opens in a spreadsheet.
# GENERATED FROM: data/endpoints/ featurised by src/brainsafe/features/featurize.py
smiles,ecfp4_bits_set,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,ring_count,heavy_atoms,formal_charge,qed
B.CP(c1ccccc1)c1ccc(O)cc1,20,216.22,2.4547,20.23,1.0,1.0,2.0,2.0,0.07692308,2.0,15.0,0.0,0.7643717
B.Oc1ccc(P(c2ccccc2)c2ccccc2)cc1,18,278.291,3.1504,20.23,1.0,1.0,3.0,3.0,0.0,3.0,20.0,0.0,0.72969085
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,65,616.015,-0.024,249.67,6.0,13.0,9.0,2.0,0.5833333,3.0,35.0,0.0,0.07119436
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(F)(F)P(=O)(O)O,65,583.105,-0.5626,249.67,6.0,13.0,9.0,2.0,0.5833333,3.0,35.0,0.0,0.09365411
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)CP(=O)(O)O,61,547.125,-1.1554,249.67,6.0,13.0,9.0,2.0,0.5833333,3.0,33.0,0.0,0.093778305
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,58,569.921,-0.7459,249.67,6.0,12.0,8.0,2.0,0.54545456,3.0,33.0,0.0,0.12989283
BP(=O)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)OP(=O)(O)CP(=O)(O)O,54,501.031,-1.8773,249.67,6.0,12.0,8.0,2.0,0.54545456,3.0,31.0,0.0,0.17112467
Bc1ccc(C(NC(=O)c2cc(-c3ccccc3Cl)n(-c3ccc(S(N)(=O)=O)cc3)n2)P(=O)(OCC)OCC)cc1,66,614.857,3.7932,142.61,2.0,7.0,11.0,4.0,0.18518518,4.0,41.0,0.0,0.19330838
Br.Br.CCCN(CCc1cc(O)c(CCN(CCC)[C@H]2CCc3c(O)cccc3C2)cc1O)[C@H]1CCc2c(O)cccc2C1,42,572.79,6.133,87.4,4.0,6.0,12.0,3.0,0.5,5.0,42.0,0.0,0.19535312
Br.Br.CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1,34,308.367,0.943,122.03,4.0,7.0,5.0,2.0,0.16666667,2.0,21.0,0.0,0.60630006
Br.Br.COc1ccc(CCNC(=N)SCCCc2c[nH]cn2)cc1,46,318.446,2.85117,73.79,3.0,4.0,8.0,2.0,0.375,2.0,22.0,0.0,0.39740425
Br.Br.COc1ccc(CNC(=N)SCCCc2c[nH]cn2)cc1,44,304.419,2.80867,73.79,3.0,4.0,7.0,2.0,0.33333334,2.0,21.0,0.0,0.41763672
