smiles,label,pchembl,year
Brc1cccc(Nc2nc3c(N4CCCC4)ncnc3s2)c1,1,6.61,2016.0
C#CC(C)(C)N1CCC[C@@H](c2nc3c4cccc(OC)c4nc(N)n3n2)C1,1,7.7,2020.0
C#CCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.88,2016.0
C#CCCCC(=O)Nc1nc2cccc(Cl)c2c2nc(-c3ccco3)nn12,1,7.29,2016.0
C#CCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.7,2016.0
C#CCCCCC(=O)NCCNC(=O)COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,1,7.12,2011.0
C#CCCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.82,2016.0
C#CCCCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.32,2016.0
C#CCCCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.32,2020.0
C#CCCCCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCCNC(=O)c5ccc(S(=O)(=O)F)cc5)c4[nH]3)(CC1)CC2,1,7.15,2021.0
C#CCCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.82,2020.0
C#CCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.7,2020.0
C#CCCCOc1cc(C)c2c(=O)c(-c3nc(C)cs3)coc2c1,1,7.6,2014.0
C#CCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.88,2020.0
C#CCN(CCCCCNc1nc(N)n2nc(-c3ccco3)nc2n1)C(=O)c1ccc(S(=O)(=O)F)cc1,1,8.41,2018.0
C#CCN1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1,1,6.1,2012.0
C#CCOc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,1,7.97,2017.0
C#CCOc1cccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)c1,1,8.29,2017.0
C#CCn1c(-c2cccc(OCCCCl)c2)nc2c1c(=O)n(CCC)c(=O)n2CCC,1,6.56,2022.0
C#CCn1c(=O)c2[nH]c(Cc3c(F)cccc3F)nc2n(Cc2ccco2)c1=O,1,6.34,2009.0
C#CCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O,1,6.35,2009.0
C#CCn1c(=O)c2c(nc(/C=C/c3cccc(OC)c3)n2C)n(CCCO)c1=O,1,8.27,2000.0
C#CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,1,7.02,2002.0
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCC2)n(C)c1=O,1,6.64,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCCCC2)n(C)c1=O,1,6.51,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCN(Cc3ccccc3)CC2)n(C)c1=O,1,6.2,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3CC2CCCCC2)n(C)c1=O,1,6.29,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(C)c1=O,1,6.46,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)cc2)n(C)c1=O,1,6.29,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2cccs2)n(C)c1=O,1,6.5,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccc(OC)c2)n(C)c1=O,1,6.49,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O,1,6.6,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2OC)n(C)c1=O,1,6.38,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccs2)n(C)c1=O,1,6.2,2013.0
C#CCn1c(=O)c2c(nc3n2CCCN3c2cccc(Br)c2)n(C)c1=O,1,6.55,2013.0
C#CCn1c(Br)nc2c(N)nc(C#CCCCCCC)nc21,1,9.25,2014.0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0,4.805,
C#Cc1cccc(-c2c(C#N)c(N)nc(N3CCCCC3)c2C#N)c1,1,8.0,2025.0
C=C(CCC)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,1,6.46,2014.0
C=C(OCC)c1cnc(NC(=O)NC2CCCCC2)n2nc(-c3ccco3)nc12,1,6.74,2014.0
C=C(c1ccccc1)c1cc2c(N)nc(-c3cccc(C#N)c3)nc2s1,1,7.2,2013.0
C=C(c1ccccc1)c1cc2c(N)nc(-c3nc(C)cs3)nc2s1,1,7.51,2013.0
C=CC(=O)Nc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,1,8.74,2019.0
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,1,7.0,2010.0
C=CCCOc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,1,7.84,2010.0
C=CCOc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,1,8.05,2010.0
C=CCn1c(=O)c2c(nc(Cc3c(F)cccc3F)n2C)n(Cc2ccco2)c1=O,1,6.42,2009.0
C=CCn1c(=O)c2c(nc(Cc3cccs3)n2C)n(Cc2ccco2)c1=O,1,6.51,2009.0
C=CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,1,6.79,2002.0
C=CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,1,10.8,2010.0
C=CCn1c(Br)nc2c(N)ncnc21,1,6.14,2009.0
C=CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,1,6.75,2000.0
C=Cn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,1,6.75,2009.0
C=Cn1ncc2c1nc(N)n1c(=O)n(CC3CC3)nc21,1,7.56,2011.0
C=Cn1ncc2c1nc(N)n1c(=O)n(Cc3cccc(Cl)c3)nc21,1,9.4,2011.0
C=Cn1ncc2c1nc(N)n1c(=O)n(Cc3ccccc3)nc21,1,9.52,2011.0
CC(/C=N/Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)Cc1ccc(C(C)C)cc1,1,8.53,2019.0
CC(=O)CCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,1,7.92,2013.0
CC(=O)COc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,1,9.1,2007.0
