smiles,label,pchembl,year
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],1,10.0,2023.0
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],1,9.4,2023.0
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],1,9.22,2023.0
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],1,8.15,2023.0
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,1,7.13,2019.0
Brc1ccc(-c2nnn3c2C2c4ccccc4CCN2Cc2ccccc2-3)cc1,1,6.6,2019.0
Brc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1.Cl,0,4.89,2019.0
Brc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(Br)cc2)cc1,1,6.14,2017.0
Brc1ccc(CN2CCN(c3nccc(NCc4ccccc4)n3)CC2)cc1,0,4.59,2011.0
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,1,6.88,2020.0
Brc1ccc(Cn2cc(CNC34CC5CC(CC(C5)C3)C4)nn2)cc1,1,7.04,2023.0
Brc1ccc(Cn2cc(CNC3CCCCCC3)nn2)cc1,1,6.21,2023.0
Brc1ccc([N+]2=Cc3ccccc3CC2)cc1.[Br-],0,4.98,2020.0
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,1,7.3,1994.0
Brc1cccc(-c2nnc3sc(-c4ccoc4)nn23)c1,1,6.46,2013.0
C#CC(C)(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],0,4.62,1989.0
C#CC(C)C(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],0,4.9,1989.0
C#CC(C)NCCc1cccc(OC(=O)N(C)C)c1,1,6.77,2002.0
C#CC(C)NCCc1cccc(OC(=O)N(C)CC)c1,0,4.86,2002.0
C#CC(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],0,4.92,1989.0
C#CC1(OC[n+]2ccn(C)c2/C=N/O)CCCC1.[Cl-],0,4.62,1989.0
C#CC1CCCCC1OC[n+]1ccn(C)c1/C=N/O.[Cl-],0,4.69,1989.0
C#CCC1CCCc2ccc(OC(=O)N(C)CC)cc21,0,4.28,2002.0
C#CCCCCCCCCCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,1,6.91,2023.0
C#CCCCC[n+]1ccccc1/C=N/O.[Cl-],0,4.21,1989.0
C#CCCCC[n+]1ccn(C(C)(C)C)c1/C=N/O.[Cl-],0,4.12,1989.0
C#CCCCC[n+]1cn(C)c(/C=N/O)n1.[Cl-],0,4.2,1989.0
C#CCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],0,4.55,1989.0
C#CCCCOc1ccc(-c2cc(=O)c3ccccc3o2)cc1CN1CCCCC1,1,6.2,2024.0
C#CCCOC[n+]1ccc(/C=N/O)cc1.[Cl-],0,4.01,1989.0
C#CCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],0,4.84,1989.0
C#CCCOC[n+]1ccn(C)c1C.[Cl-],0,4.57,1989.0
C#CCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,1,6.47,2023.0
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCC)c1,0,4.48,2002.0
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21.Cl,0,4.83,2002.0
C#CCN(C)C1CCc2ccc(OC(=O)N(C)C)cc21.Cl,0,4.89,2002.0
C#CCN(C)CCc1cccc(OC(=O)N(C)C)c1,1,6.07,2002.0
C#CCN(C)CCc1cccc(OC(=O)N(C)CC)c1,0,4.78,2002.0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,0,4.81,2014.0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,1,6.09,2011.0
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,1,6.28,2018.0
C#CCN(C)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,0,4.57,2009.0
C#CCN(C)Cc1ccc(OC(=O)N(C)C)c2ncccc12,1,6.28,2014.0
C#CCN(CC#C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,1,6.33,2023.0
C#CCN(CC)C1CCc2ccc(OC(=O)N(C)C)cc21.Cl,0,4.75,2002.0
C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)CCC1CCN(Cc2ccccc2)CC1,1,6.46,2016.0
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)C1CCN(Cc2ccccc2)CC1,0,4.19,2016.0
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1,1,7.68,2016.0
C#CCN1CCc2nc3nc(N4CCCC4)c(C#N)cc3c(N)c2C1,1,6.19,2012.0
C#CCNC(C)Cc1cccc(OC(=O)N(C)C)c1,1,6.27,2002.0
C#CCNC(C)Cc1cccc(OC(=O)N(C)CC)c1,0,4.47,2002.0
C#CCNC(C)Cc1cccc(OC(=O)N(C)CCC)c1,0,4.72,2002.0
C#CCNC(C)Cc1cccc(OC(=O)N(C)CCCC)c1,0,4.91,2002.0
C#CCNC1CCCc2ccc(OC(=O)N(C)CC)cc21,0,4.28,2019.0
C#CCNC1CCc2c(Cl)cc(OC(=O)N(C)CC)cc21.Cl,0,4.59,2002.0
C#CCNC1CCc2c(Cl)cc(OC(=O)N(C)CCC)cc21.Cl,0,4.36,2002.0
C#CCNC1CCc2c(OC(=O)N(C)C)cccc21,0,4.07,2022.0
C#CCNC1CCc2c(OC(=O)N(C)C)cccc21.Cl,1,7.28,2002.0
C#CCNC1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21,0,4.36,2019.0
C#CCNC1CCc2ccc(OC(=O)N(C)C3CCCCC3)cc21.Cl,0,4.38,2002.0
C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21.Cl,0,4.33,2002.0
C#CCNC1CCc2ccc(OC(=O)N(C)CCC)cc21.Cl,0,4.84,2002.0
C#CCNC1CCc2ccc(OC(=O)N(C)CCCC)cc21.Cl,0,4.95,2002.0
C#CCNC1CCc2ccc(OC(=O)N(C)CCCCCC)cc21.Cl,0,4.8,2002.0
C#CCNC1CCc2ccc(OC(=O)N(C)c3ccc(OC)cc3)cc21.Cl,1,6.07,2002.0
C#CCNC1CCc2ccc(OC(=O)N(C)c3ccccc3)cc21.Cl,1,6.26,2002.0
C#CCNC1CCc2ccc(OC(=O)N(CC)C3CCCCC3)cc21.Cl,0,4.75,2002.0
C#CCNC1CCc2ccc(OC(=O)N(CC)CCCC)cc21.Cl,0,4.14,2002.0
C#CCNC1CCc2ccc(OC(=O)NCC)cc21.Cl,0,4.86,2002.0
C#CCNC1CCc2cccc(OC(=O)N(C)CCC)c21.Cl,0,4.34,2002.0
C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,1,7.33,2017.0
C#CCNCCc1cccc(OC(=O)N(C)C)c1,1,6.66,2002.0
C#CCNCCc1cccc(OC(=O)N(C)CC)c1,0,4.52,2002.0
C#CCNCCc1cccc(OC(=O)N(C)CCC)c1,0,4.81,2002.0
C#CCN[C@@H]1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21,0,4.36,2008.0
C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,0,4.390000000000001,2008.0
C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21.Cl,0,4.5,2002.0
C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CCC)cc21.Cl,0,4.97,2002.0
C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CCCC)cc21.Cl,0,4.94,2002.0
C#CCN[C@@H]1CCc2ccccc21,1,7.72,2017.0
C#CCN[C@H]1CCc2ccc(OC(=O)N(C)CC)cc21.Cl,0,4.46,2002.0
C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1,8.03,2020.0
C#CCNc1c2c(nc3ccccc13)CCCC2,1,7.29,2020.0
C#CCNc1ccccc1-c1cc(-c2ccc(OCCN3CCCCC3)cc2)nc(N)n1,0,4.4,2024.0
C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,1,9.0,2018.0
C#CCOC[n+]1ccn(C)c1/C=N/O.[Cl-],0,4.66,1989.0
C#CCOP(C)(=O)OC(C(=O)OC)C(F)(F)F,0,4.36,2011.0
C#CCOP(C)(=O)OC(C(F)(F)F)C(F)(F)F,0,4.19,2011.0
C#CCOc1ccc(-c2cc(-c3ccc(OCCN4CCOCC4)cc3)nc(N)n2)cc1,1,7.52,2020.0
C#CCOc1cccc(-c2cc(-c3ccc(OCCN4CCOCC4)cc3)nc(C)n2)c1,1,8.02,2022.0
C(=C/C1CCN(Cc2ccccc2)CC1)\c1noc2ccccc12,1,6.68,1996.0
C(=C\C1CCN(Cc2ccccc2)CC1)\c1noc2ccccc12,1,6.68,1994.0
C(=C\C[n+]1ccc2ccccc2c1)\C[n+]1ccc2ccccc2c1.[Cl-].[Cl-],0,4.77,2011.0
C(=N/Nc1c2c(nc3ccccc13)CCCC2)\c1ccc(OCc2cn(-c3ccccc3)nn2)cc1.Cl,1,6.05,2019.0
C/C(=C/CC[C@H](CO)c1cc2cc(O)c(O)cc2o1)CO,0,4.54,2019.0
C/C(=C\C1=CCN(C(=O)CCc2ccccc2)C(=O)C1)N1C(=O)c2ccccc2C1=O,1,7.26,2021.0
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3=O)CO,0,4.51,2011.0
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C)C(=O)O,0,4.68,2011.0
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C)CO,0,4.57,2011.0
C/C(NCCCCNc1c2c(nc3ccccc13)CCCC2)=C(/N=N/c1ccc(C)cc1)C(=O)c1ccccc1,1,6.05,2024.0
C/C=C(\C)C(=O)NC1=CC[C@@]2(C)[C@@H](CC[C@H]3C4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1=O,0,4.86,2003.0
C/C=C(\C)C(=O)N[C@@H]1C=C2CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O,0,4.8,2003.0
C/C=C(\C)C(=O)N[C@@H]1[C@H](O)C2CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O,0,4.48,2003.0
C/C=C(\C)C(=O)N[C@@H]1[C@H](OC(C)=O)[C@@H]2CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O,0,4.21,2003.0
C/C=C(\C)C(=O)N[C@H]1C(OC(C)=O)C[C@@]2(C)C(CC[C@H]3C4CC=C([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)[C@H]1OC(C)=O,0,4.3,2003.0
C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)[C@H]1O,0,4.52,2003.0
C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32,0,4.53,2023.0
C/C=C1/C(=O)C[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](N(C)C)CC[C@@]45C[C@@]35CC[C@]12C,0,4.24,2010.0
C/C=C1/[C@@H]2Cc3[nH]c(=O)ccc3[C@@]1(N)C[C@]1(C)O[C@H]21,0,4.92,2014.0
C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,1,6.4,1996.0
C/C=C1\C2C=C(C)C[C@]1(C(=O)OC)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,1,8.19,2006.0
C/C=C1\C2C=C(C)C[C@]1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,1,7.8,2006.0
C/C=C1\C2C=C(C)C[C@]1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2(C)C,1,7.78,2006.0
C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/C(=C/c1ccccc1)CCCCC)c1ccc(=O)[nH]c1C2,1,7.29,2009.0
