smiles,label,pchembl,year
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,1,6.9,2019
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,1,6.19,2020
C#CCCOc1cnc(C(=O)Nc2cccc([C@]3(C)CCSC(N)=N3)c2)cn1,1,6.89,2013
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,1,6.34,2019
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)N2C,1,7.035,2009
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)O2,1,6.44,2009
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,1,7.77,2009
C#CCOc1ccc(C#Cc2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)nc1,1,6.79,2021
C#CCOc1ccc(C(=O)Nc2cc(F)c(Cl)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)nc1,1,8.22,2015
C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)nc1,1,8.905000000000001,2020
C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,1,7.57,2016
C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,1,7.46,2016
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,1,7.79,2015
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C)NC(=N)N(C)S(=O)(=O)C34CC4)c2)nc1,1,8.22,2017
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,1,7.56,2015
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CN(C)S(=O)(=O)C(C)(C)C(=N)N3)c2)nc1,1,7.82,2017
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,1,7.89,2016
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]34CCC[C@H]3S(=O)(=O)N(C)C(=N)N4)c2)nc1,1,8.52,2019
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]34COC[C@H]3S(=O)(=O)C(C)(C)C(=N)N4)c2)nc1,1,9.0,2016
