smiles,label,pchembl,year
Br.Br.CCCN(CCc1cc(O)c(CCN(CCC)[C@H]2CCc3c(O)cccc3C2)cc1O)[C@H]1CCc2c(O)cccc2C1,1,8.11,2023.0
Br.Br.COc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,1,8.0,2000.0
Br.C=CCN1CCc2c(cc(O)c(O)c2Br)C(c2ccccc2)C1,1,6.199999999999999,1991.0
Br.C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1,1,6.574999999999999,1991.0
Br.C=CCN1CCc2cc(O)c(O)cc2C(c2ccc(O)cc2)C1,1,6.6,1987.0
Br.CC(C1CC1)N1CCC(C2CCc3ccccc3C2=O)CC1,1,6.11,1994.0
Br.CCCN1C[C@H](c2ccc(O)cc2)C[C@@H]2c3cc(O)c(O)cc3CC[C@H]21,1,6.8,2012.0
Br.CN1CCC[C@@H]2Cc3c(O)cccc3C[C@H]21,1,7.6,2014.0
Br.CN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1,1,6.34,1991.0
Br.CN1CCc2ccccc2Cc2cc(O)c(O)cc2CC1,1,7.18,2006.0
Br.CN1CCc2ccccc2Cc2ccc(O)cc2CC1,1,7.615,2006.0
Br.COc1c(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,1,6.64,2000.0
Br.COc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,1,7.77,2000.0
Br.COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,1,8.3,2000.0
Br.COc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,1,6.12,2000.0
Br.COc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,1,8.15,2000.0
Br.COc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,1,6.77,2000.0
Br.COc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,1,8.3,2000.0
Br.Cc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,1,6.89,2000.0
Br.Cc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,1,7.17,2000.0
Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,1,7.22,2000.0
Br.Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(C)c1,1,7.175,2000.0
Br.Cc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(C)c1,1,7.35,2000.0
Br.Cc1cccc(-c2c(O)c(O)cc3c2CCN(C)CC3c2cccc(C)c2)c1,1,6.68,2008.0
Br.Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3-c2ccc3ccccc3c2)c1,1,7.54,2008.0
Br.Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,1,7.5,2000.0
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,1,7.03,2000.0
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,1,6.61,2000.0
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,1,6.68,2000.0
Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,1,6.84,2000.0
Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1Cl,1,8.7,2000.0
Br.Clc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,1,8.3,2000.0
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,1,6.7,2000.0
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3cccc(Cl)c3)CC2)cc1,1,7.25,2000.0
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3Cl)CC2)cc1,1,7.89,2000.0
Br.O=C1c2ccccc2CCC1C1CCN(CCc2ccccc2)CC1,1,6.22,1994.0
Br.O=c1[nH]c2cccc(N3C[C@H]4C[C@@H]3CN4CC3CCc4[nH]c5ccc(F)cc5c4C3)c2o1,1,7.92,2009.0
Br.Oc1cc2c(c(Br)c1O)CCNCC2c1ccccc1,1,6.555,1991.0
Br.Oc1ccc([C@H]2CN[C@@H]3CCc4cc(O)c(O)cc4[C@H]3C2)cc1,1,6.31,2012.0
Br.Oc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,1,7.92,2000.0
Br.c1ccc(N2CCN(CCCCCNC3=Nc4ccccc4OC3)CC2)cc1,1,7.03,1997.0
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,1,7.33,1998.0
Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,1,7.300000000000001,2015.0
Brc1ccc(NCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1,1,6.04,2015.0
Brc1ccc2c(c1)C1CN(Cc3ccccc3)CC1CO2,1,6.8,1999.0
Brc1cccc(N2CCN(Cc3cc4ccccn4n3)CC2)n1,1,6.16,2008.0
Brc1cccc(N2CCN(Cc3cnn4ccccc34)CC2)n1,1,6.75,2008.0
C#CC(C#C)=C1CCC(N(CCC)CCC)CC1,0,4.92,2000.0
C#CC1=CCC(N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,1,7.385,2008.0
C#CC1=CCC(N(CCC)CCCCn2cc(-c3ccc(-c4ccccc4)cc3)nn2)CC1,1,6.49,2008.0
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cc3ccccc3s2)CC1,1,7.8,2013.0
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cc3ccccn3n2)CC1,1,7.18,2013.0
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,1,7.74,2013.0
