smiles,label,pchembl,year
Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,1,7.92,2024.0
Br.Cc1cccc(-c2c(O)c(O)cc3c2CCN(C)CC3c2cccc(C)c2)c1,1,6.92,2008.0
Br.Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3-c2ccc3ccccc3c2)c1,1,7.37,2008.0
Br.Oc1cc2c(c(-c3ccc4ccccc4c3)c1O)CCNCC2c1ccccc1,1,6.43,2008.0
Brc1ccc2[nH]nc(C3=CCCNC3)c2c1,1,6.72,2024.0
Brc1ccc2c(c1)[C@H]1O[C@H](Cn3oc4ccc(-c5ccccc5)cc43)C[C@H]1c1ccccc1O2,1,6.51,2005.0
Brc1ccc2c(c1)[C@H]1O[C@H](Cn3oc4ccc(CN5CCOCC5)cc43)C[C@H]1c1ccccc1O2,1,6.72,2005.0
Brc1ccc2c(c1)[C@H]1O[C@H](Cn3oc4ccc(N5CCOCC5)cc43)C[C@H]1c1ccccc1O2,1,6.51,2005.0
Brc1ccc2c(c1)c1c3n2CCN(Cc2ccccc2)C3CCC1,0,4.6,2015.0
Brc1ccc2c3c1CCN3CCNC2,1,6.52,2020.0
Brc1cncc2c1CC[C@@H]1CNCCN21,1,7.14,2020.0
C#CC(O)C(=O)N(CC)CCN1CCC(c2noc3cc(F)ccc23)CC1,1,8.66,2022.0
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,0,4.55,2015.0
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cn(CCCC)nn3)c(OC)c2)CO1,0,4.85,2015.0
C#CCCCSc1cc(OC)c(CCN)cc1OC.Cl,1,8.67,2024.0
C#CCN(C)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,1,9.14,2024.0
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4S(=O)(=O)c3ccccc3)CC2)cc1,1,6.38,2020.0
C#CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,1,9.26,2024.0
C#CCOCCOCCOc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,1,7.25,2018.0
C#CCOc1c(OC)cc2c3c1-c1cc(N)ccc1CC3N(C)CC2,1,6.42,2020.0
C#CCOc1ccc(Cl)cc1[C@H]1C[C@@H]1CN.Cl,1,6.0,2015.0
C#CCSc1cc(OC)c(CCN)cc1OC.Cl,1,9.030000000000001,2024.0
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1,6.715,
C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1,1,7.11,2014.0
C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3coc4ccccc34)CC2)CC1,1,7.91,2014.0
C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,1,7.64,2013.0
C/C=C/Cc1ccnc2c1CC[C@@H]1CNCCN21,1,8.3,2020.0
C1=C(CCN2CCc3ccccc3C2)CCc2ccccc21,1,6.01,2016.0
C1=C(N2CCNCC2)c2nccn2Cc2ccccc21,1,8.1,2010.0
C1=C(c2c(-c3ccccc3)[nH]c3ccccc23)CCNC1,1,7.3,2013.0
C1=C(c2c[nH]c3cccc(-c4ccccc4)c23)CNCC1,1,6.45,2023.0
C1=C(c2c[nH]c3ccccc23)CCN(Cc2ccco2)C1,1,6.76,2019.0
C1=C(c2c[nH]c3cnccc23)CNCC1,1,6.82,2023.0
C1=C(c2n[nH]c3ccccc23)CNCC1,1,6.49,2024.0
C1=CC2CNCCN3C[C@@H]4CCC[C@@H]4C(=C1)C23,1,6.83,2020.0
C=C(C)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN.Cl,1,6.04,2015.0
C=C(C)COc1ccc2occc2c1[C@H]1C[C@@H]1CN.Cl,1,6.585,2016.0
C=C(CN1CCN(C2=Cc3ccccc3Cn3ccnc32)CC1)C(=O)O,1,6.7,2010.0
C=C(F)COc1ccc2occc2c1[C@H]1C[C@@H]1CN.Cl,1,6.45,2016.0
C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,1,6.32,2016.0
C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,1,6.14,2016.0
C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,1,6.39,2016.0
C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,1,6.61,2016.0
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,1,6.66,2013.0
C=CCN(CC=C)CCc1c[nH]c2ccccc12,1,6.15,2016.0
C=CCN1C[C@H](C(=O)N[C@H](C)CC)C=C2c3cccc4[nH]cc(c34)C[C@H]21,1,8.77,2025.0
C=CCN[C@@H](C)Cn1ccc2ccc3ncccc3c21,1,6.025,2006.0
C=CCOc1c(OC)cc2c3c1-c1cc(N(C)C)ccc1CC3N(C)CC2,1,6.5,2020.0
C=CCOc1c(OC)cc2c3c1-c1cc(N)ccc1CC3N(C)CC2,1,6.63,2020.0
C=CCOc1c(OC)cc2c3c1-c1cc(NC(=O)CCC)ccc1CC3N(C)CC2,1,6.35,2020.0
