smiles,label,pchembl,year
Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1,9.11,2013.0
Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,1,7.76,2024.0
Br.O=c1[nH]c2cccc(N3C[C@H]4C[C@@H]3CN4CC3CCc4[nH]c5ccc(F)cc5c4C3)c2o1,1,6.34,2009.0
Brc1ccc(N2CCN(CCCCOc3ccc4ccccc4c3)CC2)cc1,0,4.97,2018.0
Brc1ccc(N2CCN(CCCOc3ccc4ccccc4c3)CC2)cc1,1,6.08,2018.0
Brc1ccc(OC2Cc3ccccc3C2)c(OC2CNC2)c1,1,7.38,2018.0
Brc1ccc(OCCc2ccccc2)c(OC2CNC2)c1,1,7.22,2018.0
Brc1ccc(OCc2ccccc2)c(OC2CNC2)c1,1,7.32,2018.0
Brc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,1,8.97,2021.0
Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,1,6.0,1980.0
Brc1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c1,1,6.87,2011.0
Brc1ccccc1CC(c1ccccc1)N1CCNCC1,1,7.82,2006.0
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,1,8.0,2013.0
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,1,6.085,
C#CCN(C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN)C1CC1,1,6.8,2008.0
C#CCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,1,7.47,2008.0
C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,1,6.84,2008.0
C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,1,7.6,2008.0
C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,1,7.31,2008.0
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,1,7.58,2008.0
