name,smiles,max_phase,atc,disease
NICOTINE,CN1CCC[C@H]1c1cccnc1,4.0,N07BA01,Other CNS
AMPHETAMINE,CC(N)Cc1ccccc1,4.0,N06BA01,Cognition/ADHD
MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,4.0,N06AX03,Depression
IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.0,N06AA02,Depression
DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.0,N05BA01,Anxiety
CARBACHOL,C[N+](C)(C)CCOC(N)=O.[Cl-],4.0,N07AB01;S01EB02,Other CNS
PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,4.0,N03AB02;N03AB52,Epilepsy
CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,4.0,N06AA04,Depression
FENCAMFAMIN,CCNC1C2CCC(C2)C1c1ccccc1,2.0,N06BA06,Cognition/ADHD
ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,4.0,A01AD05;B01AC06;N02BA01;N02BA51;N02BA71,CNS (other)
TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.0,N05AB06,Psychosis
SULPIRIDE,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,4.0,N05AL01,Psychosis
THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,4.0,N01AF03;N05CA19,CNS (other)
CYCLOBARBITAL,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,4.0,N05CA10,CNS (other)
ERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,4.0,N02CA02;N02CA52;N02CA72,CNS (other)
METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.0,N01AF01;N05CA15,CNS (other)
PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4.0,N03AA02,Epilepsy
FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.0,N06AB03,Depression
BARBITAL,CCC1(CC)C(=O)NC(=O)NC1=O,4.0,N05CA04,CNS (other)
CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.0,N05AH02,Psychosis
NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21,4.0,N06AA10,Depression
SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,4.0,N05CA06,CNS (other)
PENTOBARBITAL,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4.0,N05CA01,CNS (other)
AMOBARBITAL,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,4.0,N05CA02,CNS (other)
HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,4.0,N01AF02;N05CA16,CNS (other)
