endpoint,label_definition,n,pos,pos_rate,scaffold_AUROC,MCC,balanced_acc
AChE,deployed (>=6 / <5),4324,3098,0.716,0.915,0.624,0.835
AChE,strict (>=6.5 / <5.5),4533,2297,0.507,0.927,0.687,0.843
AChE,sharp boundary (>=6 / <6),6194,3098,0.5,0.865,0.553,0.775
AChE,high-potency (>=7 / <5),2833,1607,0.567,0.947,0.75,0.878
MAO_B,deployed (>=6 / <5),3455,2254,0.652,0.884,0.602,0.807
MAO_B,strict (>=6.5 / <5.5),3575,1574,0.44,0.883,0.607,0.805
MAO_B,sharp boundary (>=6 / <6),4933,2254,0.457,0.825,0.479,0.74
MAO_B,high-potency (>=7 / <5),2218,1017,0.459,0.914,0.67,0.835
hERG,deployed (>=6 / <5),5905,2451,0.415,0.901,0.626,0.817
hERG,strict (>=6.5 / <5.5),7895,1302,0.165,0.907,0.55,0.822
hERG,sharp boundary (>=6 / <6),11093,2451,0.221,0.827,0.424,0.75
hERG,high-potency (>=7 / <5),4181,727,0.174,0.936,0.68,0.865
BACE1,deployed (>=6 / <5),8067,7303,0.905,0.95,0.607,0.888
BACE1,strict (>=6.5 / <5.5),7693,6126,0.796,0.938,0.678,0.87
BACE1,sharp boundary (>=6 / <6),10022,7303,0.729,0.887,0.573,0.806
BACE1,high-potency (>=7 / <5),5500,4736,0.861,0.969,0.738,0.917
