endpoint,standard_type,n_activities,fraction
AChE,IC50,7274,0.888
AChE,Ki,665,0.081
AChE,Kd,204,0.025
AChE,EC50,46,0.006
BChE,IC50,4270,0.925
BChE,Ki,337,0.073
BChE,Kd,6,0.001
BChE,EC50,3,0.001
BACE1,IC50,12721,0.814
BACE1,Ki,2534,0.162
BACE1,EC50,299,0.019
BACE1,Kd,72,0.005
GSK3B,IC50,3994,0.493
GSK3B,EC50,2695,0.333
GSK3B,Ki,1269,0.157
GSK3B,Kd,144,0.018
MAO_B,IC50,5777,0.89
MAO_B,Ki,686,0.106
MAO_B,EC50,20,0.003
MAO_B,Kd,9,0.001
MAO_A,IC50,3687,0.855
MAO_A,Ki,622,0.144
MAO_A,EC50,1,0.0
hERG,IC50,11707,0.851
hERG,Ki,1812,0.132
hERG,EC50,200,0.015
hERG,Kd,45,0.003
