endpoint,split,threshold,precision,recall,f1,AUROC,PR_AUC,n_test,pos_rate_test
A2A,temporal,@0.3,0.981,1.0,0.99,0.92,0.996,1057,0.977
A2A,temporal,@0.5,0.986,0.999,0.992,0.92,0.996,1057,0.977
A2A,temporal,@0.7,0.987,0.997,0.992,0.92,0.996,1057,0.977
A2A,temporal,@youden,0.997,0.973,0.985,0.92,0.996,1057,0.977
A2A,scaffold_holdout,@0.3,0.98,0.999,0.989,0.931,0.998,1696,0.973
A2A,scaffold_holdout,@0.5,0.981,0.996,0.989,0.931,0.998,1696,0.973
A2A,scaffold_holdout,@0.7,0.984,0.99,0.987,0.931,0.998,1696,0.973
A2A,scaffold_holdout,@youden,0.994,0.925,0.959,0.931,0.998,1696,0.973
AChE,temporal,@0.3,0.742,0.963,0.838,0.784,0.897,848,0.699
AChE,temporal,@0.5,0.806,0.86,0.832,0.784,0.897,848,0.699
AChE,temporal,@0.7,0.862,0.568,0.685,0.784,0.897,848,0.699
AChE,temporal,@youden,0.835,0.74,0.785,0.784,0.897,848,0.699
AChE,scaffold_holdout,@0.3,0.8,0.981,0.881,0.884,0.944,1183,0.71
AChE,scaffold_holdout,@0.5,0.878,0.887,0.882,0.884,0.944,1183,0.71
AChE,scaffold_holdout,@0.7,0.934,0.676,0.785,0.884,0.944,1183,0.71
AChE,scaffold_holdout,@youden,0.909,0.833,0.87,0.884,0.944,1183,0.71
BACE1,temporal,@0.3,0.949,0.967,0.958,0.915,0.991,1604,0.933
BACE1,temporal,@0.5,0.966,0.945,0.955,0.915,0.991,1604,0.933
BACE1,temporal,@0.7,0.982,0.926,0.954,0.915,0.991,1604,0.933
BACE1,temporal,@youden,0.993,0.886,0.936,0.915,0.991,1604,0.933
BACE1,scaffold_holdout,@0.3,0.947,0.992,0.969,0.924,0.991,2334,0.907
BACE1,scaffold_holdout,@0.5,0.958,0.981,0.969,0.924,0.991,2334,0.907
BACE1,scaffold_holdout,@0.7,0.97,0.94,0.955,0.924,0.991,2334,0.907
BACE1,scaffold_holdout,@youden,0.98,0.894,0.935,0.924,0.991,2334,0.907
BBB,scaffold_holdout,@0.3,0.799,0.941,0.865,0.944,0.955,1529,0.545
BBB,scaffold_holdout,@0.5,0.87,0.898,0.884,0.944,0.955,1529,0.545
BBB,scaffold_holdout,@0.7,0.937,0.788,0.856,0.944,0.955,1529,0.545
BBB,scaffold_holdout,@youden,0.87,0.902,0.886,0.944,0.955,1529,0.545
BChE,temporal,@0.3,0.888,0.892,0.89,0.794,0.946,527,0.827
BChE,temporal,@0.5,0.912,0.739,0.816,0.794,0.946,527,0.827
BChE,temporal,@0.7,0.955,0.482,0.64,0.794,0.946,527,0.827
BChE,temporal,@youden,0.917,0.789,0.848,0.794,0.946,527,0.827
BChE,scaffold_holdout,@0.3,0.914,0.969,0.941,0.965,0.988,602,0.746
BChE,scaffold_holdout,@0.5,0.946,0.904,0.925,0.965,0.988,602,0.746
BChE,scaffold_holdout,@0.7,0.986,0.804,0.886,0.965,0.988,602,0.746
BChE,scaffold_holdout,@youden,0.964,0.891,0.926,0.965,0.988,602,0.746
D2,temporal,@0.3,0.962,1.0,0.981,0.727,0.983,1397,0.96
D2,temporal,@0.5,0.962,1.0,0.981,0.727,0.983,1397,0.96
D2,temporal,@0.7,0.962,0.993,0.977,0.727,0.983,1397,0.96
D2,temporal,@youden,0.98,0.704,0.819,0.727,0.983,1397,0.96
D2,scaffold_holdout,@0.3,0.964,0.998,0.981,0.883,0.994,2015,0.962
D2,scaffold_holdout,@0.5,0.966,0.995,0.98,0.883,0.994,2015,0.962
D2,scaffold_holdout,@0.7,0.968,0.987,0.977,0.883,0.994,2015,0.962
D2,scaffold_holdout,@youden,0.989,0.847,0.912,0.883,0.994,2015,0.962
GSK3B,temporal,@0.3,0.933,0.997,0.964,0.658,0.96,418,0.928
GSK3B,temporal,@0.5,0.937,0.992,0.964,0.658,0.96,418,0.928
GSK3B,temporal,@0.7,0.935,0.972,0.953,0.658,0.96,418,0.928
GSK3B,temporal,@youden,0.957,0.74,0.834,0.658,0.96,418,0.928
GSK3B,scaffold_holdout,@0.3,0.943,0.995,0.968,0.918,0.991,1037,0.916
GSK3B,scaffold_holdout,@0.5,0.948,0.988,0.968,0.918,0.991,1037,0.916
GSK3B,scaffold_holdout,@0.7,0.959,0.951,0.955,0.918,0.991,1037,0.916
GSK3B,scaffold_holdout,@youden,0.989,0.791,0.879,0.918,0.991,1037,0.916
HT2A,temporal,@0.3,0.968,1.0,0.984,0.736,0.986,901,0.968
HT2A,temporal,@0.5,0.968,1.0,0.984,0.736,0.986,901,0.968
HT2A,temporal,@0.7,0.968,1.0,0.984,0.736,0.986,901,0.968
HT2A,temporal,@youden,0.99,0.69,0.814,0.736,0.986,901,0.968
HT2A,scaffold_holdout,@0.3,0.985,1.0,0.992,0.894,0.998,928,0.985
HT2A,scaffold_holdout,@0.5,0.986,1.0,0.993,0.894,0.998,928,0.985
HT2A,scaffold_holdout,@0.7,0.986,0.999,0.992,0.894,0.998,928,0.985
HT2A,scaffold_holdout,@youden,1.0,0.698,0.822,0.894,0.998,928,0.985
MAO_A,temporal,@0.3,0.523,0.619,0.567,0.614,0.549,449,0.45
MAO_A,temporal,@0.5,0.556,0.322,0.408,0.614,0.549,449,0.45
MAO_A,temporal,@0.7,0.619,0.064,0.117,0.614,0.549,449,0.45
MAO_A,temporal,@youden,0.523,0.777,0.625,0.614,0.549,449,0.45
MAO_A,scaffold_holdout,@0.3,0.664,0.79,0.722,0.867,0.823,638,0.365
MAO_A,scaffold_holdout,@0.5,0.802,0.627,0.704,0.867,0.823,638,0.365
MAO_A,scaffold_holdout,@0.7,0.957,0.382,0.546,0.867,0.823,638,0.365
MAO_A,scaffold_holdout,@youden,0.667,0.815,0.734,0.867,0.823,638,0.365
MAO_B,temporal,@0.3,0.754,0.92,0.829,0.758,0.887,756,0.709
