smiles,label,pchembl,year,source
Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,1,6.56,2024,ChEMBL
Br.c1ccc2c(c1)CCN(CCCc1nc3ccccc3s1)C2,1,7.43,2016,ChEMBL
Brc1ccc2c(c1)c1c3n2CCN(Cc2ccccc2)C3CCC1,0,4.91,2015,ChEMBL
Brc1ccc2c(ccn2CCN2CCN3CCCCC3C2)c1,1,6.8,2002,ChEMBL
Brc1ccc2ccn(CCN3CCCN(C4CC4)CC3)c2c1,1,7.8,2002,ChEMBL
Brc1ccc2ccn(CCN3CCCN(C4CCCC4)CC3)c2c1,1,8.0,2002,ChEMBL
Brc1ccc2ccn(CCN3CCCN(C4CCCCC4)CC3)c2c1,1,7.77,2002,ChEMBL
Brc1ccc2ccn(CCN3CCCN(CC4CC4)CC3)c2c1,1,8.05,2002,ChEMBL
Brc1ccc2ccn(CCN3CCCN4CCCCC4C3)c2c1,1,8.52,2003,ChEMBL
Brc1ccc2ccn(CCN3CCN4CCCCC4C3)c2c1,1,7.16,2002,ChEMBL
C#CC(O)C(=O)N(CC)CCN1CCC(c2noc3cc(F)ccc23)CC1,1,8.0,2022,ChEMBL
C#CCOc1c(OC)cc2c3c1-c1cc(NC(=O)CCC)ccc1CC3N(C)CC2,1,6.34,2020,ChEMBL
C#CCOc1c(OC)cc2c3c1-c1cc(NC(N)=O)ccc1CC3N(C)CC2,1,6.91,2020,ChEMBL
C#CCOc1c(OC)cc2c3c1-c1cc(NS(C)(=O)=O)ccc1CC3N(C)CC2,1,7.51,2020,ChEMBL
C#Cc1ccc2ccn(CCN3CCCN(C)CC3)c2c1,1,6.85,2002,ChEMBL
C1=C(CCN2CCc3ccccc3C2)CCc2ccccc21,1,7.1850000000000005,2016,ChEMBL
C1=C(CCN2CCc3ccccc3C2)Cc2ccccc21,1,6.88,2016,ChEMBL
C1=C(c2ccccc2)CCN(Cc2cn(-c3ccccc3)c3ccccc23)C1.O=C(O)/C=C/C(=O)O,1,7.04,2014,ChEMBL
C=C(C)c1ccc2ccn(CCN3CCCN(C)CC3)c2c1,1,7.16,2002,ChEMBL
C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,1,7.31,2016,ChEMBL
C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,1,6.81,2016,ChEMBL
