smiles,label,pchembl,year,source
Brc1ccc2[nH]c3c(ccc4cc[nH]c43)c2c1,1,6.36,2013.0,ChEMBL
Brc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)s1,1,6.4,2016.0,ChEMBL
C#Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,1,10.24,2016.0,ChEMBL
C1=Nc2c(sc3ccc(-c4ccccc4)cc23)CN1,1,9.0,2024.0,ChEMBL
C=C(C)c1cn([C@@H]2[C@H](N)C[C@H](c3ccncc3NC(=O)c3ccc(F)c(-c4c(F)cccc4F)n3)C[C@@H]2C)nn1,1,8.69,2015.0,ChEMBL
C=C1CCNCC1Oc1cncc(-c2n[nH]c3ccc(-c4c(F)cccc4F)cc23)n1,1,8.4,2015.0,ChEMBL
C=Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,1,10.01,2016.0,ChEMBL
CC#Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,1,10.59,2016.0,ChEMBL
CC(=O)N[C@@H]1[C@H](N)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H]1C,1,9.04,2015.0,ChEMBL
CC(=O)N[C@@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H]1C,1,7.8,2015.0,ChEMBL
CC(=O)N[C@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H]1C,1,7.35,2015.0,ChEMBL
CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1C,1,6.82,2013.0,ChEMBL
CC(=O)Nc1cccc(CNc2nnc(-c3ccc4[nH]cc(-c5ccccc5F)c4c3)s2)c1,1,6.51,2016.0,ChEMBL
CC(=O)Nc1nc(C(=O)Nc2ccccc2N2CCCCC2)cs1,1,6.64,2016.0,ChEMBL
CC(=O)Nc1nc(C(=O)Nc2ccncc2N2CCCCC2)cs1,1,6.85,2013.0,ChEMBL
CC(=O)Nc1nc(C(=O)Nc2cnccc2N2CCCCC2)cs1,1,6.66,2013.0,ChEMBL
