smiles,label,pchembl,year,source
OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,1,7.022,2002.0,BindingDB+ChEMBL
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,0,4.2,2011.0,ChEMBL
CN1C2CCC1C(C(=O)Oc1ccccc1)C(c1ccc(Cl)cc1)C2,1,6.409,2004.0,BindingDB+ChEMBL
CN1Cc2ccccc2C(c2ccc3[nH]ccc3c2)C1,1,6.839,2014.0,BindingDB+ChEMBL
COc1cc(-c2cn([C@H]3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,1,7.62,2021.0,ChEMBL
COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,1,7.497,2015.0,BindingDB+ChEMBL
CN(C)Cc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,1,7.77,2008.0,ChEMBL
Fc1ccc(C(OCCN2CCN(CCc3ccccc3)CC2)c2ccc(F)cc2)cc1,1,7.44,2008.0,ChEMBL
CSc1ccc(Oc2ccncc2CN(C)C)cc1Cl,1,8.301,2008.0,BindingDB+ChEMBL
c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)nc1,1,7.278,2008.0,BindingDB+ChEMBL
CNCCC(Oc1cccc2ccccc12)c1ccccc1C,1,8.7,2003.0,ChEMBL
CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4[nH]c5ccc(Cl)cc5c4c3)CC2)c2ccccc21,1,7.0,2012.0,BindingDB+ChEMBL
CCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,1,6.74,2010.0,ChEMBL
FC(F)(F)c1ccccc1OC(c1cccnc1)C1CCNCC1,1,7.112,2009.0,BindingDB+ChEMBL
Cc1ccc(C(=O)C(C)NC(C)(C)C)cc1Cl,1,6.04,2009.0,ChEMBL
O=C(C1CC1)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,1,7.42,2008.0,ChEMBL
CNC[C@H](c1ccc2ccccc2c1)[C@H](OCc1nc(C)no1)c1ccccc1,1,9.15,2018.0,ChEMBL
COC(=O)C1C(c2ccc(/C=C\I)cc2)CC2CCC1N2C,1,9.96,2004.0,ChEMBL
CSc1ccccc1C(=O)N(C1CCCCC1)[C@H]1CCNC1,1,7.798,2009.0,BindingDB+ChEMBL
CC(C)C(C)[C@]1(c2ccc3ccccc3c2)CC[C@](C)(O)CC1,1,7.75,2016.0,ChEMBL
CN1C2CCC1[C@@H](C(=O)OCCCCCn1ccnn1)[C@@H](c1ccc(Cl)cc1)C2,1,7.7,2009.0,ChEMBL
O=C1c2cc(CCN3CCC(Cc4ccc(Br)c(OCCO)c4)CC3)ccc2OCC1O,1,7.747,2014.0,BindingDB+ChEMBL
CC(C)(C)[C@H](O)[C@@H](CN)c1ccc2ccccc2c1,1,8.21,1998.0,ChEMBL
Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5)CC3)cccc2n1,1,7.4,2009.0,BindingDB+ChEMBL
CN(C)CCC(Oc1ccc(Cl)cc1)c1ccc(OCCCN2CCCCC2)cc1,1,7.8,2007.0,ChEMBL
C=CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,1,6.569,2008.0,BindingDB+ChEMBL
OC1(c2ccc(Cl)cc2)c2ccc3ccccc3c2C2=NCCCN21,1,8.26,2002.0,BindingDB+ChEMBL
CCOc1ccc([C@@]23CCC(=O)C[C@@H]2N(C)CC3)cc1OCC1CC1,1,7.699,,BindingDB
CNCc1ccccc1Oc1ccc(C)c(C)c1,1,7.891,2008.0,BindingDB+ChEMBL
O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCCc2c[nH]c3ccccc23)CC1,1,7.601,2016.0,BindingDB+ChEMBL
CNC(C)C1(c2ccc3ccccc3c2)CCC(O)CC1,1,6.545,2020.0,ChEMBL
CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCO)c1,1,7.3,2006.0,ChEMBL
C=C(Cc1ccccc1)CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1,6.37,2008.0,ChEMBL
CNC(=O)c1ccc(N2CCN(Cc3cc4cnn5c4c(c3F)NC(=O)[C@H]5C)CC2)c(Cl)n1,1,7.92,2024.0,ChEMBL
CCOC(=O)Cc1nn(CNC(=O)CCN2CCN(c3cccc(C)c3C)CC2)c(=O)c2cc(F)ccc12,1,6.85,2020.0,BindingDB+ChEMBL
Fc1cccc(Oc2ccccc2N2CCC3(CC2)CNCCO3)c1,1,6.24,2018.0,ChEMBL
Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(=O)n(C)n2)C3=O)ccc2c1COC2=O,0,4.98,2017.0,ChEMBL
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc(N2CCN(CCCCc3c[nH]c4ccccc34)CC2)cc1,1,6.55,2022.0,ChEMBL
