smiles,label,pchembl,year,source
CN1CCN(c2c3c(nc4ccc([N+](=O)[O-])cc24)CCCC3)CC1,1,6.78,2022.0,BindingDB+ChEMBL
CN(C)CCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,0,4.69,2014.0,ChEMBL
Cc1occc1-c1nn2c(-c3cccnc3)nnc2s1,0,4.23,2014.0,ChEMBL
CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],0,4.4,2023.0,ChEMBL
O=C(CNCc1ccccc1F)Nc1ccc2nc3n(c(=O)c2c1)CCC3,1,6.968,2017.0,BindingDB+ChEMBL
CCN(CC)c1ccc(/C=C/c2cc(N3CCCCC3)c3ccccc3n2)cc1,1,6.7,2018.0,ChEMBL
S=C(NNc1c2c(nc3ccccc13)CCCC2)Nc1ccccc1,1,6.13,2019.0,ChEMBL
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc([N+](=O)[O-])cc3)CC1)C2,0,4.07,2016.0,ChEMBL
Cc1c(N2CCN(C)CC2)nc2ccccc2c1C(=O)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,1,7.4,2005.0,ChEMBL
COc1ccc(OCc2nn3c(-c4ccncc4)nnc3s2)cc1,0,4.42,2014.0,ChEMBL
O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,0,4.11,2019.0,ChEMBL
COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2,1,7.854,,BindingDB
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1,7.407,1995.0,BindingDB+ChEMBL
Clc1ccccc1-n1cc(-c2ccccc2)nn1,0,4.38,2014.0,ChEMBL
NC(=S)NNC=C1C(=O)NC(=O)NC1=O,0,4.25,2013.0,ChEMBL
N[C@@H](Cn1cc(-c2ccccc2)nn1)C(=O)NCC1CCN(Cc2ccccc2)CC1,1,8.002,2019.0,BindingDB+ChEMBL
COC(=O)c1c(O)cccc1CCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1,8.368,2021.0,BindingDB+ChEMBL
O=C(/C=C/c1ccccc1)c1ccccc1O,0,4.08,2014.0,ChEMBL
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3C(F)(F)F)CC1)C2,0,4.38,2016.0,ChEMBL
CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCNc3c4c(nc5ccccc35)CCCC4)cc12,1,7.238,2014.0,BindingDB+ChEMBL
N#CC1=C(N)N2CCNC2=C([N+](=O)[O-])C12C(=O)c1ccc(Br)c3c(Br)ccc2c13,0,4.58,2016.0,ChEMBL
c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,1,6.32,2001.0,ChEMBL
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,0,4.83,2022.0,ChEMBL
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCNc1c3c(nc4ccccc14)CCCC3)O2,1,7.69,2015.0,ChEMBL
CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,1,6.289,1997.0,BindingDB+ChEMBL
C=CC[C@H]1NC[C@@H](O)[C@H](OCc2ccccc2)[C@H]1O,0,4.21,2015.0,ChEMBL
CCN(CCCCCC=Nc1c(O)c(Br)c(NCCCCCCN(CC)Cc2ccccc2OC)c(O)c1Br)Cc1ccccc1OC,1,6.157,,BindingDB
O=C(CC(c1ccccc1)c1ccccc1)NC[C@H](O)CNCC1CCCCC1,1,7.157,2023.0,BindingDB+ChEMBL
O=C(CC(c1ccccc1)c1ccccc1)NC[C@@H](O)CNCC1CCCCC1,1,7.4,2023.0,ChEMBL
O=C(CC(c1ccccc1)c1ccccc1)NCC(O)CNCC1CCCCC1,1,7.16,2023.0,ChEMBL
Cc1ccc(NC(=O)N2c3ccccc3Sc3ccccc32)cc1,0,4.92,2010.0,ChEMBL
CN1CCN(c2cccc(NC(=O)Cn3c(-c4nonc4N)nc4ccccc43)c2)CC1,1,6.919,2024.0,BindingDB+ChEMBL
Nc1nonc1-c1nc2ccccc2n1CC(=O)Nc1ccc([N+](=O)[O-])c(Br)c1,1,6.14,2022.0,ChEMBL
CCN(CCCCCCN1CCN(CCCCCCN(CC)Cc2ccccc2OC)C1=O)Cc1ccccc1OC,1,6.059,2008.0,BindingDB+ChEMBL
Cc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1,0,4.39,2008.0,ChEMBL
CN1c2ccccc2C(NCCCCCCC(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)c2ccc(Cl)cc2S1(=O)=O,1,7.93,2016.0,BindingDB+ChEMBL
Cc1ccc(CN2CCC(CC(=O)NCCc3c[nH]c4ccccc34)CC2)cc1,1,6.54,2016.0,ChEMBL
