smiles,label,pchembl,year,source
Bc1ccc(C(NC(=O)c2cc(-c3ccccc3Cl)n(-c3ccc(S(N)(=O)=O)cc3)n2)P(=O)(OCC)OCC)cc1,1,6.55,2022.0,ChEMBL
Br.CSc1nc2ccccc2n1-c1csc(=N)n1CC(=O)c1ccccc1,1,6.75,2020.0,ChEMBL
Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccncc3)o2)cc1,0,4.41,2014.0,ChEMBL
Brc1ccc(-c2nnc(CSc3nnc(-c4ccncc4)o3)o2)cc1,1,7.28,2019.0,ChEMBL
Brc1ccc(/C=N/Nc2nnc(-c3ccncc3)o2)cc1,1,6.96,2019.0,ChEMBL
Brc1ccc(OCCOc2nc3ccccc3s2)c(Br)c1,1,6.44,2020.0,ChEMBL
Brc1ccc(OCCOc2nc3ccccc3s2)cc1,1,6.3,2020.0,ChEMBL
C#CCCCC(=O)Nc1ccc(C(=O)c2ccc(NCc3ccc(-c4ccc(O)c(C(=O)O)c4)o3)cc2)cc1.N,0,4.44,2022.0,ChEMBL
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,7.0,1998.0,ChEMBL
C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,1,7.82,1998.0,ChEMBL
C#CCOc1ccc(/C=C2\SC(=O)NC2=O)cc1,1,6.48,2019.0,ChEMBL
C#CCOc1ccc(/C=C2\SC(=S)NC2=O)cc1,1,6.92,2019.0,ChEMBL
C#CCSc1ccccc1OC(C)=O,0,4.6,1998.0,ChEMBL
C#CCSc1nc2ccccc2c(=O)n1-c1ccc(Br)cc1,1,6.75,2018.0,ChEMBL
C#CCSc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1,1,6.41,2018.0,ChEMBL
C#CCSc1nc2ccccc2c(=O)n1-c1ccc(OC)cc1,1,6.36,2018.0,ChEMBL
C#CCSc1nc2ccccc2c(=O)n1-c1ccccc1,1,6.57,2018.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,4.55,2023.0,ChEMBL
C#Cc1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,1,7.58,2010.0,ChEMBL
C#Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,1,7.37,2010.0,ChEMBL
C#Cc1ccc2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,1,7.14,2010.0,ChEMBL
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)C(C)c4ccc5cc(OC)ccc5c4)c(OCCOC)cc23)c1,0,4.64,2015.0,ChEMBL
C(=N/Nc1nnc(-c2ccncc2)o1)\c1ccccc1,1,6.37,2019.0,ChEMBL
C/C(=C(\c1ccccc1)c1ccc(NS(C)(=O)=O)cc1)c1ccccc1,0,4.48,2013.0,ChEMBL
C/C(=C/C(=O)Nc1nccs1)Nc1ccc(Cl)cc1,1,7.05,2022.0,ChEMBL
C/C(=C/C(=O)Nc1nccs1)Nc1ccccc1,1,7.05,2022.0,ChEMBL
C/C(=C/Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O)COC(=O)/C=C/c1ccc(O)cc1,0,4.42,2002.0,ChEMBL
C/C(=C1/SC(N=C(N)N)=NC1=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0,4.92,1999.0,ChEMBL
C/C(=C\Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O)COC(=O)/C=C/c1ccc(O)cc1,0,4.82,2002.0,ChEMBL
C/C(=C\c1ccc(C(F)(F)F)cc1)c1ccc(O)cc1,1,6.33,2009.0,ChEMBL
C/C(=N/OCc1ccccc1Nc1c(Cl)cccc1Cl)C(=O)O,1,7.0,2007.0,ChEMBL
C/C(=N\N=C1\CC(C)C(=O)N1C)c1cc2ccccc2oc1=O,1,6.41,2018.0,ChEMBL
C/C(=N\N=C1\CCC(=O)N1C)c1cc2ccccc2oc1=O,1,6.51,2018.0,ChEMBL
C/C(=N\NC(N)=O)c1nnn(-c2ccc(C(=O)O)cc2)c1C,1,6.54,2020.0,ChEMBL
C/C(=N\NC(N)=O)c1nnn(-c2ccc(Cl)cc2)c1C,1,6.5,2020.0,ChEMBL
C/C(=N\NC(N)=O)c1nnn(-c2ccc(F)cc2)c1C,1,6.57,2020.0,ChEMBL
C/C(=N\NC(N)=O)c1nnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,1,6.47,2020.0,ChEMBL
C/C(=N\NC(N)=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,1,6.38,2020.0,ChEMBL
C/C(=N\NC(N)=S)c1nnn(-c2ccc(C(=O)O)cc2)c1C,1,7.3,2020.0,ChEMBL
C/C(=N\NC(N)=S)c1nnn(-c2ccc(Cl)cc2)c1C,1,6.62,2020.0,ChEMBL
C/C(=N\NC(N)=S)c1nnn(-c2ccc(F)cc2)c1C,1,7.16,2020.0,ChEMBL
C/C(=N\NC(N)=S)c1nnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,1,7.3,2020.0,ChEMBL
C/C(=N\NC(N)=S)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,1,7.3,2020.0,ChEMBL
C/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(C(=O)O)cc2)c1C,1,7.16,2020.0,ChEMBL
C/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(Cl)cc2)c1C,1,7.22,2020.0,ChEMBL
C/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(F)cc2)c1C,1,7.3,2020.0,ChEMBL
C/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,1,7.4,2020.0,ChEMBL
C/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,1,7.4,2020.0,ChEMBL
C/C=C/c1cncc(-c2ccc(C(C)C(=O)O)cc2)c1,1,6.17,1999.0,ChEMBL
C/C=C1\SC(=O)N(CNc2nc(-c3cc(Cl)cs3)c(Nc3ccc(S(N)(=O)=O)cc3)s2)C1=O,1,7.09,2025.0,ChEMBL
C=C1C(=O)O[C@@H]2C3O[C@]3(C)CC/C=C(\C)CC[C@@H]12,1,6.1,2005.0,ChEMBL
C=C1C(=O)O[C@@H]2C[C@@]3(C)C=CC(=O)C(=C)[C@@H]3C[C@H]12,1,6.4,2005.0,ChEMBL
C=C1C(=O)O[C@H]2[C@H]1[C@H](OC(=O)[C@@]1(C)O[C@H]1C)[C@@H](OC(C)=O)/C(C(=O)OC)=C\CC[C@@]1(C)O[C@H]21,1,6.22,2005.0,ChEMBL
C=C1C(=O)O[C@H]2[C@H]1[C@H](OC(=O)[C@]1(C)O[C@@H]1C)[C@@H](OC(C)=O)/C(C(=O)O)=C\[C@H]1O[C@H]1[C@]1(C)O[C@H]21,1,6.4,2005.0,ChEMBL
C=C1C(O)CCC2C1(C)CCC(C)C2(C)CCC1=CC(=O)OC1O,1,7.89,2021.0,ChEMBL
C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,1,8.66,1996.0,ChEMBL
C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,1,8.92,1996.0,ChEMBL
C=C1CCCC2C1(C)CCC(C)C2(C)CCC1=CC(=O)OC1O,1,8.07,2021.0,ChEMBL
C=C1c2nc3ccccc3n2CC(c2ccc(S(C)(=O)=O)cc2)N1c1cc(OC)c(OC)c(OC)c1,1,6.96,2020.0,ChEMBL
C=C1c2nc3ccccc3n2CC(c2ccc(S(C)(=O)=O)cc2)N1c1ccc(C)cc1,1,7.16,2020.0,ChEMBL
C=CCONC1=NC(=O)/C(=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)O1,0,4.58,1999.0,ChEMBL
C=CCOc1c(OC)c(OC)cc2oc(C)cc(=O)c12,0,4.67,2011.0,ChEMBL
C=CCOc1c(OC)cc2oc(C)cc(=O)c2c1O,0,4.74,2011.0,ChEMBL
C=CCOc1cc2oc(C)cc(=O)c2c(O)c1OCC=C,0,4.87,2011.0,ChEMBL
C=CCc1cccc(-c2ccc(C(C)C(=O)O)cc2)c1,1,6.82,1999.0,ChEMBL
C=CCn1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1C(F)(F)F,1,7.12,1997.0,ChEMBL
