smiles,label,pchembl,year,source
C#Cc1cc(F)cc(C(=O)NC[C@@H]2C[C@H]3CC[C@@H](C2)N3CC(=O)NC(C)(C)C)c1,1,7.35,2018,ChEMBL
C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,1,6.0,2018,ChEMBL
C=C(NC[C@@H]1C[C@H]2CC[C@@H](C1)N2CC(=O)NC(C)(C)C)C12CC3CC(CC(C3)C1)C2,1,7.31,2018,ChEMBL
C=Cc1c(C(=O)NCc2ccccc2OCC(F)(F)F)nn(-c2ccccc2)c1-c1ccccc1,1,6.07,2017,ChEMBL
CC(=O)NC[C@@H]1C[C@H]2CC[C@@H](C1)N2CC(=O)NC(C)(C)C,1,7.0,2018,ChEMBL
CC(C(=O)Nc1ccn(Cc2ccc(F)cc2)n1)c1ccc(N(C)C)cc1,1,7.36,2017,ChEMBL
CC(C)(C#N)c1ccc(CC(=O)Nc2cnn(Cc3ccc(C#N)c(F)c3)n2)cc1,1,7.51,2019,ChEMBL
CC(C)(C)CCC(=O)NC[C@@H]1C[C@H]2CC[C@@H](C1)N2CC(=O)NC(C)(C)C,1,7.19,2018,ChEMBL
CC(C)(C)CCN1CC2C(CNC(=O)c3cc(Cl)cc(Cl)c3)C2C1,1,6.51,2016,ChEMBL
CC(C)(C)CNC(=O)C[C@H]1C[C@H]2CC[C@@H](C1)N2CC(=O)NC(C)(C)C,1,7.14,2018,ChEMBL
CC(C)(C)CS(=O)(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,1,6.05,2013,ChEMBL
CC(C)(C)NC(=O)CN1CC(Cc2nc3c(C(F)(F)F)cc(C(F)(F)F)cc3[nH]2)C1,1,6.84,2017,ChEMBL
CC(C)(C)NC(=O)CN1CCC(CNC(=O)c2cc(F)cc(Cl)c2)CC1,1,7.14,2023,ChEMBL
CC(C)(C)NC(=O)CN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,1,6.0,2013,ChEMBL
CC(C)(C)NC(=O)CN1[C@@H]2CC[C@H]1C[C@@H](CC(=O)NC13CC4CC(CC(C4)C1)C3)C2,1,7.18,2018,ChEMBL
CC(C)(C)NC(=O)CN1[C@@H]2CC[C@H]1C[C@@H](CC(=O)NC13CC4CC(CC1C4)C3)C2,1,7.31,2018,ChEMBL
CC(C)(C)NC(=O)CN1[C@@H]2CC[C@H]1C[C@@H](CNC(=O)C13CC4CC(CC(C4)C1)C3)C2,1,7.36,2018,ChEMBL
CC(C)(C)NC(=O)CN1[C@@H]2CC[C@H]1C[C@H](CC(=O)NC13CC4CC(CC(C4)C1)C3)C2,1,7.115,2018,ChEMBL
CC(C)(C)NC(=O)CN1[C@@H]2CC[C@H]1C[C@H](CC(=O)Nc1cccc(Cl)c1)C2,1,7.17,2018,ChEMBL
