smiles,label,pchembl,year,source
Brc1ccc(C2=C(c3cc(-c4ccccc4)no3)C3CCC(C2)S3)cc1,1,6.9,2011.0,ChEMBL
Brc1ccc(N2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,1,6.04,2016.0,ChEMBL
Brc1ccc([C@@H]2CC3CCC(S3)C2c2cc(-c3ccccc3)no2)cc1,1,6.62,2011.0,ChEMBL
Brc1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c1,1,6.7,2011.0,ChEMBL
C#CCC(C(=O)c1ccc(C)cc1)N1CCCC1,1,6.14,2006.0,ChEMBL
C#CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,1,6.21,2006.0,ChEMBL
C#CCN1[C@H]2CC[C@@H]1[C@@H](C(=O)OC)[C@@H](c1ccc(I)cc1)C2,1,7.85,2012.0,ChEMBL
C#C[C@H]1[C@@H](c2ccc(C)cc2)C[C@@H]2CC[C@H]1N2C.Cl,1,7.96,2008.0,ChEMBL
C#C[C@H]1[C@@H](c2ccc(Cl)cc2)C[C@@H]2CC[C@H]1N2C.Cl,1,8.44,2008.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,0,4.6,2023.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0,4.9,2023.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1,6.175,2023.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0,4.7,2023.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,4.57,2023.0,ChEMBL
C#Cc1ccc(C2CN3CCCC3c3ccccc32)cc1,1,8.28,2018.0,ChEMBL
C#Cc1ccc([C@@H]2CN3CCC[C@@H]3c3ccccc32)cc1,1,8.8,2018.0,ChEMBL
C#Cc1ccc([C@@H]2C[C@H]3CC[C@@H](N3)[C@H]2C(=O)OC)cc1,1,8.65,2007.0,ChEMBL
C#Cc1ccc([C@H]2CN3CCC[C@H]3c3ccccc32)cc1,1,7.13,2018.0,ChEMBL
C(=C/c1ccccc1)\CN1CCN(CCn2nnnc2C(c2ccccc2)c2ccccc2)CC1,1,6.03,2017.0,ChEMBL
C/C=C/C1=C(c2ccc(Cl)c(Cl)c2)CCCC1,0,4.67,2007.0,ChEMBL
C/C=C/CN1[C@H]2CC[C@@H]1[C@@H](C(=O)OC)[C@@H](c1ccc(I)cc1)C2,1,7.82,2012.0,ChEMBL
