smiles,label,pchembl,year,source
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,0,4.91,2010,ChEMBL
C=C(C)c1c(C)sc2nc(CN(CC)c3ccc(F)cc3)cc(=O)n12,0,4.63,2016,ChEMBL
CC(=O)Nc1cccc(-c2ccc3c(c2)CC(NS(=O)(=O)C(C)C)C3)c1,0,4.7,2010,ChEMBL
CC(=O)c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,0,4.5,2011,ChEMBL
CC(=O)c1cccc(-c2ccc([C@H]3COC[C@H]3NS(=O)(=O)C(C)C)cc2)c1,1,7.0,2010,ChEMBL
CC(C(=O)N1CCCC1)c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,0,4.6,2011,ChEMBL
CC(C)(C)c1ccc(-c2c(C(=O)O)sc(C(F)(F)F)c2C#N)cc1,1,6.875,2006,ChEMBL
CC(C)(C)c1ccc(-c2c(C(=O)O)sc(S(C)(=O)=O)c2C#N)cc1,1,6.11,2006,ChEMBL
CC(C)/C=C(/C[C@H](N)C(=O)O)C(=O)O,0,4.35,2000,ChEMBL
CC(C)N1C[C@H](NS(=O)(=O)C(C)C)[C@@H](c2ccc(-c3ccc(C#N)cc3)cc2)C1,0,4.7,2010,ChEMBL
CC(C)Oc1ccc(-c2nnn[nH]2)c(O[C@H]2CC[C@H]3CN[C@H](C(=O)O)C[C@H]3C2)c1.Cl,0,4.92,2013,ChEMBL
CC(C)S(=O)(=O)NC1CCc2cc(Cn3cc(CO)c(C(F)(F)F)n3)ccc21,1,7.0,2011,ChEMBL
CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccc(CN4CCCC4=O)c3)cc2C1,0,4.9,2010,ChEMBL
CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccc(CN4CCCS4(=O)=O)c3)cc2C1,1,6.4,2010,ChEMBL
CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccc(NS(C)(=O)=O)c3)cc2C1,1,6.1,2010,ChEMBL
CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccnc3)cc2C1,0,4.8,2010,ChEMBL
CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccnc3F)cc2C1,0,4.8,2010,ChEMBL
CC(C)S(=O)(=O)NC1Cc2ccc(-c3cncc(C#N)c3)cc2C1,0,4.2,2010,ChEMBL
CC(C)S(=O)(=O)NC[C@H](C)c1ccc(NC(=O)c2cc(F)cc(F)c2)cc1,1,6.4,2010,ChEMBL
CC(C)S(=O)(=O)N[C@@H]1CCC[C@@H]1c1ccc(Br)cc1,1,6.28,2010,ChEMBL
CC(C)S(=O)(=O)N[C@@H]1COC[C@@H]1c1ccc(-c2ccc(C#N)cc2)cc1,1,6.3,2010,ChEMBL
CC(C)S(=O)(=O)N[C@@H]1COC[C@@H]1c1ccc(-c2ccc(F)cn2)cc1,1,6.52,2010,ChEMBL
CC(C)S(=O)(=O)N[C@@H]1COC[C@@H]1c1ccc(-c2ccc(F)nc2)cc1,1,6.52,2010,ChEMBL
CC(C)S(=O)(=O)N[C@@H]1COC[C@@H]1c1ccc(-c2cccs2)cc1,1,6.52,2010,ChEMBL
