smiles,label,pchembl,year,source
Brc1cc2c(s1)CCC(NCCCCc1ccccc1)CC2,1,7.64,2020,ChEMBL
Brc1cc2c(s1)CCC(NCCCc1ccccc1)CC2,1,7.89,2020,ChEMBL
C(#Cc1ccc2[nH]ncc2c1)CN1CCC(Cc2ccccc2)CC1,1,7.96,2023,ChEMBL
C(#Cc1ccc2cn[nH]c2c1)CN1CCC(Cc2ccccc2)CC1,1,7.28,2023,ChEMBL
C(=C/c1ccc2[nH]ncc2c1)\CN1CCC(Cc2ccccc2)CC1,1,8.18,2023,ChEMBL
C(=C\c1ccc2[nH]ncc2c1)\CN1CCC(Cc2ccccc2)CC1,1,6.92,2023,ChEMBL
C1=C(c2ccco2)CC2(CCN(Cc3ccccc3)CC2)OC1,1,6.81,2025,ChEMBL
C1=C(c2ccco2)CCOC12CCN(Cc1ccccc1)CC2,1,6.85,2025,ChEMBL
C=CCC1(O)CCOC2(CCN(Cc3ccccc3)CC2)C1,1,6.59,2025,ChEMBL
CC(=O)CCn1ccc2ncc(-c3ccc(F)cc3)cc21,1,7.9,2019,ChEMBL
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,0,4.34,2018,ChEMBL
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,0,4.42,2018,ChEMBL
CC(=O)c1ccc(N2CCN(CCC(=O)Nc3nc4c(C)cccc4s3)CC2)cc1,1,6.73,2022,ChEMBL
CC(C(=O)c1ccc(O)c(F)c1)N1C[C@H]2CC(Cc3ccccc3)C[C@H]2C1,1,7.11,2018,ChEMBL
CC(C(=O)c1ccc(O)cc1)N1C[C@@H]2C[C@@](O)(CCc3ccccc3)C[C@@H]2C1,1,6.3,2018,ChEMBL
CC(C(=O)c1ccc(O)cc1)N1C[C@@H]2C[C@@](O)(Cc3ccccc3)C[C@@H]2C1,1,7.0,2018,ChEMBL
CC(C(=O)c1ccc(O)cc1)N1C[C@@H]2C[C@](F)(Cc3ccccc3)C[C@@H]2C1,1,6.55,2018,ChEMBL
CC(C(=O)c1ccc(O)cc1)N1C[C@H]2CC(CCc3ccccc3)C[C@H]2C1,1,6.27,2018,ChEMBL
CC(C(=O)c1ccc(O)cc1)N1C[C@H]2CC(Cc3ccccc3)C[C@H]2C1,1,6.9,2018,ChEMBL
CC(C(=O)c1ccc(O)cc1)N1C[C@H]2C[C@@H](CCc3ccccc3)C[C@H]2C1,1,6.72,2018,ChEMBL
CC(C(=O)c1ccc(O)cn1)N1C[C@H]2CC(Cc3ccccc3)C[C@H]2C1,1,6.1,2018,ChEMBL
CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,1,8.0,2023,ChEMBL
CC(C(O)c1ccc(O)cc1)N1C[C@@H]2C[C@@](O)(c3ccc(C(C)(C)C)cc3)C[C@@H]2C1,0,4.98,2018,ChEMBL
CC(C(O)c1ccc(O)cc1)N1C[C@@H]2C[C@](F)(Cc3ccccc3)C[C@@H]2C1,0,4.89,2018,ChEMBL
CC(C)(C)C(=O)Cn1c(=O)[nH]c2ncc(-c3ccc(CO)c(F)c3)cc21,1,6.58,2020,ChEMBL
CC(C)(C)C(=O)Cn1c(=O)[nH]c2ncc(-c3cccc(C(F)(F)F)c3)cc21,1,6.69,2020,ChEMBL
CC(C)(C)C(=O)Cn1ccc2ncc(-c3cc(F)cc(F)c3)cc21,1,6.3,2019,ChEMBL
CC(C)(C)C(=O)Cn1ccc2ncc(-c3ccc(F)c(F)c3)cc21,1,7.5,2019,ChEMBL
CC(C)(C)c1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,1,6.14,2007,ChEMBL
CC(C)C(=O)Cn1c(=O)[nH]c2ncc(-c3cccc(C(F)(F)F)c3)cc21,1,7.03,2020,ChEMBL
CC(C)C(=O)Cn1cc(F)c2ncc(-c3cc(F)c(F)c(F)c3)cc21,1,7.3,2019,ChEMBL
CC(C)C(=O)Cn1cc(F)c2ncc(-c3ccc(Cl)s3)cc21,1,7.5,2019,ChEMBL
CC(C)C(=O)Cn1cc(F)c2ncc(-c3ccc(F)c(F)c3)cc21,1,6.7,2019,ChEMBL
CC(C)C(=O)Cn1cc(F)c2ncc(-c3ccc(F)cc3)cc21,1,6.0,2019,ChEMBL
CC(C)C(=O)Cn1cc(F)c2ncc(-c3cccc(C(F)(F)F)c3)cc21,1,7.2,2019,ChEMBL
CC(C)C(=O)Cn1cc(F)c2ncc(-c3cccc(C(F)F)c3)cc21,1,7.3,2019,ChEMBL
CC(C)C(=O)Cn1cc(F)c2ncc(-c3cccc(F)c3)cc21,1,7.2,2019,ChEMBL
CC(C)C(=O)Cn1ccc2ncc(-c3cc(F)cc(F)c3)cc21,1,7.7,2019,ChEMBL
CC(C)C(O)Cn1c(=O)[nH]c2ncc(-c3cccc(C(F)(F)F)c3)cc21,1,6.16,2020,ChEMBL
CC(C)C(O)Cn1ccc2ncc(-c3cc(F)cc(F)c3)cc21,1,7.6,2019,ChEMBL
CC(C)CCCc1ccc2cc(C(=O)O)ccc2c1,0,4.47,2018,ChEMBL
CC(C)NC(=O)Cn1ccc2ncc(-c3ccc(F)cc3)cc21,1,6.3,2019,ChEMBL
CC(C)NCc1c(F)ccc2[nH]c(-c3ccccc3)nc12,1,6.1,2012,ChEMBL
CC(C)c1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,1,8.11,2007,ChEMBL
CC(F)(F)c1cc(-c2cnc3cnn(CC(=O)N4CC(F)C4)c3n2)ccc1Cl,1,6.39,2022,ChEMBL
CC(F)(F)c1cc(-c2cnc3cnn(CC(=O)N4CCC4)c3n2)ccc1Cl,1,7.19,2022,ChEMBL
CC(F)(F)c1cc(-c2cnc3cnn(CC(=O)N4CCC4)c3n2)ccc1F,1,6.85,2022,ChEMBL
CC(F)(F)c1cc(-c2cnc3cnn(CC(=O)N4CCOCC4)c3n2)ccc1Cl,1,7.04,2022,ChEMBL
CC(F)(F)c1cc(-c2cnn(Cc3cc[nH]n3)c2)ccc1F,1,6.28,2018,ChEMBL
CC(O)(CN1CC2CC(O)(Cc3ccccc3)CC2C1)c1ccc(O)cc1,1,7.37,2018,ChEMBL
CC(OC(=O)N1CCC(CNc2ncccn2)CC1)c1ccccc1,1,6.27,2007,ChEMBL
CC1(C)CN(C(=O)Cn2ccc3ncc(-c4ccc(F)cc4)cc32)C1,1,6.8,2019,ChEMBL
CC1(F)CN(C(=O)Cn2cnc3c(c(-c4ccc(F)c(Cl)c4)cn3C3CC3)c2=O)C1,1,6.92,2025,ChEMBL
