smiles,label,pchembl,year,source
Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,1,7.02,2024.0,ChEMBL
Brc1cc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc(-c2ccccc2)c1,1,6.88,2011.0,ChEMBL
Brc1ccc(N2CCN(CCCCOc3ccc4ccccc4c3)CC2)cc1,0,4.59,2018.0,ChEMBL
Brc1ccc(N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2)cc1,1,6.21,2016.0,ChEMBL
Brc1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c1,1,7.89,2011.0,ChEMBL
Brc1ccccc1CC(c1ccccc1)N1CCNCC1,1,7.46,2006.0,ChEMBL
C#CCN(C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN)C1CC1,1,8.36,2008.0,ChEMBL
C#CCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,1,6.96,2008.0,ChEMBL
C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,1,7.77,2008.0,ChEMBL
C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,1,8.77,2008.0,ChEMBL
C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,1,8.12,2008.0,ChEMBL
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,1,8.22,2008.0,ChEMBL
C#CCN(CC#C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,1,8.09,2008.0,ChEMBL
C#CCN(CC(=C)F)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,1,8.4,2008.0,ChEMBL
C#CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,1,8.23,2008.0,ChEMBL
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,1,7.72,2008.0,ChEMBL
C#CCN(CC1CC1)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,1,8.41,2008.0,ChEMBL
C#CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,1,7.85,2008.0,ChEMBL
C#CCN(CC=C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,1,8.55,2008.0,ChEMBL
C#CCN(CCOC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,1,7.19,2008.0,ChEMBL
C#CCN(c1ccncc1)n1ccc2ccccc21,1,6.17,1996.0,ChEMBL
C#CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,1,6.28,2006.0,ChEMBL
C#C[C@H]1[C@@H](c2ccc(C)cc2)C[C@@H]2CC[C@H]1N2C.Cl,1,6.82,2008.0,ChEMBL
C#C[C@H]1[C@@H](c2ccc(Cl)cc2)C[C@@H]2CC[C@H]1N2C.Cl,1,7.12,2008.0,ChEMBL
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,0,4.55,2023.0,ChEMBL
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0,4.72,2023.0,ChEMBL
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,0,4.69,2023.0,ChEMBL
C#Cc1ccc(C2CN3CCCC3c3ccccc32)cc1,1,7.78,2018.0,ChEMBL
C#Cc1ccc([C@@H]2CN3CCC[C@@H]3c3ccccc32)cc1,1,8.39,2018.0,ChEMBL
