smiles,label,pchembl,year,source
Br.CCCCCCCCn1c2c(c(=N)c3ccccc31)CCC2,0,4.99,,ChEMBL
Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,0,4.725,,ChEMBL
C#CCNS(=O)(=O)c1ccc(CCN(CCc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1,1,6.23,2024.0,ChEMBL
C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2ccc(F)cc2)cc1,1,7.08,2022.0,ChEMBL
C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1nc2ccccc2o1,0,4.86,2020.0,ChEMBL
C/C1=C\CC[C@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN(C)CCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)[C@@H]2CC1,1,6.0,2020.0,ChEMBL
C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,0,4.13,2023.0,ChEMBL
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/C(=O)c4ccc(C(F)(F)F)cc4)C(=C)[C@@H]3C[C@H]12,1,6.0,2024.0,ChEMBL
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/C(=O)c4ccc(F)cc4)C(=C)[C@@H]3C[C@H]12,1,6.04,2024.0,ChEMBL
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/C(=O)c4ccccc4)C(=C)[C@@H]3C[C@H]12,1,6.08,2024.0,ChEMBL
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)c4c(Cl)ccnc4Cl)C(=C)[C@@H]3C[C@H]12,1,6.24,2024.0,ChEMBL
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)c4cc(Cl)cnc4Cl)C(=C)[C@@H]3C[C@H]12,1,6.29,2024.0,ChEMBL
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)c4cnc(Cl)cc4Cl)C(=C)[C@@H]3C[C@H]12,1,6.945,2024.0,ChEMBL
C=C1C(=O)[C@@]23C(CC[C@@H]1[C@H]2OC(=O)Nc1cccc(Cl)c1)[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,1,6.35,2023.0,ChEMBL
C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@H]2[C@]12C=CCC(C)(C)[C@H]1[C@H](O)[C@@]3(OCCC(=O)O)OC2,1,7.98,2024.0,ChEMBL
C=CCN1C(=O)/C(=C2/C(=O)Nc3ccccc32)SC1=S,1,6.3,2023.0,ChEMBL
C=CCc1c(C)nc(C)nc1N/N=C/c1ccccc1O,0,4.6850000000000005,,ChEMBL
CC(=O)C1=C(C(Cl)(Cl)Cl)N[B-](c2ccccc2)(c2ccccc2)[O+]=C1N,1,7.13,2020.0,ChEMBL
CC(=O)N1CCCN(S(=O)(=O)NC(=O)c2coc(Nc3cc(C(F)(F)F)ccc3C)n2)CC1,1,6.55,2023.0,ChEMBL
CC(=O)N1CCC[C@@H](Nc2nnc(-c3ccc4c(c3O)CCC4)n(C)c2=O)C1,1,7.29,2025.0,ChEMBL
CC(=O)Nc1ccc(Cn2c(SCC3CCCCC3)nc3ccncc32)cc1,0,4.99,2024.0,ChEMBL
CC(=O)c1ccc(S(=O)(=O)N(c2ccc3c(c2)N(S(C)(=O)=O)CCC3)S(=O)(=O)c2ccc(C(C)=O)cc2)cc1,0,4.9350000000000005,2021.0,ChEMBL
CC(=O)c1ccc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)cc1,1,6.37,2024.0,ChEMBL
CC(=O)c1ccc(S(=O)(=O)Nc2ccc3c(c2)N(S(C)(=O)=O)CCC3)cc1,0,4.82,2024.0,ChEMBL
CC(C)(C)OC(=O)NC1CN(c2ccc(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)c3nonc23)C1,1,6.02,2022.0,ChEMBL
CC(C)(C)c1ccc(CC(=O)Nc2cccc(O)c2)cc1,0,4.91,2022.0,ChEMBL
CC(C)(C)c1ccc(N2C(=O)C(C)(C)N(Cc3ccc(S(N)(=O)=O)c(F)c3)C2=S)cc1,1,6.28,2024.0,ChEMBL
CC(C)(N)/C=C/[S+]([O-])(=NC#N)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,1,7.92,2023.0,ChEMBL
CC(C)(O)c1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)o1,1,7.64,2025.0,ChEMBL
CC(C)(O)c1ccoc1S(=O)(=O)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,1,8.09,2023.0,ChEMBL
CC(C)(O)c1cnc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,1,7.055,2025.0,ChEMBL
CC(C)(O)c1coc(/C=C/S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,1,6.68,2020.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1,1,8.22,2024.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc4ccccc4c3)ccc3c2CCC3)c1,1,7.72,2024.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(Cl)c3Cl)ccc3c2CCC3)c1,1,8.0,2024.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(OC(F)(F)F)c3)ccc3c2CCC3)c1,1,6.45,2024.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccs3)ccc3c2CCC3)c1,1,6.53,2024.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccnc(F)c3)ccc3c2CCC3)c1,1,7.57,2024.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cncnc3)ccc3c2CCC3)c1,1,6.82,2024.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2C(O)CC4)CCC3)c1,1,6.63,2016.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,1,7.89,2025.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,1,7.42,2023.0,ChEMBL
CC(C)(O)c1coc(S(=O)(=O)[N-]C(=O)Nc2c3c(cc4c2CCC4)CCC3)c1.[Na+],1,7.52,2020.0,ChEMBL
CC(C)(O)c1coc(S(N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,1,7.54,2025.0,ChEMBL
CC(C)(O)c1coc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,1,7.89,2025.0,ChEMBL
