smiles,label,pchembl,year,source
Br.CNc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,1,8.94,2013.0,ChEMBL
Br.Cc1ccccc1C(c1ccccc1)N1CCC(O)(c2ccccc2)CC1,1,6.44,2007.0,ChEMBL
Br.NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H]1C[C@H](N)CN1C(=O)[C@@H](N)Cc1ccc(O)cc1,1,6.12,2012.0,ChEMBL
Br.N[C@H]1C[C@@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2ccccc2)C(=O)O)N(C(=O)[C@@H](N)Cc2ccc(O)cc2)C1,1,6.12,2012.0,ChEMBL
Br.N[C@H]1C[C@@H](C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)N(C(=O)[C@@H](N)Cc2ccc(O)cc2)C1,1,6.0,2012.0,ChEMBL
Br.Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,1,8.74,2013.0,ChEMBL
Brc1ccc(CNc2ccc3c(c2)[C@H]2c4cc(NCc5ccc(Br)cc5)ccc4[C@H](C3)N3CCC[C@@H]23)cc1,1,6.92,2003.0,ChEMBL
Brc1ccc(NC2=Nc3ccccc3CC2)cc1,0,4.28,,ChEMBL
Brc1ccc2c(c1)[C@H]1c3cc(Br)ccc3[C@H](C2)N2CCC[C@@H]12,1,6.3,2003.0,ChEMBL
C#CCN1CC[C@]23CCCCC2[C@H]1Cc1ccc(OC(=O)CCCCCCCCC(=O)Oc2ccc4c(c2)[C@@]25CCCCC2[C@@H](C4)N(CC#C)CC5)cc13,1,7.85,2006.0,ChEMBL
C#CCOCC1CC23CCC1(OC)C1Oc4c(OC)ccc5c4[C@@]12CCN(C)[C@@H]3C5,1,7.38,2013.0,ChEMBL
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0,4.83,2023.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0,4.98,2023.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0,4.59,2023.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0,4.69,2023.0,ChEMBL
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0,4.98,2023.0,ChEMBL
C/C(=N/Nc1ccnc2cc(Cl)ccc12)c1ccc(N)cc1,0,4.26,,ChEMBL
C/C=C/C(=O)O[C@H]1C[C@@H](C(=O)OC)[C@]2(C)CC[C@H]3C(=O)O[C@H](c4ccoc4)C[C@]3(C)[C@H]2C1=O,1,6.27,2014.0,ChEMBL
C/C=C1/CN2CC[C@@]34c5cc(O)c(Br)cc5N(C)[C@]35OC[C@@]4(C(=O)OC)[C@H]1C[C@H]25,1,6.91,2023.0,ChEMBL
C/C=C1/CN2CC[C@@]34c5cc(O)c(I)cc5N(C)[C@]35OC[C@@]4(C(=O)OC)[C@H]1C[C@H]25,1,6.73,2023.0,ChEMBL
C/C=C1/CN2CC[C@@]34c5cc(O)ccc5N(C)[C@]35OC[C@@]4(C(=O)OC)[C@H]1C[C@H]25,1,6.51,2023.0,ChEMBL
