smiles,label,pchembl,year,source
C#CC1(c2ccccc2C(=O)N2C[C@H](Oc3nccn4c(C(F)F)cnc34)CC[C@H]2C)CC1,1,8.3,2020,ChEMBL
C#Cc1c(OC)ccnc1N[C@@H]1C[C@@H](C)N(C(=O)c2ccccc2-n2nccn2)C1,1,6.78,2018,ChEMBL
C#Cc1ccnc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)c1,1,8.61,2015,ChEMBL
C/N=C(\CN1CCCC2(CCN(c3cnc4ccccc4n3)CC2)C1=O)c1ccccc1N,1,6.25,2013,ChEMBL
C=C1CC(c2nc3c(Br)cccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.92,2017,ChEMBL
C=C1CC(c2nc3c(Br)cccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.52,2017,ChEMBL
C=C1CC(c2nc3c(C)c(C)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.05,2017,ChEMBL
C=C1CC(c2nc3c(C)c(C)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.7,2017,ChEMBL
C=C1CC(c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.96,2017,ChEMBL
C=C1CC(c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.7,2017,ChEMBL
C=C1CC(c2nc3c(C)cc(C)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.4,2017,ChEMBL
C=C1CC(c2nc3c(C)cc(C)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,9.0,2017,ChEMBL
C=C1CC(c2nc3c(C)cccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.4,2017,ChEMBL
C=C1CC(c2nc3c(C)cccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,9.0,2017,ChEMBL
C=C1CC(c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.64,2017,ChEMBL
C=C1CC(c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.52,2017,ChEMBL
C=C1CC(c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.64,2017,ChEMBL
C=C1CC(c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,7.17,2017,ChEMBL
C=C1CC(c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.4,2017,ChEMBL
C=C1CC(c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,9.0,2017,ChEMBL
C=C1CC(c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,6.68,2017,ChEMBL
C=C1CC(c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.0,2017,ChEMBL
C=C1CC(c2nc3cc(Cl)c(C)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,7.72,2017,ChEMBL
C=C1CC(c2nc3cc(Cl)c(C)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,8.7,2017,ChEMBL
C=C1CC(c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.7,2017,ChEMBL
C=C1CC(c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1,7.7,2017,ChEMBL
C=C1CC(c2nc3cc(SC)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,1,8.4,2017,ChEMBL
