smiles,label,pchembl,year,source
Brc1ccc(Cn2cnc3c(N4CCOCC4)ncnc32)cc1,1,6.28,2017,ChEMBL
Brc1cccnc1Oc1ccc(Nc2nc3ccccc3o2)cc1,1,6.92,2014,ChEMBL
Brc1cccnc1Oc1ccc(Nc2nc3ccccc3s2)cc1,1,6.16,2014,ChEMBL
C#CCN(Cc1ccc(OC)cc1)c1cc(OC[C@H]2C[C@@H]2c2ccc(OC)cn2)nn(C)c1=O,1,8.1,2016,ChEMBL
C#CCNc1nc(-n2cc(-c3ccccn3)cn2)nc(N)c1Br,1,7.75,2016,ChEMBL
C#CCNc1nc(-n2cc(-c3cnccn3)cn2)nc(N)c1Br,1,8.35,2016,ChEMBL
C#CCNc1nc(-n2cncn2)nc(N)c1Br,1,8.24,2016,ChEMBL
C#CCNc1nc(-n2ncc3ccccc32)nc(N)c1Br,1,7.39,2016,ChEMBL
C#CCNc1nc(-n2ncc3ccccc32)nc(NCC)c1Br,1,6.92,2016,ChEMBL
C#CCNc1nc(-n2ncc3ccncc32)nc(N)c1Br,1,8.49,2016,ChEMBL
C#CCn1cc(-c2cccs2)nc1CCc1nc2c(OC)ccc(C)n2n1,1,8.39,2015,ChEMBL
C#CCn1cc(-c2cncs2)nc1CCC1=NN2C(C)=CC=C(OC)C2N1,1,8.39,2017,ChEMBL
C(#Cc1nc2c(N3CCOCC3)ccnn2c1-c1ccc(N2CCNCC2)nc1)c1ccc2ccccc2n1,1,8.52,2016,ChEMBL
C(=C/c1cn2c(-c3ccc(-c4nnc[nH]4)nc3)cnc(N3CCOCC3)c2n1)\c1ccc2ccccc2n1,1,7.92,2016,ChEMBL
C(=C/c1cn2c(-c3ccc(-c4nnn[nH]4)nc3)cnc(N3CCOCC3)c2n1)\c1ccc2ccccc2n1,1,8.52,2016,ChEMBL
C(=C/c1cn2c(-c3ccc(N4CCNCC4)nc3)cnc(C3CCOCC3)c2n1)\c1ccc2ccccc2n1,1,6.21,2016,ChEMBL
C(=C/c1cn2c(-c3ccc(N4CCNCC4)nc3)cnc(N3CCOCC3)c2n1)\c1ccc2ccccc2n1,1,7.3,2016,ChEMBL
C(=C/c1cn2c(-c3cnc4nc[nH]c4c3)cnc(N3CCOCC3)c2n1)\c1ccc2ccccc2n1,1,7.89,2016,ChEMBL
C(=C/c1nc2c(N3CCOCC3)ccnn2c1-c1ccc(-c2nnn[nH]2)cc1)\c1ccc2ccccc2n1,1,8.22,2015,ChEMBL
C(=C/c1nc2c(N3CCOCC3)ccnn2c1-c1ccc(-c2nnn[nH]2)nc1)\c1ccc2ccccc2n1,1,8.7,2015,ChEMBL
C(=C/c1nc2c(N3CCOCC3)ccnn2c1-c1ccc(N2CCNCC2)nc1)\c1ccc2ccccc2n1,1,7.675,2016,ChEMBL
C(=C/c1nc2c(N3CCOCC3)ccnn2c1-c1ccc(Sc2cnn[nH]2)nc1)\c1ccc2ccccc2n1,1,8.1,2015,ChEMBL
C(=C/c1nc2c(N3CCOCC3)ccnn2c1-c1ccc(Sc2nnc[nH]2)nc1)\c1ccc2ccccc2n1,1,8.22,2015,ChEMBL
C(=C/c1nc2c(N3CCOCC3)ccnn2c1-c1cccc(-c2nnn[nH]2)c1)\c1ccc2ccccc2n1,1,8.4,2015,ChEMBL
C(=C/c1nc2c(N3CCOCC3)ccnn2c1N1CCCCC1)\c1ccc2ccccc2n1,1,7.14,2015,ChEMBL
