smiles,label,pchembl,year
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],0,4.4,2023
Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],0,4.6,2023
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,1,6.07,2019
Brc1ccc(-c2nnc(Nc3ncccn3)o2)cc1,0,4.64,2019
Brc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1.Cl,1,7.03,2019
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,1,6.12,2020
Brc1ccc([N+]2=Cc3ccccc3CC2)cc1.[Br-],0,4.2,2020
Brc1ccc2c(c1)c(OCc1ccc3ccccc3c1)nn2CCN1CCCCC1,1,6.91,2014
Brc1cccc(-c2nnc(Nc3ncccn3)o2)c1,0,4.69,2019
C#CCCCCCCCCCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,1,8.42,2023
C#CCCCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,1,7.91,2023
C#CCCCOc1c(CN2CCc3ccccc3C2)cc(-c2cc(=O)c3ccccc3o2)cc1OC,0,4.72,2024
C#CCCCOc1ccc(-c2cc(=O)c3ccccc3o2)cc1CN1CCCCC1,0,4.96,2024
C#CCN(C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12)C(C)C,1,7.09,2023
C#CCN(C)C(=O)Oc1ccc2c(CN(C)CCC3CCCCCC3)c[nH]c2c1,1,7.99,2023
C#CCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,1,8.11,2023
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,0,4.83,2022
C#CCN(CC#C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,1,7.49,2023
C#CCN(CC)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,1,7.66,2023
C#CCN(CCC1CCN(Cc2ccccc2)CC1)Cc1ccc2cccc(O)c2n1,1,7.1,2016
C#CCN(CCCC1CCN(Cc2ccccc2)CC1)Cc1ccc2cccc(O)c2n1,1,7.64,2016
C#CCN(CCCc1ccccc1)Cc1cccc(OC)c1OCc1ccccc1,1,6.64,2023
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)C1CCN(Cc2ccccc2)CC1,1,7.52,2016
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CC1CCN(Cc2ccccc2)CC1,1,8.7,2016
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1,1,7.28,2016
C#CCN(Cc1ccc2cccc(O)c2n1)CC1CCN(Cc2ccccc2)CC1,1,7.19,2016
C#CCN1CCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1,1,6.55,2017
