smiles,label,pchembl,year
Br.CCOC(=O)C(C(=O)N/N=C/c1ccc([N+](=O)[O-])cc1)[n+]1ccc2ccccc2c1,1,7.7,2022
Br.COc1cc2c(cc1OC)CN(C)CC2,0,4.54,1990
Br.c1ccc(-n2cc(C3=NCCN3)c(-c3cccs3)n2)cc1,0,4.74,2019
Brc1ccc(-c2cc3ccccc3o2)cc1,1,6.47,2017
Brc1ccc(-c2nc3ccc(N4CCCCC4)nc3o2)cc1,1,7.02,2016
Brc1ccc(COc2cccc(Br)c2)cc1,1,6.46,2017
Brc1ccc(OCCOc2ccc3c(c2)OCCO3)cc1,1,6.03,2015
Brc1ccc([C@H]2C[C@@H]2NC2CCOCC2)cc1,0,4.73,2016
Brc1cccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)c1,0,4.32,2010
Brc1cccc(COc2ccc(C3C[C@@H]3NCCC3CCCCC3)cc2)c1,1,6.26,2019
Brc1cccc(COc2ccc3c(c2)OCCO3)c1,1,7.369999999999999,2015
Brc1cccc(COc2ccc3c(c2)OCO3)c1,1,6.79,2015
Brc1cccc(COc2cccc(Br)c2)c1,1,6.12,2017
Brc1cccc(Cn2ccc3c(N[C@H]4CCNC4)nc4ccccc4c32)c1.Cl,1,6.89,2023
C#CC(C)N(C)[C@H](C)Cc1ccccc1,1,8.18,2021
C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,1,9.11,2014
C#CCCCCOc1ccc2c(c1)NC(=O)CC2,1,7.28,2014
C#CCCCCOc1ccc2cc(-c3ccc(OC)cc3)c(=O)oc2c1,1,8.53,2014
C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,1,8.85,2014
C#CCCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,1,7.17,2014
C#CCCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,1,7.38,2014
C#CCCCCOc1ccc2ccc(=O)oc2c1,1,8.58,2014
C#CCCCCOc1ccc2oc(=O)c(C(=O)OC)cc2c1,1,6.91,2014
C#CCCCCOc1ccc2oc(=O)c(NC(C)=O)cc2c1,1,7.61,2014
C#CCCCOc1ccc(-c2cc(=O)c3ccccc3o2)cc1CN1CCCCC1,0,4.91,2024
C#CCCCOc1ccc2c(C)cc(=O)oc2c1,1,7.74,2014
C#CCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,1,7.08,2014
C#CCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,1,6.27,2014
C#CCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,1,7.36,2014
C#CCCCOc1ccc2ccc(=O)oc2c1,1,7.04,2014
C#CCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,1,6.59,2014
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CC)c1,1,7.0,2022
C#CCN(C)C(C)Cc1ccccc1,1,7.71,2016
C#CCN(C)C1=C(Cl)C(=O)c2ccccc2C1=O,1,6.85,2021
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,1,7.57,2022
C#CCN(C)C1CCc2cccc(OC(=O)N(C)C)c21,1,6.48,2022
C#CCN(C)CC(=C)CCc1ccccc1.O=C(O)C(=O)O,1,7.41,2015
C#CCN(C)CC(=C)Cc1ccc(F)c(F)c1.O=C(O)C(=O)O,1,6.89,2015
C#CCN(C)CC(=C)c1ccc(Br)cc1.Cl,1,7.22,2015
C#CCN(C)CC(=C)c1ccc(C)c(C)c1.O=C(O)C(=O)O,1,7.04,2015
C#CCN(C)CC(=C)c1ccc(CNc2ccccc2)cc1.O=C(O)C(=O)O,1,6.07,2015
C#CCN(C)CC(=C)c1ccc(COc2ccccc2)cc1.O=C(O)C(=O)O,1,6.21,2015
C#CCN(C)CC(=C)c1ccc(Cl)c(C)c1.O=C(O)C(=O)O,1,7.0,2015
C#CCN(C)CC(=C)c1ccc(Cl)c(Cl)c1.O=C(O)C(=O)O,1,7.21,2015
C#CCN(C)CC(=C)c1ccc(Cl)cc1.O=C(O)C(=O)O,1,6.92,2015
C#CCN(C)CC(=C)c1ccc(F)c(C)c1.O=C(O)C(=O)O,1,6.64,2015
C#CCN(C)CC(=C)c1ccc(F)c(Cl)c1.O=C(O)C(=O)O,1,7.58,2015
C#CCN(C)CC(=C)c1ccc(F)cc1.Cl,1,6.55,2015
C#CCN(C)CC(=C)c1ccc(OC)cc1.Cl,1,7.25,2015
C#CCN(C)CC(=C)c1cccc(COc2ccc(F)cc2)c1.O=C(O)C(=O)O,1,8.26,2015
C#CCN(C)CC(=C)c1cccc(COc2ccc(OC)cc2)c1.O=C(O)C(=O)O,1,6.36,2015
C#CCN(C)CC(=C)c1cccc(COc2cccc(F)c2)c1.O=C(O)C(=O)O,1,7.15,2015
C#CCN(C)CC(=C)c1cccc(COc2cccc(OC)c2)c1.O=C(O)C(=O)O,1,6.46,2015
C#CCN(C)CC(=C)c1cccc(COc2ccccc2)c1.O=C(O)C(=O)O,1,6.4,2015
C#CCN(C)CC(=C)c1cccc(Cl)c1.O=C(O)C(=O)O,1,7.08,2015
C#CCN(C)CC(=C)c1cccc(F)c1.O=C(O)C(=O)O,1,6.8,2015
C#CCN(C)CC(=C)c1cccc(OC)c1.O=C(O)C(=O)O,1,6.7,2015
C#CCN(C)CC(=C)c1cccc(OCc2ccc(F)cc2)c1.O=C(O)C(=O)O,1,7.2,2015
