endpoint,rows,dup_smiles_string,unique_skeleton,dup_skeleton,skeleton_groups_with_conflicting_labels,featurised,unique_feature_vectors,dup_feature_vectors,dup_feature_pct,feature_groups_with_conflicting_labels,rows_in_conflicting_feature_groups
A1,4007,0,3911,96,2,4007,3912,95,2.37,2,4
A2A,6785,0,6508,277,1,6785,6527,258,3.8,1,2
a3b4nAChR,585,0,524,61,1,585,523,62,10.6,1,2
a4b2nAChR,942,0,848,94,3,942,847,95,10.08,3,7
a7nAChR,1004,0,919,85,8,1004,920,84,8.37,8,16
AChE,4387,0,4222,165,4,4387,4220,167,3.81,4,10
BACE1,8501,0,7860,641,41,8501,7873,628,7.39,41,104
BBB,7807,0,4018,3787,131,7805,4032,3773,48.34,131,429
BChE,2621,0,2536,85,4,2621,2537,84,3.2,4,8
Cav3_2,666,0,646,20,0,666,649,17,2.55,0,0
CB1,4613,0,4443,170,0,4613,4445,168,3.64,0,0
CGRP,787,0,747,40,0,787,747,40,5.08,0,0
COX2,3185,0,3101,84,7,3185,3093,92,2.89,9,24
CSF1R,2432,0,2335,97,0,2432,2343,89,3.66,0,0
D2,7734,0,7155,579,5,7734,7153,581,7.51,5,10
D3,5647,0,5250,397,3,5647,5249,398,7.05,3,7
DAT,2692,0,2344,348,4,2692,2343,349,12.96,4,11
DHODH,1566,0,1530,36,0,1566,1537,29,1.85,0,0
GABA_A,348,0,335,13,0,348,336,12,3.45,0,0
GABAA_a5,676,0,672,4,0,676,671,5,0.74,0,0
GBA1,554,0,523,31,14,554,523,31,5.6,14,30
GluA2,183,0,178,5,1,183,178,5,2.73,1,2
GluN2B,1580,0,1535,45,0,1580,1535,45,2.85,0,0
GSK3B,4958,0,4692,266,4,4958,4700,258,5.2,4,8
H3,4198,0,3930,268,1,4198,3926,272,6.48,1,3
HDAC1,6367,0,6231,136,1,6367,6227,140,2.2,1,2
HDAC6,5612,0,5418,194,1,5612,5410,202,3.6,1,2
hERG,5875,0,5702,173,1,5875,5707,168,2.86,1,2
HT1A,5414,0,5060,354,1,5414,5064,350,6.46,1,2
HT2A,5989,0,5677,312,0,5989,5689,300,5.01,0,0
HT6,3823,0,3709,114,0,3823,3706,117,3.06,0,0
HT7,2556,0,2448,108,1,2556,2447,109,4.26,1,3
KEAP1,323,0,311,12,1,323,308,15,4.64,3,6
LRRK2,1478,0,1371,107,0,1478,1371,107,7.24,0,0
MAO_A,2228,0,2128,100,4,2228,2138,90,4.04,4,8
MAO_B,3665,0,3510,155,8,3665,3528,137,3.74,9,21
mGluR5,2434,0,2360,74,1,2434,2360,74,3.04,1,4
MT1,969,0,924,45,2,969,924,45,4.64,2,6
mTOR,4484,0,4315,169,0,4484,4315,169,3.77,0,0
Nav1_1,425,0,414,11,0,425,414,11,2.59,0,0
Nav1_5,833,0,805,28,0,833,805,28,3.36,0,0
Nav1_6,726,0,692,34,3,726,692,34,4.68,3,6
Nav1_7,5752,0,5536,216,1,5752,5507,245,4.26,1,2
Nav1_8,540,0,518,22,0,540,518,22,4.07,0,0
NET,3067,0,2655,412,4,3067,2660,407,13.27,3,7
NLRP3,487,0,470,17,0,487,477,10,2.05,0,0
OPRK1,5167,0,4640,527,2,5167,4624,543,10.51,2,5
OPRM1,6109,0,5584,525,4,6109,5575,534,8.74,4,9
OX1.chembl_only,5240,0,5015,225,0,5240,5015,225,4.29,0,0
OX1,5273,0,5048,225,0,5273,5048,225,4.27,0,0
OX2.chembl_only,6227,0,5964,263,1,6227,5965,262,4.21,1,2
OX2,6231,0,5968,263,1,6231,5969,262,4.2,1,2
P2X7,4401,0,4181,220,7,4401,4192,209,4.75,7,19
PDE10A,5112,0,4954,158,0,5112,4952,160,3.13,0,0
PDE4B,1938,0,1884,54,1,1938,1882,56,2.89,2,4
RIPK1,3068,0,2771,297,0,3068,2775,293,9.55,0,0
SERT,4572,0,4141,431,2,4572,4142,430,9.41,3,6
Sigma1,2838,0,2634,204,0,2838,2631,207,7.29,0,0
SIRT1,515,0,498,17,1,515,498,17,3.3,1,3
TAAR1,303,0,297,6,0,303,297,6,1.98,0,0
