inchikey,smiles,bound,relation,implied_label
DPEUTICRVFCIIP-UHFFFAOYSA-N,Cc1cc(Cn2ncc3c(-c4cccc(C#N)c4)nc(N)nc32)ccc1N,7.0,<,1
YPDIDJKXMPWHJB-UHFFFAOYSA-N,CCNC(=O)c1cc2c(N)nc(-c3cccc(C#N)c3)c(-c3ccnn3CC)n2n1,8.0,<,1
HYFNPJVYIJOZDV-UHFFFAOYSA-N,CCNC(=O)c1cc2c(N)nc(-c3cccc(C#N)c3)c(-c3ccncn3)n2n1,8.0,<,1
LWWMMGGSNTYCOV-UHFFFAOYSA-N,CCNC(=O)c1cc2c(N)nc(-c3cccc(C#N)c3)c(C(C)(F)F)n2n1,8.0,<,1
YABLOYKDPWCWKX-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3cc(C(=O)N4CCCCC4)nn3c2-c2ccncn2)c1,8.0,<,1
FCGSXWDJYLZZIQ-UHFFFAOYSA-N,CCN(CC)C(=O)c1cc2c(N)nc(-c3cccc(C#N)c3)c(-c3ccncn3)n2n1,8.0,<,1
IHHCGYNJBQACRM-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3ncnn3c2-c2ccc(=O)[nH]c2)c1,8.0,<,1
ILXZCJMXIAVFPJ-UHFFFAOYSA-N,CCn1nccc1-c1c(-c2cccc(C#N)c2)nc(N)c2cc(Cc3ccccn3)nn12,8.0,<,1
IXSPUODLNWBCBW-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3cc(Cc4ccccc4F)nn3c2C2=CCN(C(N)=O)CC2)c1,8.0,<,1
UNPZMEKPIMYZQV-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3cc(C(O)c4ccccc4F)nn3c2Br)c1,8.0,<,1
IXECHRCYHWEQKW-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3cc(C(O)c4ccccc4F)nn3c2-c2ccncn2)c1,8.0,<,1
LTEFHMLRKJGEAV-UHFFFAOYSA-N,CN1CCN(c2cc(-c3cc4c(N)nc(-c5cccc(C#N)c5)c(-c5ccncc5)n4n3)ccn2)CC1,8.0,<,1
QPUWZKXDYSXROM-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3nc(Cc4ccccn4)nn3c2-c2ccncn2)c1,8.0,<,1
AEDWLEVHEZNPPR-UHFFFAOYSA-N,Cn1cc(-c2c(-c3cccc(C#N)c3)nc(N)c3nc(Cc4ccccn4)nn23)ccc1=O,8.0,<,1
PPTDIUJLLSYUIH-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3nc(Cn4cccc5ccnc4-5)nn3c2-c2ccncn2)c1,8.0,<,1
ZXCYLVCXZWOLMY-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3nc(Oc4ccccc4F)nn3c2-c2ccncn2)c1,8.0,<,1
