inchikey,smiles,bound,relation,implied_label
LVURSRPBGNGMPV-LIRRHRJNSA-N,C#CCOc1cnc(C(=O)Nc2cc(Cl)c(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)cn1,8.698970004336019,<,1
AASUEZGNCWEKAR-LEWJYISDSA-N,C[C@]1(F)C(N)=N[C@](C)(c2cc(Nc3nccc4cc(C#N)cnc34)ccc2F)CS1(=O)=O,8.698970004336019,<,1
LIEUHWJVKMRNLL-IBGZPJMESA-N,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C3(CC(F)(F)C3)C(N)=N2)c1,8.698970004336019,<,1
XJNRSWJNEVQPTB-UHFFFAOYSA-N,CC#Cc1cncc(-c2csc(C3(C)CC4(CCOCC4)SC(N)=N3)c2)c1,8.154901959985743,<,1
FFOPNBRCPXGXIQ-IBGZPJMESA-N,CC1(C)C(=N)N[C@](C)(c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)CS1(=O)=O,9.301029995663981,<,1
RJFGEEPBVTVJQR-NRFANRHFSA-N,CC#Cc1ccc2c(c1)-c1cc([C@]3(C)CC(=O)N(C)C(=N)N3)ccc1C2(F)F,6.522878745280337,>,-1
VGOAETJNCUTHJV-IBGZPJMESA-N,CN1C(=N)N[C@](C)(c2ccc3sc4ccc(C#N)cc4c3c2)CC1=O,6.522878745280337,>,-1
ROBXYRZNCQLYQR-IBGZPJMESA-N,CN1C(=N)N[C@](C)(c2ccc3sc4ccc(C(N)=O)cc4c3c2)CC1=O,6.522878745280337,>,-1
UDJZDQVQVXPDRT-HSZRJFAPSA-N,CC#Cc1ccc2sc3ccc([C@]4(C5CC5)CC(=O)N(C)C(=N)N4)cc3c2c1,6.522878745280337,>,-1
KWRKQLLZTAYYTI-NRFANRHFSA-N,CC#Cc1ccc2sc3ccc([C@]4(C)CN(C)C(=O)C(=N)N4)cc3c2c1,6.522878745280337,>,-1
OHAPAGNWIJPFAM-OIOSCTRGSA-N,CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]3(C)CS(=O)(=O)N(C)C(N)=N3)c2)cn1,9.0,<,1
LVSUUZRWIAKRGI-PYVSYOOHSA-N,COC[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3cnc(OCC4CCO4)cn3)ccc1F)N=C(N)S2,7.795880017344075,>,-1
SVHVIRBGQRDCIB-UHFFFAOYSA-N,CCSc1nsc(NC(=O)Nc2cccc(C(C)=O)c2)n1,7.6020599913279625,>,-1
IEIHXPJWOSDLBU-VWMOWEEZSA-N,CO[C@H](C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,9.0,<,1
LNBSLHNHHTYHMF-GHRGXMHASA-N,CO[C@H](C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)CS(C)(=O)=O)c1)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,9.0,<,1
XRDBCOOZVZBDKW-GISBNZKNSA-N,CCCC[C@@H]1CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](S(=O)(=O)CCC)CN2)C1=O,6.481486060122112,>,-1
