inchikey,smiles,bound,relation,implied_label
NNYUKSZNKIFDKH-UHFFFAOYSA-N,CC1(C(=O)NC(c2ccc(Cl)cc2)c2ccccn2)CCN(CCOc2ccccc2)CC1,7.0,<,1
VXWNWYXXDJFKLS-UHFFFAOYSA-N,CCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)C1CCC(O)CC1,7.0,<,1
XHLFNFCFXHSWCL-UHFFFAOYSA-N,C#CC(O)C(=O)N(CC)CCN1CCC(c2noc3cc(F)ccc23)CC1,7.0,<,1
YQCPDRVHUVCVIN-UHFFFAOYSA-N,CC(C)N(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)CCO,7.0,<,1
IDBDRTSGQKZOSY-UHFFFAOYSA-N,CCCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)C(C)O,7.0,<,1
ASBHLQBMEPLWID-AWEZNQCLSA-N,CC(C)N(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)[C@H](C)O,7.0,<,1
CCDSAGIQOBMXST-UHFFFAOYSA-N,CCN(CCCN1CCC(c2noc3cc(F)ccc23)CC1)S(=O)(=O)CCO,7.0,<,1
BTICABKVLJBOCS-UHFFFAOYSA-N,CCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)C1(O)CCCN(C(C)=O)C1,7.0,<,1
SBNYLWSWKVFDGI-UHFFFAOYSA-N,CC1(Oc2ccc(Cl)cc2)CCN(CCOc2ccccc2F)CC1,7.0,<,1
WMMJYUKHLLYJIY-UHFFFAOYSA-N,COC1(C)CCN(CCOc2ccccc2C(F)(F)F)CC1,7.0,<,1
ZHZYHKDRJRFAPR-MRXNPFEDSA-N,CN1CCc2cccc3c2[C@H]1Cc1ccc(OCCCO)c(O)c1-3,7.454692883534176,>,-1
JQHSYAQISCFWOK-UHFFFAOYSA-N,CCCN(CCC)C1CCc2c(ccc(O)c2O)C1,6.66354026615147,>,-1
DQQBAKJEWKQXPD-CQSZACIVSA-N,CCCN1CCC[C@@H](c2cccc(SC)c2)C1,6.66354026615147,>,-1
LWSMSVQQKULODQ-OAHLLOKOSA-N,C=CCN1CCC[C@@H](c2cccc(C#N)c2)C1,6.66354026615147,>,-1
JMGZFNUKIOOZSN-GFCCVEGCSA-N,CCN1CCC[C@@H](c2cccc(OS(=O)(=O)C(F)(F)F)c2)C1,6.66354026615147,>,-1
BOTMSPLRFWVABA-OAHLLOKOSA-N,CCCN1CCC[C@@H](c2cccc(CO)c2)C1,6.66354026615147,>,-1
WIXVSIWFYYDDMJ-OAHLLOKOSA-N,C#CCN1CCC[C@@H](c2cccc(C#N)c2)C1,6.66354026615147,>,-1
NSTMABOREYEUNT-UHFFFAOYSA-N,CCCN1CCCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21,6.66354026615147,>,-1
JNAGEIMWCSOQKU-UHFFFAOYSA-N,C=CCN1CCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21,6.66354026615147,>,-1
MMNXTTQJJITNJJ-OAHLLOKOSA-N,CCCN1CCC[C@@H](c2cccc(C)c2)C1,6.66354026615147,>,-1
RDRGDNFLGKTNOF-GFCCVEGCSA-N,N#Cc1cccc([C@@H]2CCCNC2)c1,6.66354026615147,>,-1
ASMVKSNPCVNVFO-UHFFFAOYSA-N,CCCN1CCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21,6.66354026615147,>,-1
OPZKYIOCNPKDBN-CQSZACIVSA-N,CCN1CCC[C@@H](c2cccc(C#N)c2)C1,6.66354026615147,>,-1
ZOXQOLDAOFYVMZ-UHFFFAOYSA-N,C=CCN1CCC2c3cccc(C#N)c3CCC21,6.66354026615147,>,-1
BBRKEERFZOYHTK-MRXNPFEDSA-N,CCCN1CCC[C@@H](c2cccc(C(C)=O)c2)C1,6.66354026615147,>,-1
DDEDFIYGQWYHBZ-GFCCVEGCSA-N,CCCN1CCC[C@@H](c2ccc(OS(=O)(=O)C(F)(F)F)c(OS(=O)(=O)C(F)(F)F)c2)C1,6.66354026615147,>,-1
ITRJBWXLLLCDGV-UHFFFAOYSA-N,C=CCN1CCC2c3cccc(C(N)=O)c3CCC21,6.66354026615147,>,-1
SXCBTZZPBYWDRW-QGZVFWFLSA-N,CCCc1cccc([C@@H]2CCCN(CCC)C2)c1,6.66354026615147,>,-1
IQMKIUFAVWKRQY-GFCCVEGCSA-N,CCCN1CCC[C@@H](c2ccccc2OS(=O)(=O)C(F)(F)F)C1,6.66354026615147,>,-1
PGAXGWGBGVJKJG-MRXNPFEDSA-N,C#Cc1cccc([C@@H]2CCCN(CCC)C2)c1,6.66354026615147,>,-1
FNUIZCKBCPUNIM-LLVKDONJSA-N,CN1CCC[C@@H](c2cccc(OS(=O)(=O)C(F)(F)F)c2)C1,6.66354026615147,>,-1
PPFLJANGUQOHFJ-MUMRKEEXSA-N,COc1cccc2c1C1CCN(CCc3ccccc3)[C@@H]1CC2,6.4698003017969175,>,-1
VEPWAMNFYDUZFF-HXUWFJFHSA-N,CN1CCc2cccc3c2[C@H]1Cc1ccc(-c2ccccc2)c(O)c1-3,7.454692883534176,>,-1
IHTMZOURUQYLLI-RQNOJGIXSA-N,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)[C@H]3CC[C@H](c4ccccc4)CC3)CC2)cc(C(F)(F)F)n1,6.301029995663981,>,-1
ORNYDPYZWVONOG-UHFFFAOYSA-N,CS(=O)(=O)Nc1cc(OCCNCc2cccs2)ccc1F,6.522878745280337,>,-1
VEJWDLHOLWGRLH-UHFFFAOYSA-N,c1ccc(CN2CCN(c3ccccc3)CC2)cc1,6.522878745280337,>,-1
WHRQYYUJQYMCLD-UHFFFAOYSA-N,COc1cccc(C(=O)NCCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,6.070581074285707,>,-1
CMUNQMWNWMOYLV-UHFFFAOYSA-N,CC1CC(=O)Nc2c(CCN3CCN(c4noc5ccccc45)CC3)cc(F)cc21,7.0,>,-1
RBLPPBDKZLTTRW-UHFFFAOYSA-N,CC1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(Cl)cc21,7.0,>,-1
OFVHGFCSGSQSLH-UHFFFAOYSA-N,CC1CC(=O)Nc2c(CCN3CCN(c4noc5ccccc45)CC3)cccc21,7.0,>,-1
GFDDZADQGGCPPA-UHFFFAOYSA-N,CC(=O)N1CCC(C)c2cc(Cl)cc(CCN3CCN(c4nsc5ccccc45)CC3)c21,7.301029995663981,>,-1
DDFVILDYNDAEIK-UHFFFAOYSA-N,COc1ccc2onc(N3CCN(CCCCNC(=O)c4ccc5c(c4)OCO5)CC3)c2c1,6.1249387366083,>,-1
CWNXARPODKGZCQ-UHFFFAOYSA-N,COc1ccc2onc(N3CCN(CCCCNC(=O)c4ccc5nonc5c4)CC3)c2c1,6.1249387366083,>,-1
