inchikey,smiles,bound,relation,implied_label
LEZLIAHSOVEHCJ-HXUWFJFHSA-N,Cc1cnc(Nc2ccccc2O)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2ccccc2)c1,8.698970004336019,<,1
AKWQKQSOQHKIRO-JOCHJYFZSA-N,Cc1ccccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)n1,8.698970004336019,<,1
KYFJPYWXCUCRPE-UHFFFAOYSA-N,COc1ccccc1C1C2=C(CC(C)(C)CC2=O)Nc2n[nH]c(C)c21,7.0,<,1
BCZALBDHNRJRON-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCc2nc(C3C(=O)Nc4ccc(C#N)cc43)ccc2C1,7.0,<,1
YKGHDRCWCCSUNZ-UHFFFAOYSA-N,N#Cc1ccc2c(c1)C(c1ccc3c(n1)CCNC3)C(=O)N2,7.0,<,1
SHIDQXRLXLZACM-UHFFFAOYSA-N,N#Cc1ccc2c(c1)C(c1ccc3c(n1)CCCC3=O)C(=O)N2,7.0,<,1
NREWVCAQQGQLRY-UHFFFAOYSA-N,N#Cc1ccc2c(c1)C(c1ccc3c(n1)C(O)CCC3)C(=O)N2,7.0,<,1
AOQLEKLYMVXVEB-UHFFFAOYSA-N,Cc1[nH]nc2c1C(c1ccccc1Br)C1=C(CC(C)(C)CC1=O)N2,7.0,<,1
SCGHSDFJYXYMBN-UHFFFAOYSA-N,CSc1ccccc1C1C2=C(CC(C)(C)CC2=O)Nc2n[nH]c(C)c21,7.0,<,1
HLMOPONLZXTECJ-UHFFFAOYSA-N,Cc1[nH]nc2c1C(c1ccccc1C#N)C1=C(CC(C)(C)CC1=O)N2,7.0,<,1
BNCJGNFYDWVDEN-UHFFFAOYSA-N,Cc1[nH]nc2c1C(c1cccc3nonc13)C1=C(CC(C)(C)CC1=O)N2,7.0,<,1
ZZNMVCURBNSLRA-UHFFFAOYSA-N,CCc1[nH]nc2c1C(c1ccccc1OC)C1=C(CC(C)(C)CC1=O)N2,7.0,<,1
RZVVNOVSJOSUQA-UHFFFAOYSA-N,CC1(C)CC(=O)C2=C(C1)Nc1n[nH]c(C(F)(F)F)c1C2c1ccccc1,7.0,<,1
HCPXWRSYFKRBMH-UHFFFAOYSA-N,CC1(C)CC(=O)C2=C(C1)Nc1n[nH]c(C(F)(F)F)c1C2c1ccccc1F,7.0,<,1
YHMJBUIUJJAINE-UHFFFAOYSA-N,CC1(C)CC(=O)C2=C(C1)Nc1n[nH]c(C(F)(F)F)c1C2c1ccccc1C(F)(F)F,7.0,<,1
DZPUVEQFRAPUPZ-UHFFFAOYSA-N,CC1(C)CC(=O)C2=C(C1)Nc1n[nH]c(C(F)(F)F)c1C2c1cccc(F)c1C(F)(F)F,7.0,<,1
RAGJKAFLTCDPKR-UHFFFAOYSA-N,CC1(C)CC(=O)C2=C(C1)Nc1n[nH]c(C(F)(F)F)c1C2c1cc(F)ccc1C(F)(F)F,7.0,<,1
HSFYCTPGOPYGHQ-UHFFFAOYSA-N,CC1(C)CC(=O)C2=C(C1)Nc1n[nH]c(C(F)(F)F)c1C2(C)c1ccccc1,7.0,<,1
CDDMWBLCZRXCHV-YQQAZPJKSA-N,COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N[C@@H](C)CC(F)(F)F)C3)nn2C(C)(C)C)n(C)n1,7.020907099361674,>,-1
BCXXELIHFYMMCL-IVMMDQJWSA-N,COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N[C@H](C)C4CC4)C3)[nH]n2)n(C)n1,7.3223930472795065,>,-1
IAMWXFYSHDSPAV-HIFRSBDPSA-N,CCCNC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)c3ccnc(C)c3)n[nH]2)C1,6.718966632752272,>,-1
HHFMSCDMXMRSHS-LSDHHAIUSA-N,CCCNC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(C)nc3C)n[nH]2)C1,6.718966632752272,>,-1
AFMAROOLNVJDEH-GXTWGEPZSA-N,CCCNC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(OC)nc3)n[nH]2)C1,7.020907099361674,>,-1
KOKVNGFYECXBAR-OCCSQVGLSA-N,CCCNC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)c3ccnc(OC)c3)n[nH]2)C1,7.020907099361674,>,-1
VETHPLDPAAUZOD-DOTOQJQBSA-N,CCCNC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3cc(C)ccc3S(C)(=O)=O)n[nH]2)C1,7.020907099361674,>,-1
IVGXELFQGFLFFZ-XBUJOUKBSA-N,COc1ccc(S(C)(=O)=O)c(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)C(F)(F)F)C3)[nH]n2)c1,7.3223930472795065,>,-1
UPUSCNRMBMDAHH-RWMBFGLXSA-N,CC[C@H](C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3cncn3C)n[nH]2)C1,6.718966632752272,>,-1
XMRYIOXLHYHQDL-WMLDXEAASA-N,COc1ccc(S(C)(=O)=O)c(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC4(C)CC4)C3)[nH]n2)c1,7.3223930472795065,>,-1
ONSYXNYGXMXRNX-YTTLREONSA-N,COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC4(C)CCOC4)C3)[nH]n2)n(C)n1,7.3223930472795065,>,-1
KIETZCMQSGWUQA-VBVNFKHJSA-N,COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)CC(F)(F)F)C3)[nH]n2)n(C)n1,7.020907099361674,>,-1
OJZYKXBORKYVLL-UHFFFAOYSA-N,CC(C)(C)CC1=C2C(N=N1)NC1=C(C(=O)CC(C)(C)C1)C21CCc2ccc(F)cc21,7.0,<,1
GIWXQPUPTIBRDT-UHFFFAOYSA-N,CCC1(c2cccc(-c3cnn(C)c3C)c2)C2=C(CC(C)(C)NC2=O)NC2N=NC(C(F)(F)F)=C21,7.0,<,1
UHSXJOILZALHAA-NRWPOFLRSA-N,CC[C@@]1(c2cccc(-c3c(C)nn(C)c3C)c2)C2=CN=NC2NC2=C1C(=O)NC(C)(C)C2,7.0,<,1
XBIQHCDSHGMKHX-UHFFFAOYSA-N,CCC1(c2cccc(S(=O)(=O)C3CC3)c2)C2=C(CC(C)(C)NC2=O)NC2N=NC(C)=C21,7.0,<,1
LHAXKTWCKIGGKR-UHFFFAOYSA-N,CCC1(c2cccc(-c3cn(C)nc3C)c2)C2=C(CC(C)(C)NC2=O)NC2N=NC(C(F)(F)F)=C21,7.0,<,1
GVWPCXZZLRKEIF-NRWPOFLRSA-N,CC[C@@]1(c2cccc(-c3ccncc3C)c2)C2=CN=NC2NC2=C1C(=O)NC(C)(C)C2,7.0,<,1
IOAUFAAKRVGQON-UHFFFAOYSA-N,CCC1(c2ccccc2)C2=C(CC(C)(C)CC2=O)NC2N=NC(Br)=C21,7.0,<,1
FSDALWXVHOOMFU-UHFFFAOYSA-N,CCC1(c2cccc(S(=O)(=O)C(C)C)c2)C2=C(CC(C)(C)NC2=O)NC2N=NC(C(F)(F)F)=C21,7.0,<,1
DDEHHROFIQFDFV-BPARTEKVSA-N,CC[C@]1(c2cccc(S(=O)(=O)C3CC3)c2)C2=CN=NC2NC2=C1C(=O)NC(C)(C)C2,7.0,<,1
XPXNGSKMAANGBP-GWQXNCQPSA-N,CC[C@@]1(c2cccc(-c3cncn3C)c2)C2=CN=NC2NC2=C1C(=O)NC(C)(C)C2,7.0,<,1
IGQLUQPZLBKHLA-UHFFFAOYSA-N,CCC1(c2cccc(Cl)c2)C2=C(CC(C)(C)CC2=O)NC2N=NC(C(F)(F)F)=C21,7.0,<,1
UOPFKFUUYBDXCX-NRWPOFLRSA-N,CC[C@@]1(c2cccc(-c3ccncc3C)c2)C2=C(CC(C)(C)NC2=O)NC2N=NC(C(F)(F)F)=C21,7.0,<,1
