inchikey,smiles,pchembl,label
ABQLVQSYGVOLAD-UHFFFAOYSA-N,CCCC(=O)Nc1n[nH]c2ncc(-c3ccc4ccccc4c3)cc12,6.772113295386326,1
ACBCFWOPSOUYBZ-UHFFFAOYSA-N,CN(c1ncnc2[nH]c3cc(F)ccc3c12)C1CCCN(CCC#N)C1,6.011887159731648,1
ACBZAFIQJQQSBY-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1,6.962573502059376,1
ACCHERNYKNJQCA-UHFFFAOYSA-N,COc1ccc(-c2ocnc2C(=O)NCc2ccnc(C(F)(F)F)c2)cc1Cl,7.0,1
ACHSIEQEPPWLSH-VBVNFKHJSA-N,COc1cnc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)CC(F)(F)F)C3)[nH]n2)cn1,7.787812395596042,1
ACQZMAJVOPRMQJ-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1,6.2839966563652006,1
ACRYPFBNYMEDTL-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)[nH]c1c(NC(=O)C3CC3)nccc12,7.154901959985743,1
ACXVCLUGFVYVMQ-DFYNNNJYSA-N,CC(=O)NS(=O)(=O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,6.508638306165727,1
ADEHUIDGBJLBKT-GOSISDBHSA-N,CC(C)CN1CCC[C@@H](C(=O)Nc2cc3cc(-c4cn(C)nn4)ccc3cn2)C1,7.346787486224656,1
AEDFPWDZGXXABE-UONOGXRCSA-N,COCCn1nccc1C(=O)Nc1cc([C@H]2CC[C@@H](OC(=O)NC(C)C)C2)[nH]n1,7.246416941107094,1
AEJUGNOCBAARIW-BMLIUANNSA-N,C[C@@H]1CC[C@@]2(C1)C1=C(N=NC1)NC1=C2C(=O)CC(C)(C)C1,7.0,1
AELWDCDMPFGKBB-UHFFFAOYSA-N,Cc1cc(NCCCc2ccncc2)c2n[nH]c(=O)n2c1,6.2168113089247425,1
AEWMVQMGBPKDNA-UHFFFAOYSA-N,CCC(C)C(=O)Nc1cc2cc(-c3cncc(NCC4CCNCC4)n3)ccc2cn1,7.251811972993799,1
AFASJZDVQBEYHK-UHFFFAOYSA-N,Cc1ccc2ncc(C3=C(c4cn5c6c(cccc46)CN(C=O)C(N4CCCCC4)C5)C(=O)NC3=O)n2c1,8.2839966563652,1
AFMAROOLNVJDEH-GXTWGEPZSA-N,CCCNC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(OC)nc3)n[nH]2)C1,7.020907099361674,1
AFMAROOLNVJDEH-OCCSQVGLSA-N,CCCNC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)c3ccc(OC)nc3)n[nH]2)C1,7.042871802323187,1
AFXZSFRQUZCOKK-MXVIHJGJSA-N,Cn1ncc(-c2ccc3cnc(NC(=O)[C@H]4CC[C@H](CO)CC4)cc3c2)c1CN1CCCCC1,7.508638306165727,1
AGGRRECHHOVABN-UHFFFAOYSA-N,O=C(NCc1ccc(Cl)cc1)c1cc(-c2ccc(O)c(F)c2)n[nH]c1=O,7.4089353929735005,1
AGHPFBJJEZTALG-NTCUHZHNSA-N,Cc1cnc(CC(=O)Nc2cc([C@@H]3CC[C@H](OC(=O)NC4(C)CCOC4)C3)[nH]n2)o1,7.621602099051862,1
AGIRXEADFJVYSD-TUXUZCGSSA-N,CC[C@@]1(c2cccc(-c3cnn(C)c3C)c2)C2=C(CC(C)(C)NC2=O)NC2N=NC(C)=C21,7.0,1
AGIRXEADFJVYSD-UHFFFAOYSA-N,CCC1(c2cccc(-c3cnn(C)c3C)c2)C2=C(CC(C)(C)NC2=O)NC2N=NC(C)=C21,6.259637310505756,1
AGJBOXMICPNPCW-UHFFFAOYSA-N,Cc1c(-c2cc3c(C(=O)Nc4ccc(OC5CCN(C)CC5)cc4)n[nH]c3cc2F)cnn1C,7.455931955649724,1
AGMZGLSKMPYLJR-UHFFFAOYSA-N,CC(C)C(=O)Nc1n[nH]c2cc(-c3cccc(NC(=O)Nc4cccc(Cl)c4)c3)sc12,6.690369832574101,1
AHFWDQSNXFITEU-UHFFFAOYSA-N,CC(=O)N(C)c1ccc(Sc2nc(Nc3cc(C)n[nH]3)c3ccccc3n2)cc1,7.769551078621726,1
AHSPARGRDWUSHB-UHFFFAOYSA-N,CC1(C)CC(=O)C2=C(C1)NC1=C(CN=N1)C21CCN(S(=O)(=O)c2ccccc2C(F)(F)F)CC1,6.259637310505756,1
AHVVQOPDAHKCJF-QGZVFWFLSA-N,Cn1cc(-c2ccc3cnc(NC(=O)CN4CC[C@@H](F)C4)cc3c2)cn1,7.6020599913279625,1
AIEOEZCOGDCWOQ-UHFFFAOYSA-N,Cc1cccc2c(C3=C(c4coc5ncccc45)C(=O)NC3=O)cn(C)c12,6.537602002101044,1
AJIYLBWIEPSBGO-BHGWPJFGSA-N,Nc1ncc(-c2ccncc2)cc1/N=C/c1ccnc(NC(=O)C2CC2)c1,7.42021640338319,1
AJQGFXXLBTYSBP-UHFFFAOYSA-N,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cccc(CCOC(C)(C)C)c21,6.8297382846050425,1
AJRILXIGHKWAAG-OPEVTLNRSA-N,CC[C@@]1(c2cccc(-c3cn(C)nc3C)c2)C2=CN=NC2NC2=C1C(=O)CC(C)(C)[C@H]2F,6.259637310505756,1
AJTBUWMKUOLMNM-UHFFFAOYSA-N,O=c1oc2cc(O)ccc2c2c1[nH]c1ccc(O)cc12,6.508638306165727,1
AJTUZZVTTUKHQK-UHFFFAOYSA-N,O=C(CSc1nnc(Cn2c(C(F)(F)F)nc3ccccc32)o1)Nc1ccccc1,6.886056647693163,1
AKEMXASAMBDUOC-UHFFFAOYSA-N,c1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(-c2cocn2)c1,8.096910013008056,1
AKIOXOHZNRTTOA-UHFFFAOYSA-N,CCC1(c2cccc(-c3ccnc(CCO)c3)c2)C2=CN=NC2NC2=C1C(=O)CC(C)(C)C2,6.259637310505756,1
AKKRBBVASPCAOU-UHFFFAOYSA-N,COc1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1C(N)=O,7.522878745280337,1
AKLSXSNSFBGKRD-UHFFFAOYSA-N,Cc1ncc(S(=O)(=O)N2CCC3(CC2)C2=C(N=NC2)NC2=C3C(=O)CC(C)(C)C2)o1,7.0,1
AKLYXCASCGZXKD-LSDHHAIUSA-N,CCC(C)(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3cnn(C)c3)n[nH]2)C1,7.373659632624958,1
AKQJAOKBKBKHTP-UHFFFAOYSA-N,CN1Cc2ccc(NC(=O)c3n[nH]c4cc(F)c(-c5cnn(C)c5)cc34)cc2C1,7.455931955649724,1
AKWQKQSOQHKIRO-JOCHJYFZSA-N,Cc1ccccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)n1,8.698970004336019,1
AKYXUYKRNRLTAG-ZNLRHDTNSA-N,O=C(O)c1ccc(/C=N/Nc2ncnc3c2cnn3-c2cccc3[nH]cnc23)cc1,8.301029995663981,1
ALGPQGCICJOOHQ-UHFFFAOYSA-N,Cn1cc(C2=C(c3coc4ccc(F)cc34)C(=O)NC2=O)c2cc(I)ccc21,6.7447274948966935,1
ALJWPFKPSDAVOY-UHFFFAOYSA-N,CCC1(c2cccc(S(=O)(=O)c3ccccc3)c2)C2=CN=NC2NC2=C1C(=O)CC(C)(C)C2,7.0,1
ALMDGJLSZXTZKN-UHFFFAOYSA-N,CCC1(c2cccc(N(C)C(=O)COC)c2)C2=CN=NC2NC2=C1C(=O)CC(C)(C)C2,6.259637310505756,1
ALRPJVIDEJKLDX-UHFFFAOYSA-N,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCCc1cn(CCNc2c3c(nc4ccccc24)CCCC3)nn1,7.1938200260161125,1
AMINIFOLNFYOOD-UHFFFAOYSA-N,O=C(Nc1cnccc1-c1ccc(F)cc1)c1ccnc(NC(=O)C2CC2)c1,8.2839966563652,1
AMMPQQQLLQTSSZ-UHFFFAOYSA-N,CC1(C)CC(=O)C2=C(C1)NC1=C(CN=N1)C21CCN(S(=O)(=O)C2=CC=C3CC=CC=C3N2)CC1,7.0,1
AMUPQNBXJXRKHT-UHFFFAOYSA-N,CNC(COC)c1cncc(NC(=O)c2c(N)ncn(-c3c(Cl)cc(COC)cc3Cl)c2=O)c1,6.777283528852417,1
AMXLKIADRMJFQU-UHFFFAOYSA-N,CC(C)n1cc(S(=O)(=O)N2CCC3(CC2)C2=C(N=NC2)NC2=C3C(=O)CC(C)(C)C2)cn1,7.0,1
AMZVBIHYDIQGRK-UHFFFAOYSA-N,CN(C)Cc1ccncc1NC(=O)c1nc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cnc1N,9.318758762624412,1
ANEKFYCMGSQWRF-UHFFFAOYSA-N,Cc1nc2ccccc2n1CC(=O)NNC(=O)CCC(=O)c1ccc(Oc2ccccc2)cc1,7.096910013008056,1
ANHNZYQVWLXJET-UHFFFAOYSA-N,COc1ccc(C2=C(Nc3cccc(Cl)c3)C(=O)NC2=O)cc1,6.806875401645538,1
ANQLMCICXSEVSO-JUERFOTFSA-N,CC[C@@]1(c2cccc(-c3ccnc(C)c3F)c2)C2=CN=NC2NC2=C1C(=O)CC(C)(C)C2,7.0,1
ANVVOODAIJRKDL-UHFFFAOYSA-N,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCOCC2)CC3)=C1c1coc2ccccc12,10.886056647693163,1
AOQLEKLYMVXVEB-UHFFFAOYSA-N,Cc1[nH]nc2c1C(c1ccccc1Br)C1=C(CC(C)(C)CC1=O)N2,7.0,1
APGBAJRVDDZEKF-UHFFFAOYSA-N,COc1ccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)cc1Cl,7.886056647693163,1
APPFBHKDVIOWCF-HHHXNRCGSA-N,CC[C@@]1(c2cccc(-c3cc(C)ncc3C)c2)C2=C(CC(C)(C)CC2=O)Nc2n[nH]c(C(F)(F)F)c21,7.0,1
APPRVPLQWUIXSC-UHFFFAOYSA-N,Nc1n[nH]c2nc(-c3ccc(Br)cc3)cc(-c3ccc(Br)cc3)c12,6.6777807052660805,1
AQDWDWAYVBQMAM-UHFFFAOYSA-N,CC(C)CC(=O)Nc1cncc(-c2ccc3[nH]nc(-c4nc5cncc(-c6cccc(F)c6)c5[nH]4)c3c2)c1,6.501405136155445,1
AQDWSSHLBVIXJI-GWQXNCQPSA-N,CC[C@@]1(c2cccc(S(=O)(=O)C3CC3)c2)C2=CN=NC2NC2=C1C(=O)N(C)C(C)(C)C2,7.0,1
AQGNHMOJWBZFQQ-UHFFFAOYSA-N,Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1,8.698970004336019,1
