inchikey,smiles,pchembl,label
AABXSESJRGKXGN-UHFFFAOYSA-N,Nc1nc(-c2ccc(CCCCN3CCN(c4ccccc4)CC3)cc2)cs1,7.431798275933005,1
AAELEHAFAYIZRH-KDURUIRLSA-N,O=C(N[C@H]1CC[C@@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,9.721246399047171,1
AAFRVQNKSBHBMX-PMACEKPBSA-N,COc1ccccc1CCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCCS3,7.346787486224656,1
AAFRVQNKSBHBMX-WOJBJXKFSA-N,COc1ccccc1CCN1CC[C@@H]2[C@H](C1)c1cccc3c1N2CCCS3,7.494850021680094,1
AARWRAFDYZSYPD-UHFFFAOYSA-N,Cc1c(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)nnn1Cc1ccccc1,8.130768280269024,1
AAYBHLNWKYXETD-OAQYLSRUSA-N,O=S(=O)(c1cccc2ncccc12)N1CCC[C@@H]1CCN1CCC(c2noc3cc(F)ccc23)CC1,8.301029995663981,1
ABHOAXOMMBWABW-UHFFFAOYSA-N,OC(c1ccc(F)cc1)C1CCN(CCc2cccc(I)c2)CC1,7.882728704344236,1
ABHVAQKOVOLZPM-QAQDUYKDSA-N,O=CN[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,7.628932137728263,1
ABKFNWSCLGGDOH-UHFFFAOYSA-N,CCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,6.424812155072339,1
ABRHHKBVYSPBRC-UHFFFAOYSA-N,Cc1ncnc(C)c1-c1cc(NC(=O)C2CC2)ccc1OC1CNC1,7.296708621881338,1
ACAWRKNKSILJBW-UVXAETBJSA-N,O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1)C1CCOC1,7.618884919290149,1
ACEAZRLEPRIAMD-WGSAOQKQSA-N,CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3ncc(C)c4c3CCO4)CC2)CC1,7.170696227168975,1
ACGMNHREYQCHCG-RPWUZVMVSA-N,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)[C@H]2CCN(C)C[C@H]2F)cc1,9.013228265733755,1
ACGMNHREYQCHCG-ZEQRLZLVSA-N,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)[C@H]2CCN(C)C[C@@H]2F)cc1,8.065501548756432,1
ACOAOGROWGMNKK-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)N(CCCCN1CCN3c4cccc5scc(c45)CC3C1)C2,6.795880017344075,1
ACOZPXLCYUQMHS-UHFFFAOYSA-N,O=C(CCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2c3c(c1)CCN3C(=O)CC2,9.142667503568731,1
ACSUMENHCIMTQG-QHCPKHFHSA-N,O=S(=O)(c1cccc2ncccc12)N1CCCCC[C@H]1CCN1CCN(c2cccc3sccc23)CC1,7.292429823902063,1
ACTVOFFLDWZANE-KHMGXFTDSA-N,CN(C)CC1C[C@H]2c3ccccc3Cc3ccccc3[C@H]2O1,6.991399828238082,1
ACTVOFFLDWZANE-PWIZWCRZSA-N,CN(C)C[C@@H]1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1,7.698970004336019,1
ACTVOFFLDWZANE-VDGAXYAQSA-N,CN(C)C[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3[C@@H]2O1,6.982966660701219,1
ACVPBIAKHSWASO-UHFFFAOYSA-N,Cn1ncc(Cl)c1-c1cc(NC(=O)C(=O)c2cc(Br)cs2)ccc1OCCN,8.920818753952375,1
ACZCVZUKGWGYJX-UHFFFAOYSA-N,CC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,11.0,1
ADETWEPXXIGKFW-UHFFFAOYSA-N,Cc1ccc(Cn2ncc(N3CCNCC3)c(Cl)c2=O)cc1NC(=O)c1ccc(-c2ccccc2)cc1,8.67778070526608,1
ADFZNDKVBUCUPH-AWEZNQCLSA-N,Cc1cc(Oc2cc(Cl)ccc2O[C@H]2CCNC2)ccc1F,7.0,1
ADJFMCUPDBBCOE-UHFFFAOYSA-N,CNCc1ccccc1Oc1ccc(C)c(C)c1,7.1778319206319825,1
ADLYXAHODXNVQT-UHFFFAOYSA-N,COc1cccc(OC)c1C(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21,7.860120913598763,1
ADPWZPGYQIBHOO-SCZZXKLOSA-N,Cc1cc(Cl)c2c(c1)[C@H]1CNC[C@@H]1NC2=O,6.4408924457495,1
ADVRGUCYVUJICT-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1,9.167491087293763,1
AEHLQHXDOCDXMW-UHFFFAOYSA-N,Cc1noc(C)c1-c1cc(NC(=O)C2(F)CC2)ccc1OCCN1CCC1,7.987162775294828,1
AELPHXGUKIVCSY-UHFFFAOYSA-N,CC1CNCCc2cc(F)c(Cl)cc21,7.200659450546418,1
AEPMXQSSUQOYBN-UHFFFAOYSA-N,Clc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1Cl,7.886056647693163,1
AGDJOXPUTNYCLH-UHFFFAOYSA-N,Cc1cc2c(cn1)C(=O)N(CCN1CCN(c3noc4ccccc34)CC1)CC2,8.638272163982407,1
AGDOTHDBWYNHAX-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCCN(CC2CCCCC2)S(=O)(=O)c2cccc3cccnc23)CC1,7.2225731776106885,1
AGNKOCOPBGDROC-SOFGYWHQSA-N,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2Cl)nc1)c1ccccc1F,8.744727494896694,1
AGTKNXCESPGYJK-AKCHCHLHSA-N,CCCN1C[C@H](C(=O)N[C@H](C)CC)C=C2c3cccc4[nH]cc(c34)C[C@H]21,8.866461091629782,1
AGTKNXCESPGYJK-PTSWNOGYSA-N,CCCN1C[C@@H](C(=O)N[C@H](C)CC)C=C2c3cccc4[nH]cc(c34)C[C@H]21,7.559090917934782,1
AGVJHFPAJUYTNV-UHFFFAOYSA-N,CCNC(=O)c1cncc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,7.026872146400302,1
AGVPOFROVYICOD-UHFFFAOYSA-N,Cc1ncccc1Oc1ccc(NC(=O)N2CCc3ccc(Cl)cc32)cn1,6.500312917381596,1
AHJHJVULSVKBEA-KDURUIRLSA-N,O=C(N[C@H]1CC[C@@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,9.244125144327509,1
AHMUCHHOZBSHJG-UHFFFAOYSA-N,Clc1ccc(C2(COc3ccc(Cl)cc3OC3CNC3)CCC2)cc1,8.096910013008056,1
AHMURXQSHIEEHN-UHFFFAOYSA-N,COc1ccccc1C1NCCc2c1[nH]c1ccc(O)cc21,6.570247719997592,1
AHUMNGJPPZDQHN-UHFFFAOYSA-N,Cc1ccc2c(c1)Oc1cc(C)ccc1C(N1CCN(CC3(C(=O)O)CC3)CC1)=N2,7.886056647693163,1
AHZQKSCHGGUEEP-UHFFFAOYSA-N,Cc1noc2c1C(=O)N(CCN1CCN(c3noc4ccccc34)CC1)CC2,8.096910013008056,1
AIRVOCDKJXGJQV-UHFFFAOYSA-N,COc1ccc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)cc4)c4ccccc34)n2)cc1,7.080921907623926,1
AJKHCYJJCNCJBK-MWLCHTKSSA-N,COc1cccc([C@H]2C[C@@H]2CN)c1,6.212539525481585,1
AJOLXGKMRXNPKQ-UHFFFAOYSA-N,C#CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4cc(OC)cc(OCCOCCOCCOC)c4)n3)c3ccccc23)n(-c2ccc(C)cc2)n1,6.818156412055227,1
AJVPXLKAJYXQNL-LLVKDONJSA-N,C[C@@H](Oc1ccc(Cl)cc1OC1CNC1)c1cccc(C(F)(F)F)c1,6.498940737782249,1
AJYOFNGCTKSKEC-UHFFFAOYSA-N,Oc1ccc2[nH]c3c(c2c1)CCNC3CCc1ccccc1,6.860120913598763,1
AKTHZRZKYPJJRC-UHFFFAOYSA-N,O=C(Cc1ccccc1)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,10.397940008672037,1
AKXPLUFJRRUGNE-UHFFFAOYSA-N,CC1(CCCN2CCN(c3ccccn3)CC2)Cc2cc(Cl)ccc2C1=O,6.698970004336019,1
ALIKLTHFBZBJOJ-UHFFFAOYSA-N,CNC(C)c1cc(C)ccc1Oc1ccc(Cl)c(Cl)c1,6.764471553092451,1
ALNNHFGNPITCHG-ONGXEEELSA-N,CC1(C)Cc2cc(Cl)cc([C@H]3C[C@H]3CN)c2O1,6.221848749616356,1
ALQGLJXKAZSVKC-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCCCOc2ccc3c(C)cc(=O)oc3c2C(C)=O)CC1,7.251811972993799,1
ALTAMTJSSZBUFX-UHFFFAOYSA-N,COc1cccc(C(=O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,8.807196863200843,1
ALTKABGEMCJWJH-UHFFFAOYSA-N,C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,6.610833915635467,1
AMCGNHPMLVBAQK-UHFFFAOYSA-N,Nc1nc2cc(CCN3CCN(c4cccc5sccc45)CC3)ccc2s1,8.044312249686495,1
