inchikey,smiles,pchembl,label
AARHXQVWPPDBEJ-UHFFFAOYSA-N,C#CCN(CCO)CCCOc1cc(N)c(Cl)cc1Cl,8.119186407719209,1
ACMUWEPQJZXNBW-UHFFFAOYSA-N,O=C1c2ccccc2-c2nccc3cc(OCCCCCN4CCN(c5cccc(Cl)c5Cl)CC4)cc1c23,8.221848749616356,1
ACQQSVLNYFFGER-UHFFFAOYSA-N,C#CCNC1CCc2c(OC(=O)N(C)C)cccc21,7.275724130399211,1
ADNLHHZORGWZRU-UHFFFAOYSA-N,Clc1ccccc1CN=Nc1nc2ccccc2nc1Cc1ccccc1,8.236572006437063,1
AELCINSCMGFISI-BDAKNGLRSA-N,N[C@H]1C[C@@H]1c1ccccc1,7.189767482004916,1
AFNVDBXJVZCFLO-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,8.045757490560675,1
AFSVTGXZVYXITM-UHFFFAOYSA-N,Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,6.7447274948966935,1
AFUCFLBOHMTUIK-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(-c2csc([N]N=C3[C][C][C][C]3)n2)cc1,6.46344155742847,1
AGATWFCSQRRDGY-UHFFFAOYSA-N,C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,6.102372908709558,1
AGNSUSGEAURXIR-UHFFFAOYSA-N,COc1cc(C2=NN(S(=O)(=O)c3ccc(C)cc3)C(c3ccccc3)C2)ccc1O,7.221848749616356,1
AIECALGLXZTSBK-UHFFFAOYSA-N,C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,7.221848749616356,1
AJLDSFDDBIOXAN-UHFFFAOYSA-N,Cc1cc(OC(F)(F)F)ccc1-c1ccc2cc(-n3ccnc3)ccc2n1,6.552841968657781,1
AKWMWKXSORNDQM-UHFFFAOYSA-N,C#CCN(C)CCCOc1cc(N)c(Cl)cc1Cl,7.823908740944319,1
ALKGQEBJEVCRNU-SDKVNCLTSA-N,COc1ccccc1C(/C=C/c1ccccc1Cl)=N/NC(=O)Cn1c(=O)oc2ccccc21,8.397940008672037,1
AMQROUIFQOFNOQ-UHFFFAOYSA-N,C#CCN(C)CCCOc1cc(NS(C)(=O)=O)c(Cl)cc1Cl,9.193820026016112,1
APIPFXZYOMIJQG-UHFFFAOYSA-N,O=c1c2cccc(O)c2oc2cccc(O)c12,6.136677139879544,1
AQIQDTVKCYWMAY-KUZSRZIKSA-N,Cc1ccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(O)cc2)cc1,8.0,1
ARHATTWCRYKNGD-UHFFFAOYSA-N,C#CCN1C(=O)SC(=Cc2ccc(N3CCN(c4ccccc4OCC)CC3)cc2)C1=O,6.661543506395395,1
AUVIKVDVNRIODX-UHFFFAOYSA-N,O=C1OCc2ccc(OCc3ccc(F)cc3)cc21,6.266000713461613,1
AZGOVLGMSGAOMP-FZYUQVBKSA-N,CN1C(=N)N(C)/C(=C/c2c[nH]c3ccccc23)C1=O,7.455931955649724,1
AZMTUNCJEURLEA-LTGZKZEYSA-N,O=C1NC(=O)/C(=C\c2ccc(NCCN3CCN(Cc4ccccc4)CC3)cc2)S1,6.130768280269024,1
AZYKUNKWAWEMPI-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccccc1,7.0,1
BBNQQADTFFCFGB-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,6.374687549038326,1
BBXNSTAOLUDAAN-UHFFFAOYSA-N,NC(=S)NNC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21,8.0,1
BCDYNUAMNOVRRM-UHFFFAOYSA-N,c1ccc(C2CC(c3c4ccccc4cc4ccccc34)N=N2)nc1,6.68729385440211,1
BDBKTQWAORGGJI-UHFFFAOYSA-N,Clc1ccc(OCCCN2CC=CCC2)c(Cl)c1,6.045757490560675,1
BDLCKVSBCPDQJX-WJDWOHSUSA-N,CN(C)c1ccc(/C=C2\Oc3ccccc3C2=O)cc1,6.571865205971211,1
BFEGIYKTVGATBR-UHFFFAOYSA-N,COc1ccc2c3c(n(C)c2c1)C(C)=[N+](C)CC3,6.853871964321762,1
BFMIHUVGJBDZLU-UHFFFAOYSA-N,O=c1ccoc2cc(OCc3ccc(Br)cc3)ccc12,6.22767829327708,1
BGUZJXHODSCNAJ-UHFFFAOYSA-N,N#Cc1ccc(COc2ccc3occc(=O)c3c2)cc1,6.756961951313706,1
BIXFSOKLHGGSHU-UHFFFAOYSA-N,COc1ccc(CN=Nc2nc3ccccc3nc2Cc2ccccc2)cc1,7.200659450546418,1
BKUHJOAMVIUYJY-UHFFFAOYSA-N,CCOC(=O)c1cc2cc([N+](=O)[O-])ccc2cc1O,6.590066876668706,1
BMJHUNBHMOGRSW-UHFFFAOYSA-N,N#Cc1cccc(COc2ccc3occc(=O)c3c2)c1,6.5934598195660445,1
BNLRKUSVMCIOGU-UHFFFAOYSA-N,O=c1c2ccccc2oc2cccc(O)c12,6.508638306165727,1
BOYGOBOOVIZFGL-UHFFFAOYSA-N,N#Cc1ccc(COc2ccc3c(c2)CCCC3=O)cc1,6.1830961606243395,1
BRKZBSHTYDDRHP-UHFFFAOYSA-N,CCCn1c2cc(OCc3cn(Cc4ccccc4Cl)nn3)ccc2c2ccnc(C)c21,6.585026652029182,1
BRLIOTJQBXTUFB-UHFFFAOYSA-N,C#CCN(C)CC(=C)c1ccccc1,7.221848749616356,1
BSTJKGVHQLTINE-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccccc2)CC1c1ccccc1,8.045757490560675,1
BTFHLQRNAMSNLC-UHFFFAOYSA-N,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,11.309803919971486,1
BVNIBOGSMAIXSI-HNAYVOBHSA-N,Fc1ccc([C@@H]2C[C@H]2NCc2cn(-c3ccc4[nH]ncc4c3)nn2)cc1F,6.614393726401688,1
BWEQEBUJVMCEEU-UHFFFAOYSA-N,COc1ccc2c(c1)-c1nnc(-c3cccc(C(F)(F)F)c3)cc1C2=O,10.0,1
BWJWLFNSMWKGSY-NZQKXSOJSA-N,Fc1ccc([C@@H]2C[C@H]2NCc2cn(-c3ccc(-c4ccncc4)cc3)nn2)cc1F,7.537602002101044,1
BYADYVATCLWADC-UHFFFAOYSA-N,C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,9.397940008672037,1
BYWLVJRVAOJQKR-UHFFFAOYSA-N,COc1cc(C2=NN(C(=S)Nc3ccccc3)C(c3ccccc3)C2)ccc1O,6.259637310505756,1
CAFPZIPDWWVNRP-UHFFFAOYSA-N,C#CCNC1CCc2c(OC(=O)N(C)CC)cccc21,7.721246399047171,1
CECUPFJNMJEGAZ-WUXMJOGZSA-N,O=C1/C(=C/c2cccc(Br)c2)Cc2cc(O)ccc21,6.882728704344236,1
CGOCGPOAPLNJFM-UHFFFAOYSA-N,Cc1nccc2c1[nH]c1cc(OCc3ccccc3)ccc12,7.886056647693163,1
CKSVYVHLZNMXLX-UHFFFAOYSA-N,O=c1cc(-c2ccc([N+](=O)[O-])cc2)oc2ccccc12,6.075720713938118,1
CLZHYFKPLKCUHD-ZDLGFXPLSA-N,O=C1/C(=C/c2ccc(N3CCCCC3)cc2)Oc2cc(O)cc(O)c21,6.567030709125595,1
COKNPTWLLZBCKS-DHZHZOJOSA-N,C#CCNc1ccc(/C=C2/SC(=O)NC2=O)cc1,6.2839966563652006,1
COLAZIIUILQRBH-UHFFFAOYSA-N,Cc1ccc(C2CC(c3ccccc3)=NN2C(=O)Cn2c(=O)oc3ccccc32)cc1,8.397940008672037,1
CPEJWUGAQDQTIT-UHFFFAOYSA-N,CC(=O)Nc1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,8.0,1
CQBBSZUVCQFFIZ-OAQYLSRUSA-N,Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2ccccc2)cc1,7.920818753952375,1
CQFGSDLIRKFROE-UHFFFAOYSA-N,COc1cccc(C2=NN(C(C)=O)CC2)c1,6.619788758288394,1
CQMYLPVTAOTEIG-UHFFFAOYSA-N,C=CCNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(F)cc1,10.0,1
CSZNFKADCZOJFQ-UHFFFAOYSA-O,C#CC[NH+](C)CC(=C)c1ccc(Cl)c(Cl)c1,9.0,1
CTHLAPNHCMOVBE-UHFFFAOYSA-N,COCCn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,9.318758762624412,1
CTNLLIXBFZIPOR-UHFFFAOYSA-N,O=C1OCc2ccc(OCCCc3ccccc3)cc21,7.309894379144197,1
CTUMCTXVWKPHLE-XQNSMLJCSA-N,C(=N\NC1Nc2ccccc2N=C1Cc1ccccc1)/c1ccccc1,7.0915149811213505,1
CYYRMXGIAYDXCH-UHFFFAOYSA-N,COc1cc(C(C)N=Nc2nc3ccccc3nc2Cc2ccccc2)cc(OC)c1OC,7.537602002101044,1
DBHNGALCTKSHMU-UHFFFAOYSA-N,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)cc1,8.045757490560675,1
DDEBLIXHOWDGMM-RBUKOAKNSA-N,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(-c3ccoc3)cc2)cc1,7.3979400086720375,1
