inchikey,smiles,bound,relation,implied_label
IOZNWXDZZUWDKK-UHFFFAOYSA-N,CCOC(=O)c1cnc2cc(OCc3cccc(Cl)c3)ccc2c1,7.0,<,1
PRITXNVNTRSKTC-UHFFFAOYSA-N,CCOC(=O)c1cnc2cc(OCc3cccc(C)c3)ccc2c1,7.0,<,1
XUPWPMBLEQJSGQ-UHFFFAOYSA-N,CCOC(=O)c1cnc2cc(OCc3ccc(F)c(C(F)(F)F)c3)ccc2c1,7.0,<,1
OLMFSMXEXCRSQO-UHFFFAOYSA-N,CCOC(=O)c1cnc2cc(OCc3cc(F)cc(F)c3)ccc2c1,7.0,<,1
TYTLOWMVCNILQB-UHFFFAOYSA-N,CCOC(=O)c1cnc2cc(OCc3cc(F)cc(Cl)c3)ccc2c1,7.0,<,1
ASKYBHHJBVSRQM-UHFFFAOYSA-N,CCOC(=O)c1cc2ccc(OCc3cccc(Cl)c3)cc2nc1C,7.0,<,1
GIGRZXSDCGDWMK-UHFFFAOYSA-N,CCOC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2nc1C,7.0,<,1
CKYCYIJKKOHKDN-UHFFFAOYSA-N,CCOC(=O)c1cc2ccc(OCc3ccc(F)c(Cl)c3)cc2nc1C,7.0,<,1
QGEWIIVTKSVQAU-UHFFFAOYSA-N,COC(=O)c1cnc2cc(OCc3cccc(Cl)c3)ccc2c1,7.0,<,1
CSWSSWWZGPZRNB-UHFFFAOYSA-N,CC(C)(O)c1cnc2cc(OCc3cc(F)cc(F)c3)ccc2c1,7.0,<,1
IUPYYBDVEILKQA-UHFFFAOYSA-N,CC(C)(O)c1cnc2cc(OCc3cc(F)c(F)c(F)c3)ccc2c1,7.0,<,1
BCQDXUBRLJRFPO-UHFFFAOYSA-N,Cc1nc2cc(OCc3cccc(Cl)c3)ccc2cc1C(C)(C)O,7.0,<,1
UBYCQPPZJHLQQF-UHFFFAOYSA-N,Cc1nc2cc(OCc3ccc(F)c(Cl)c3)ccc2cc1C(C)(C)O,7.0,<,1
LPLATYSPSNLEBV-UHFFFAOYSA-N,Cc1nc2cc(OCc3cccc(F)c3)ccc2cc1C(C)(C)O,7.0,<,1
ZDAWCNMYUPYKFY-UHFFFAOYSA-N,OCc1cnc2cc(OCc3cc(F)cc(F)c3)ccc2c1,7.0,<,1
HHFRAUXFRYHDFR-UHFFFAOYSA-N,COCc1cnc2cc(OCc3cccc(Cl)c3)ccc2c1,7.0,<,1
QOKJIQQYTPFNKH-UHFFFAOYSA-N,CC(C)(F)c1cnc2cc(OCc3ccc(F)cc3)ccc2c1,7.0,<,1
RCZDLUYSRPUGDN-GFCCVEGCSA-N,C[C@@H](O)c1cnc2cc(OCc3ccc(F)cc3)ccc2c1,7.0,<,1
