inchikey,smiles,pchembl,label
AAFQEIUAVWYQTJ-UHFFFAOYSA-N,Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O,6.779891911959945,1
AAXKYGHMWDRPPR-XYOKQWHBSA-N,COc1ccc(/C=C2\COc3ccccc3C2=O)cc1O,6.321927980861441,1
ABDIJUBDZNYCOU-UHFFFAOYSA-N,Cc1cccc(COc2ccc3occc(=O)c3c2)c1,7.721246399047171,1
ABEPDBZYBNZYGQ-UHFFFAOYSA-N,Fc1ccccc1-c1nc2ccc(N3CCCCC3)nc2o1,6.1771783546968955,1
ACMLKANOGIVEPB-UHFFFAOYSA-N,O=C(O)c1cc2ccccc2oc1=O,7.769551078621726,1
ACPGSGFOVOGJSZ-OLZOCXBDSA-N,N[C@H]1C[C@@H]1c1ccc(-c2cc(Cl)cc(Cl)c2)nc1,6.259637310505756,1
ADCBAOTWERXLAP-UHFFFAOYSA-N,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,6.920818753952375,1
ADEQUHXOUYZXBF-UHFFFAOYSA-N,CN(Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1)Cc1cscn1,7.721246399047171,1
AEFUKUPDUDNBGX-UHFFFAOYSA-N,O=C(Nc1cccc(Cl)c1)c1csc2ccccc2c1=O,8.823908740944319,1
AEILEBXCHOBHHD-UHFFFAOYSA-N,Cc1c(O)c(=O)ccn1CCNC(=O)c1cc2ccc(OCc3ccc(C(F)(F)F)cc3)cc2oc1=O,6.924453038607469,1
AELCINSCMGFISI-BDAKNGLRSA-O,[NH3+][C@H]1C[C@@H]1c1ccccc1,7.481486060122112,1
AELCINSCMGFISI-DTWKUNHWSA-N,N[C@@H]1C[C@H]1c1ccccc1,7.805949399214741,1
AEPKYIAYZYQTIQ-UHFFFAOYSA-N,c1ccc(-c2nc3ccc(N4CCCC4)nc3o2)cc1,6.3872161432802645,1
AFDHBPNJHIYBKV-UHFFFAOYSA-N,N#Cc1ccc(SCc2ccc(F)cc2)cc1C#N,7.468521082957745,1
AFDMKZBWSPXVRV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(OCc3cccc([N+](=O)[O-])c3)ccc12,8.489454989793387,1
AFIZBKGMQWUGEN-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(N/C(S)=N/CCCn2ccnc2)cc1,6.107905397309519,1
AFJXEMJZYJFMQD-UHFFFAOYSA-N,Fc1ccc(-c2csc([N]N=C3[C][C][C][C][C][C]3)n2)c(F)c1,7.795880017344075,1
AFNPPZSINPKUHO-UHFFFAOYSA-N,C#CCNC1CCc2c(OCc3cccc(F)c3)cccc21,6.552841968657781,1
AFSVTGXZVYXITM-UHFFFAOYSA-N,Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,6.627540728779323,1
AFUCFLBOHMTUIK-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(-c2csc([N]N=C3[C][C][C][C]3)n2)cc1,7.026872146400302,1
AGATWFCSQRRDGY-UHFFFAOYSA-N,C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,7.568636235841012,1
