inchikey,smiles,bound,relation,implied_label
KPSDIIGCNXEZCD-RNYCQNDOSA-N,CO/N=C1/CC[C@@]2(c3ccc(OC)c(OC)c3)CCN(C)[C@H]2C1,7.301029995663981,<,1
OFRSCCHAVQTFMP-ROUUACIJSA-N,COc1ccc([C@]23CCN(C)[C@H]2CC2(CC3)OCCO2)cc1OC,7.301029995663981,<,1
OAYRXKQHIRMGST-AJQIHQPISA-N,COc1ccc([C@@]23CCC(=NNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
YEWWJAUYBCCPDA-DQEYMECFSA-N,COc1ccc([C@@]23CCC(=NNCCc4ccccc4)C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
FOURHYHAHVJTQR-ICSRJNTNSA-N,CCC(=O)OC1=C[C@@H]2N(C)CC[C@]2(c2ccc(OC)c(OC)c2)CC1,7.301029995663981,<,1
ARFKTVSYGGZPBI-OZXSUGGESA-N,COc1ccc([C@@]23CCC(OC(=O)c4c(C)cccc4C)=C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
MYZRMRSDRNSLSW-AHWVRZQESA-N,COc1ccc([C@@]23CCC(OC(=O)c4cccc(C)c4C)=C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
BWWRLGRMVSJUHX-XPGWFJOJSA-N,COc1ccc([C@@]23CC[C@@H](n4ccc(C(F)(F)F)n4)C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
RIJXNRZTMASIJA-RFFXKOPCSA-N,COc1ccc([C@@]23CCC(n4cccn4)C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
RIJXNRZTMASIJA-VDGAXYAQSA-N,COc1ccc([C@@]23CC[C@H](n4cccn4)C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
NFOWLGJXMUNNMG-PBEJRMEISA-N,COc1ccc([C@@]23CC[C@@H](N4CCCC4=O)C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
NFOWLGJXMUNNMG-LRQRDZAKSA-N,COc1ccc([C@@]23CC[C@H](N4CCCC4=O)C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
MTQLAPHHSSXYKB-IYCJNLBRSA-N,COc1ccc([C@@]23CC[C@H](C4CCCC(=O)C4)C[C@@H]2N(C)CC3)cc1OC,7.301029995663981,<,1
