inchikey,smiles,pchembl,label
AAADQEFQWNJHOZ-UHFFFAOYSA-N,OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,6.889410289700751,1
AAEKULYONKUBOZ-UHFFFAOYSA-N,CN1C2CCC1C(C(=O)Oc1ccccc1)C(c1ccc(Cl)cc1)C2,6.4089353929735005,1
AAHLCKVWZXFMPB-UHFFFAOYSA-N,CN1Cc2ccccc2C(c2ccc3[nH]ccc3c2)C1,6.863279432843593,1
AAHNBILIYONQLX-UHFFFAOYSA-N,COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,7.494850021680094,1
AATCVLWFSZDJGG-UHFFFAOYSA-N,CSc1ccc(Oc2ccncc2CN(C)C)cc1Cl,8.301029995663981,1
ABAOWFCFAADMKA-UHFFFAOYSA-N,c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)nc1,7.275724130399211,1
ABFFVPNTRSSMPE-HHHXNRCGSA-N,CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4[nH]c5ccc(Cl)cc5c4c3)CC2)c2ccccc21,7.0,1
ABLMTRUAAOJKSC-UHFFFAOYSA-N,FC(F)(F)c1ccccc1OC(c1cccnc1)C1CCNCC1,7.113509274827518,1
ABYFXYVIEFXQPH-HNNXBMFYSA-N,CSc1ccccc1C(=O)N(C1CCCCC1)[C@H]1CCNC1,7.795880017344075,1
ACJLTODAAAIJTN-UHFFFAOYSA-N,O=C1c2cc(CCN3CCC(Cc4ccc(Br)c(OCCO)c4)CC3)ccc2OCC1O,7.7447274948966935,1
ACMJXMGGOZMZJM-UHFFFAOYSA-N,Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5)CC3)cccc2n1,7.400007822415902,1
ACZMLOPMXAUHFP-QFBILLFUSA-N,C=CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,6.568636235841012,1
ADCPRYKGPAHETD-UHFFFAOYSA-N,OC1(c2ccc(Cl)cc2)c2ccc3ccccc3c2C2=NCCCN21,8.259637310505756,1
ADDAJHSAQHJGFA-SFTDATJTSA-N,CCOc1ccc([C@@]23CCC(=O)C[C@@H]2N(C)CC3)cc1OCC1CC1,7.698970004336019,1
ADJFMCUPDBBCOE-UHFFFAOYSA-N,CNCc1ccccc1Oc1ccc(C)c(C)c1,7.892790030352131,1
ADUYXHYSTCIMEO-UHFFFAOYSA-N,O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCCc2c[nH]c3ccccc23)CC1,7.6020599913279625,1
AELRJPYEKUZAOQ-UHFFFAOYSA-N,CCOC(=O)Cc1nn(CNC(=O)CCN2CCN(c3cccc(C)c3C)CC2)c(=O)c2cc(F)ccc12,6.85078088734462,1
AFBGSNRISAOHKD-FUHWJXTLSA-N,CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)CCC3)C[C@H]1CN,6.318758762624412,1
AFSHDEVCDVJTBX-IXCJQBJRSA-N,CNC[C@H](c1ccc2ccccc2c1)[C@H](OCC(=O)Nc1ccccc1)c1ccccc1,8.619788758288394,1
AGFIIERRTNLUMS-UHFFFAOYSA-N,CNCc1cc(C#CCCN2CCOCC2)ccc1Oc1ccc(Cl)cc1,8.920818753952375,1
AHOJZWPBIHIALS-UHFFFAOYSA-N,COc1ccc(C2CN(C)Cc3cc(OCCCN4CCC(F)CC4)ccc32)cc1,8.568636235841012,1
AHOUBRCZNHFOSL-YOEHRIQHSA-N,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,10.1419983281826,1
AIBJZSMLYKTKIK-UHFFFAOYSA-N,CNCc1cnc(C)cc1Oc1ccccc1Oc1ccccc1,6.08460016478773,1
AILKVNMCCFEAQT-LBPRGKRZSA-N,CC(C)(C)C(=O)N(Cc1cccc(Cl)c1Cl)[C@H]1CCNC1,7.585026652029182,1
AIWNTZODSQLIEU-RDPSFJRHSA-N,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(CCOc4ccc(F)cc4)CC3)[C@@H]1CN2,6.8124792791635365,1
AIYDQDXALLSKFM-UHFFFAOYSA-N,O=C1CNCCCN1c1ccc(Cl)c(Cl)c1,7.301029995663981,1
AJEYLRNBBYDSFE-DOMZBBRYSA-N,CNC[C@H](c1ccc(Cl)c(Cl)c1)[C@@H](O)c1cccnc1OC,6.1830961606243395,1
AJVPXLKAJYXQNL-NSHDSACASA-N,C[C@H](Oc1ccc(Cl)cc1OC1CNC1)c1cccc(C(F)(F)F)c1,6.020451625295905,1
AJXWEERKJZAIJJ-UHFFFAOYSA-N,COc1cccc(C2CN(C)Cc3cc(OCCCN4CCC(F)CC4)ccc32)c1,8.366531544420413,1
AKCNZFOHJFSRSN-UHFFFAOYSA-N,Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,6.492739730621038,1
AKSPVPSPCDRFDG-RJRADHEHSA-N,COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(C(=O)N(C)C)(c4ccccc4)CC3)C(C)(C)C2)cc1,7.42021640338319,1
AKYOXKZSLULYCY-UGSOOPFHSA-N,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CC(N)=O)cc21,8.0,1
ALDYOAMDNHLYFY-UHFFFAOYSA-N,CC(C)CN(Cc1cc(F)ccc1C(F)(F)F)C1CCNCC1,8.102372908709558,1
ALIKLTHFBZBJOJ-UHFFFAOYSA-N,CNC(C)c1cc(C)ccc1Oc1ccc(Cl)c(Cl)c1,7.402304814074488,1
ALJJNAMKZDVVQD-UHFFFAOYSA-N,Fc1cc(OCCNCCCc2c[nH]c3ccc(F)cc23)c2c(c1)OCCO2,7.609064892896621,1
ALLVIFFNCLDETM-SECBINFHSA-N,Cc1c(C(=O)N(C)[C@@H]2CCNC2)ccc(Cl)c1Cl,7.236572006437063,1
ALTKABGEMCJWJH-UHFFFAOYSA-N,C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,7.443697499232712,1
ALZTYVXVRZIERJ-UHFFFAOYSA-N,CCN(CC)CCCOc1cc2c(cn1)C(c1ccc(OC)cc1)CN(C)C2,7.180456064458131,1
AMIHUYQKNJHXPT-DRABBMOASA-N,COC(=O)[C@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H]1N2C,8.698970004336019,1
AMNKPXBJLVWEJK-UHFFFAOYSA-N,Clc1ccc(Oc2ncccc2C2CCNCC2)c(Cl)c1,8.568636235841012,1
ANOKEIWYHCYLAM-MSOLQXFVSA-N,CNC[C@@H](O)[C@H](c1ccccc1)n1ccc2ccccc21,6.899629454882437,1
ANOKEIWYHCYLAM-ZWKOTPCHSA-N,CNC[C@H](O)[C@@H](c1ccccc1)n1ccc2ccccc21,7.130768280269024,1
APFLBUWSTCFNIE-UHFFFAOYSA-N,CNCC(Cc1cccs1)c1ccc2ccccc2c1,8.481486060122112,1
APJFYUJBFNMVNI-UHFFFAOYSA-N,FC(F)(F)COc1ccccc1CC(c1ccccc1)N1CCNCC1,7.42021640338319,1
APKZQWLQNBJLOL-UHFFFAOYSA-N,Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(C(C)C)n1,6.1911141326401875,1
APMCQNBYSJNSHZ-UHFFFAOYSA-N,CN(C)Cc1cc(OCCO)ccc1Sc1ccc(F)cc1N,8.920818753952375,1
APQGMQHBIOJWDO-UHFFFAOYSA-N,C1=CCC(c2ccc3ccccc3c2)CNC1,7.200659450546418,1
APTVKHQLUJFYAC-KRWDZBQOSA-N,Cc1ccc2c(c1)CN(C)C[C@H]2c1ccc(F)cc1,6.636388020107855,1
APTVKHQLUJFYAC-UHFFFAOYSA-N,Cc1ccc2c(c1)CN(C)CC2c1ccc(F)cc1,6.638272163982407,1
AQEBNLPGUGBPPZ-UHFFFAOYSA-N,CN1Cc2ccccc2C(c2ccc3cnsc3c2)C1,6.688246138944246,1
AQIDZODGJIWGLO-UHFFFAOYSA-N,COc1cc(Cl)ccc1Oc1ccncc1CN(C)C,8.221848749616356,1
AQSSBDDIMZJNQJ-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)cc1,8.142667503568731,1
AQWGYBOWCFEBRM-UHFFFAOYSA-N,CN(C)Cc1cc(F)ccc1Sc1ccc(CO)cc1N,8.899629454882437,1
AQWUGZUSQXSOTJ-UHFFFAOYSA-N,CCc1cccc(OC(c2cccnc2)C2CCNCC2)c1,8.154901959985743,1
ARDBCTUWVKDCPI-UHFFFAOYSA-N,Fc1ccc2[nH]cc(CC3CN4CCC3CC4)c2c1,7.7447274948966935,1
ARGHRTOHHSCKDO-MHZLTWQESA-N,CN(CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21)CCc1ccc(N=[N+]=[N-])c(I)c1,6.6439741428068775,1
ARPXHYYIWQDDIQ-UHFFFAOYSA-N,CCS(=O)(=O)CCCCNC(CC(C)C)C1(c2ccc(Cl)c(Cl)c2)CCC1,7.4156687756324695,1
ASCGGWXVCATSKL-YOEHRIQHSA-N,NC[C@@H]1C[C@@]1(C(=O)N1Cc2ccccc2C1)c1cccs1,7.886056647693163,1
