inchikey,smiles,cid
GLDQAMYCGOIJDV-UHFFFAOYSA-N,O=C(O)c1cccc(O)c1O,19
KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(O)CCC(=O)C(=O)O,51
YQUVCSBJEUQKSH-UHFFFAOYSA-N,O=C(O)c1ccc(O)c(O)c1,72
WJXSWCUQABXPFS-UHFFFAOYSA-N,Nc1c(O)cccc1C(=O)O,86
WGNUNYPERJMVRM-UHFFFAOYSA-N,O=C(O)Cc1cccnc1,108
ADVPTQAUNPRNPO-UHFFFAOYSA-N,NC(CS(=O)O)C(=O)O,109
BTCSSZJGUNDROE-UHFFFAOYSA-N,NCCCC(=O)O,119
XQXPVVBIMDBYFF-UHFFFAOYSA-N,O=C(O)Cc1ccc(O)cc1,127
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,NCC(=O)CCC(=O)O,137
IZSRJDGCGRAUAR-UHFFFAOYSA-N,O=C(O)C(O)C(O)C(O)C(=O)CO,157
YCWQAMGASJSUIP-UHFFFAOYSA-N,[N-]=[N+]=CC(=O)CCC(N)C(=O)O,164
GFFGJBXGBJISGV-UHFFFAOYSA-N,Nc1ncnc2nc[nH]c12,190
OIRDTQYFTABQOQ-UHFFFAOYSA-N,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,191
POJWUDADGALRAB-UHFFFAOYSA-N,NC(=O)NC1NC(=O)NC1=O,204
SRBFZHDQGSBBOR-UHFFFAOYSA-N,OC1COC(O)C(O)C1O,229
YBJHBAHKTGYVGT-UHFFFAOYSA-N,O=C(O)CCCCC1SCC2NC(=O)NC21,253
IVOMOUWHDPKRLL-UHFFFAOYSA-N,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,274
HLKXYZVTANABHZ-UHFFFAOYSA-N,NC(=O)NC(CC(=O)O)C(=O)O,279
WIIZWVCIJKGZOK-UHFFFAOYSA-N,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,298
BHQCQFFYRZLCQQ-UHFFFAOYSA-N,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,303
GTZCVFVGUGFEME-UHFFFAOYSA-N,O=C(O)C=C(CC(=O)O)C(=O)O,309
KRKNYBCHXYNGOX-UHFFFAOYSA-N,O=C(O)CC(O)(CC(=O)O)C(=O)O,311
IERHLVCPSMICTF-UHFFFAOYSA-N,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1,314
ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,O=c1ccc2ccccc2o1,323
YGSDEFSMJLZEOE-UHFFFAOYSA-N,O=C(O)c1ccccc1O,338
QQVDJLLNRSOCEL-UHFFFAOYSA-N,NCCP(=O)(O)O,339
AHLPHDHHMVZTML-UHFFFAOYSA-N,NCCCC(N)C(=O)O,389
PLIKAWJENQZMHA-UHFFFAOYSA-N,Nc1ccc(O)cc1,403
MYKUKUCHPMASKF-UHFFFAOYSA-N,c1cncc(C2CCCN2)c1,412
SNPPWIUOZRMYNY-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,444
LHGVFZTZFXWLCP-UHFFFAOYSA-N,COc1ccccc1O,460
QIAFMBKCNZACKA-UHFFFAOYSA-N,O=C(O)CNC(=O)c1ccccc1,464
OGNSCSPNOLGXSM-UHFFFAOYSA-N,NCCC(N)C(=O)O,470
ODHCTXKNWHHXJC-UHFFFAOYSA-N,O=C1CCC(C(=O)O)N1,499
TUHVEAJXIMEOSA-UHFFFAOYSA-N,NC(N)=NCCCC(=O)O,500
BJEPYKJPYRNKOW-UHFFFAOYSA-N,O=C(O)CC(O)C(=O)O,525
XUYJLQHKOGNDPB-UHFFFAOYSA-N,O=C(O)CP(=O)(O)O,546
CFFZDZCDUFSOFZ-UHFFFAOYSA-N,O=C(O)Cc1ccc(O)c(O)c1,547
DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN1CC(=O)N=C1N,588
OPTASPLRGRRNAP-UHFFFAOYSA-N,Nc1ccnc(=O)[nH]1,597
RGHNJXZEOKUKBD-UHFFFAOYSA-N,O=C(O)C(O)C(O)C(O)C(O)CO,604
ONIBWKKTOPOVIA-UHFFFAOYSA-N,O=C(O)C1CCCN1,614
