inchikey,smiles,kpuu,y
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1.07,0.029383777685209667
ABAQMTMQQSSUGL-UHFFFAOYSA-N,O=C(Nc1ccnnc1)c1cc(N2CCOCC2)ccc1OCc1ccccc1,0.51,-0.2924298239020636
ABWPQNZPAOAQSG-UHFFFAOYSA-N,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2,0.6050000000000001,-0.21824462534753106
ADUSZEGHFWRTQS-AIBWNMTMSA-N,N[C@@H](COC(c1cccc(F)c1)c1ccccc1OCc1ccccc1)C(=O)O,0.036,-1.4436974992327127
AGOYDEPGAOXOCK-KCBOHYOISA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.014,-1.853871964321762
AGTDFHKXZUTBAZ-UHFFFAOYSA-N,Cc1nc2cc(C)c3c(N)c(C(=O)NC4CN(c5ccc(F)c(F)c5)C4)sc3n2n1,0.04,-1.3979400086720375
AHJRHEGDXFFMBM-UHFFFAOYSA-N,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,0.01,-2.0
AKCDDYGYIGPEKL-JQOQJDEVSA-N,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H](C)[C@@H]2CC[C@H](c4cc(F)c(Cl)cc4C(F)(F)F)O2)C3=O)cn1,0.85,-0.07058107428570728
AKVBERHBEIATDF-LJQANCHMSA-N,Cc1cc(-n2ncc3ccc([C@]4(C#N)CC45CC5)cc32)nc(C)n1,0.19,-0.721246399047171
AMBFXTSHUWUGOM-UHFFFAOYSA-N,CC(C)(O)CNC(=O)c1cc(NC(=O)c2cc(-c3ncccc3F)c(Cl)cc2Cl)n(-c2ccccc2)n1,0.015,-1.8239087409443189
ANGUVPSJNSWBFO-UHFFFAOYSA-N,CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,0.42,-0.37675070960209955
APUPLOWMTWVDLP-UHFFFAOYSA-N,COc1cc(F)c(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)cc1F,0.9,-0.045757490560675115
AQHHHDLHHXJYJD-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc2ccccc12,0.61,-0.21467016498923297
ATUUNJCZCOMUKD-OKILXGFUSA-N,C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C[C@H](C)O1,0.49,-0.3098039199714863
ATZAIHIRNHQQLS-UHFFFAOYSA-N,CC(C)(O)c1ccc(N2Cc3c(cc(C4(C)COC4)nc3-c3ccccc3OCC(F)F)C2=O)cc1,0.03,-1.5228787452803376
AUKATKSQEIQIBB-TZIWHRDSSA-N,Cn1ccc2c(Cc3ccc(-c4nccs4)cc3)cc(C(=O)N[C@@H]3CCOC[C@H]3O)nc21,0.13,-0.8860566476931632
AUMJXOXUSGIUCB-HNNXBMFYSA-N,C[C@@H](COc1ccn(-c2ccc(F)cc2)c(=O)c1)Oc1ccccc1,0.27,-0.5686362358410126
AUMJXOXUSGIUCB-UHFFFAOYSA-N,CC(COc1ccn(-c2ccc(F)cc2)c(=O)c1)Oc1ccccc1,1.3,0.11394335230683679
AUTGNDRENPBZKA-UXHICEINSA-N,CC(C)(O)COc1ccc(C(N)=O)c(O[C@H]2CCN(C(=O)Cc3ccc(OC(F)(F)F)cc3)C[C@H]2F)c1,0.026,-1.585026652029182
AVVMQHQEYKLYQE-UHFFFAOYSA-N,O=C(C1CCN(c2cc(Oc3ccc(F)cc3F)ncn2)CC1)N1Cc2ccccc2C1,0.87,-0.060480747381381476
AWTONMHYTKKOJL-UHFFFAOYSA-N,Cc1cc(C)c2c(n1)sc1c(N3CCCC3)nccc12,37.1,1.5693739096150459
AWUGYMJLMKPPCO-UHFFFAOYSA-N,CC(=O)c1ccc2cncc(N3CCN(c4ccc5cnn(C)c5c4)CC3)c2c1,0.63,-0.2006594505464183
AZCDDVGQZMBMNP-UHFFFAOYSA-N,CC(C)(C)C(=O)N1CCN(c2cncc3ccccc23)CC1,0.2,-0.6989700043360187
AZJXEXSGJAEJIE-UHFFFAOYSA-N,Cc1ccc2nc(C(=O)NCCC#N)cc(Nc3ccccc3F)c2c1,0.71,-0.14874165128092473
BALHCUKTUUNTSK-UHFFFAOYSA-N,Cc1nnc2sc(C(=O)N3CC(c4ccc(F)cc4)C3)c(N)c2c1C,1.3,0.11394335230683679
BCDTWPYNLQYQJL-OAQYLSRUSA-N,Cc1nnc(-c2ccc(-c3cc(F)c(F)c4c3C(=O)N([C@H](C3CC3)C(C)(C)O)C4)cc2)o1,0.1,-1.0
BDCYNMOBTJPEHV-GXSJLCMTSA-N,C[C@@H](c1ccncc1)N(C)C(=O)N[C@@H]1COCC1(F)F,0.77,-0.11350927482751812
BFEBTMFPRJPBTK-LJQANCHMSA-N,Nc1nc2cnc(C(=O)N3CCOC[C@@H]3c3ccc(C(F)(F)F)cc3)cc2c2c1COC2,0.145,-0.8386319977650252
BFTIMHUIJDPDLU-UHFFFAOYSA-N,Cn1nnc2ccc(C(=O)NC3CN(c4cc(Cl)ncc4Cl)C3)cc21,0.11,-0.958607314841775
BGWLGNRSSMAHHB-UHFFFAOYSA-N,Cc1cc2c(Nc3ccccc3)cc(C(=O)NC3CC3)nc2cn1,0.54,-0.26760624017703144
BHDQGEDYCWLCIA-UHFFFAOYSA-N,Cc1cc(C)c2c(n1)sc1c(N3CCC3)ncnc12,6.49,0.8122446968003693
