inchikey,smiles,efflux_ratio,label
AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,24.7,1
AANSKPBKCYRDSQ-PWPNFUGASA-N,CC[C@@H]1CN(C)[C@H]2Cc3c(n(Cc4cccc(Cl)c4)c4ccccc34)C(=O)C[C@H]1C2C(=O)OC,24.115000000000002,1
ABJHZTBPBIEJNR-ROPHOZQPSA-N,COCO[C@@H]1CC(=O)OC[C@H](C)C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@H]1Cc1ccccc1,15.9,1
ABNCFPYCMDGBQM-SFTDATJTSA-N,O=c1c2cc(Cc3ccc(Cl)nc3)c3ccccc3c2ncn1[C@H]1CCCC[C@@H]1O,1.1,0
ABUAQXZQVYHURY-UHFFFAOYSA-N,Cc1ncc(CCc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)cn1,0.5,0
ACGMNHREYQCHCG-RPWUZVMVSA-N,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)[C@H]2CCN(C)C[C@H]2F)cc1,0.6,0
ACGMNHREYQCHCG-ZEQRLZLVSA-N,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)[C@H]2CCN(C)C[C@@H]2F)cc1,0.9,0
ADFCGMNUUNFWQE-OWDDDQQHSA-N,C/C1=C\[C@@H]2[C@H](CC[C@@](C)(O)[C@H](O)[C@H]3[C@@H](OC(=O)c4ccccc4)[C@@H](C)C[C@]3(O)[C@H]1O)C2(C)C,2.87,1
AEEUVUOXVOFFCH-XPTSAGLGSA-N,NC1=N[C@@]2(c3cccs3)CN(c3ncc(F)cn3)C[C@H]2CS1,1.1,0
AEXKDWVVGVHVQM-ZCNNSNEGSA-N,CC(C)C1=C(O)C(=O)[C@@]23O[C@@]2(C(=O)C(O)=C2C(C)(C)CCC[C@@]23C)C1=O,0.8300000000000001,0
AEZZJXJIJFSUEM-QFIPXVFZSA-N,Cc1ccc(-n2nccn2)c(C(=O)N2CCCO[C@H]2Cn2ccc(-c3ccc(F)cn3)n2)c1,2.43,1
AFILIHBHKOYKSE-FVNVILKRSA-N,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)/C=C/c4ccccc4)[C@H](OC(=O)c4ccccc4)[C@]12C)[C@H]3OC(=O)c1cccnc1,2.5,1
AFNNYMZEMGROFW-UHFFFAOYSA-N,CN1CCN(c2nc(N)nc(C(C)(C)Sc3ccc4ccccc4c3)n2)CC1,8.08,1
AFRDSXOKYYDWNV-NISPWTRESA-N,O=C1/C(=C/c2ccccc2)CN(C(=O)c2ccccc2C(=O)N2C/C(=C\c3ccccc3)C(=O)/C(=C/c3ccccc3)C2)C/C1=C\c1ccccc1,49.0,1
AGOYDEPGAOXOCK-KCBOHYOISA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,6.23,1
AGQNXHHKILGVSY-WDBWVQEKSA-N,COC(=O)N1C2C3C4N(C(=O)OC)C5C(C1[C@]5(CO)[C@H]3c1ccccc1)[C@@H](c1ccccc1)[C@@]24CO,11.350000000000001,1
AGSHHGJHMMIHMA-WSDSZJOHSA-N,CC[C@@H]1CN(C)[C@H]2Cc3c(n(Cc4cccc(OC)c4)c4ccccc34)C(=O)C[C@H]1C2C(=O)OC,7.34,1
AGWQLDMUTXNZEU-UHFFFAOYSA-N,CNc1ccc(OC)cc1-c1nc2ccccc2n(C)c1=O,1.1,0
AJAVGHSGEDSWLB-SRVRYNIDSA-N,CC(C)O[C@H]1CC[C@H](C(=O)N2Cc3cccnc3Nc3ccc(N4CC5CCC4CO5)cc32)CC1,3.6,1
AJGHMGHCQLOLQU-UHFFFAOYSA-N,COc1cc2c(cc1OC)CN(Cc1ccc(-c3ccc(OCCCOc4nonc4-c4ccccc4)cc3)cc1)CC2,20.0,1
AJZNPNXPGWPMRB-UHFFFAOYSA-N,COc1cc2c(cc1OC)CN(Cc1ccc(-c3ccc(OCCCCOc4nonc4OC)cc3)cc1)CC2,3.0,1
AKBYJXRCVGBGLK-ZHRDRYKESA-N,C/C1=C/[C@H]2[C@@H](OC(=O)c3ccc4ccccc4c3)[C@@H](C)C[C@]2(O)C(=O)/C(C)=C/[C@@H]2[C@H](CC1)C2(C)C,12.5,1
AKMITMDHRFFGLB-VPTLXERWSA-N,Cc1cc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3n(n2)CCCN3c2ccc(F)c(F)c2)ncn1,3.2,1
AMINIFOLNFYOOD-UHFFFAOYSA-N,O=C(Nc1cnccc1-c1ccc(F)cc1)c1ccnc(NC(=O)C2CC2)c1,1.3,0
ANYQZWFWLCMMGN-UHFFFAOYSA-N,CCOC(=O)C1=CN(Cc2cccc(OC)c2)c2ccccc2C1c1cccc(OC)c1,5.97,1
AOWXCDZQBKSABG-LDNVYYCDSA-N,COc1cc(OC)c2c(c1)O[C@H](c1cc(OC)c(OC)c(OC)c1)[C@@H](OC(=O)c1ccc(F)c(NC(=O)c3cc(OC)c(OC)c(OC)c3)c1)C2=O,4.0,1
APQJMFQVGOJLPM-UHFFFAOYSA-N,CNC(=O)Nc1ccc(-c2ccc(CN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1,12.8,1
AQFPGDOPAWNDQW-QHCPKHFHSA-N,Cc1ccc(-n2nccn2)c(C(=O)N2CCCO[C@H]2Cn2cc(-c3ccc(F)cc3)cn2)c1,1.35,0
AQHMBDAHQGYLIU-XNFHFXFQSA-N,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,10.85,1
AQRLTVSUAUFMHY-RUAZDLNTSA-N,CCC(=O)O[C@H]1[C@@H](C)C[C@]2(OC(C)=O)C(=O)/C(C)=C/[C@@H]3[C@H](CC/C(C)=C/[C@@H]12)C3(C)C,16.795,1
ARPSCEMATCQPAF-UZDCLGTESA-N,CC(=O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)C3=CC[C@]12C,5.4,1
ASFJYRUFJMGSDL-UHFFFAOYSA-N,CCOC(=O)C1=CN(Cc2ccc(OC)cc2)c2ccccc2C1c1ccc(OC)c(OC)c1,9.125,1
ATHSXSQIUYVOGT-UHFFFAOYSA-N,CN(CCc1ccccn1)c1nc(-c2cccc(Br)c2)nc2c1CN(C(=O)Nc1ccccc1)CC2,3.5,1
ATLUVBXLQMFMCI-FWPLAXIVSA-N,C/C1=C/[C@H]2[C@@H](OC(=O)c3ccc(C(F)(F)F)cc3)[C@@H](C)C[C@]2(O)C(=O)/C(C)=C/[C@@H]2[C@H](CC1)C2(C)C,6.45,1
ATOSKBDYVISVPT-IUGDRHFCSA-N,COc1cccc(C(=O)O[C@H]2[C@@H](C)C[C@]3(O)C(=O)/C(C)=C/[C@@H]4[C@H](CC/C(C)=C\[C@@H]23)C4(C)C)c1,22.4,1
ATYXTVKHMLAWBZ-UHFFFAOYSA-N,COc1cc2c(cc1OC)CN(Cc1ccc(-c3ccc(O)cc3)cc1)CC2,1.3,0
AUCVSUIBURWGGF-ZDUSSCGKSA-N,COc1cc([C@@H]2CC(O)=Nc3c2cnn3Cc2cccs2)ccc1O,0.96,0
AUEQFHWGTNJTOG-UERVGZFZSA-N,C=C1[C@@H](OC(=O)C(C)C)[C@@H](OC(C)=O)[C@@H](OC(=O)c2cccnc2)C(C)(C)/C=C/[C@@H](C)C(=O)[C@@]2(O)C[C@H](C)[C@H](OC(=O)CC)[C@@H]2[C@H]1OC(C)=O,2.6500000000000004,1
AUISFPQBEJOBIF-UHFFFAOYSA-N,O=C(O)c1cn(Cc2ccc3c(c2)CCC3O)c2cccc(F)c2c1=O,4.9,1
AVFNYXHRDYAHNF-HEVJPHJFSA-N,CC(C)=C[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O)C=C4[C@@H](CC[C@H](O)[C@]4(C)CO)[C@]3(C)CC[C@]12C,24.55,1
AVHYJJJTZPPAQL-KLRCYVJUSA-N,CC[C@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)/C(=N/NC(=O)OCc3ccc(OC)cc3)C[C@H]1[C@@H]2C(=O)OC,52.379999999999995,1
AWGLUTNWYNMEAK-UHFFFAOYSA-N,CCOC(=O)C1=CN(c2ccccc2)C=C(C(=O)OCC)C1c1ccc(OC)cc1,58.0,1
AWLOFFRFIIJHKA-UHFFFAOYSA-N,CC(=O)C[Se]C(=O)c1ccc(Cl)cc1,84.64,1
AWNNDHTUHGTAEJ-UHFFFAOYSA-N,N#Cc1ccc(-c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)cc1,4.0,1
AWPMPGRATHLETJ-UHFFFAOYSA-N,CN1CCN(c2nc(N)nc(CSCc3ccccc3)n2)CC1,2.22,1
AXJQVVLKUYCICH-OAQYLSRUSA-N,CN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1,1.4,0
AXSBUUREHUWYMO-UHFFFAOYSA-N,CCC(C)(C)c1ccc(OCCCCN2CCN(c3cnccn3)CC2)cc1,1.85,0
