name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier,sample_weight,nps,phenolic_oh_count,catechol_flag,aromatic_ring_count,hbd_count,tpsa,rotatable_bonds
Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,Medium,Polyphenol / Curcuminoid,curated,2,2,1,1,90.0,90.0,70.0,80.0,70.0,60.0,70.0,gold_literature,1.0,79.3,2,1,2,2,93.1,8
Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,High,Stilbenoid,curated,1,1,2,1,80.0,80.0,90.0,70.0,80.0,70.0,80.0,gold_literature,1.0,79.3,3,0,2,3,60.7,2
Vitamin B12,,High,Vitamin B-group / Cobalamin,curated,2,0,1,0,60.0,80.0,70.0,50.0,70.0,50.0,60.0,gold_literature,1.0,65.0,0,0,0,0,80.0,5
Omega-3 (DHA/EPA),CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,High,Polyunsaturated Fatty Acid,curated,2,1,1,1,70.0,90.0,60.0,60.0,80.0,80.0,90.0,gold_literature,1.0,75.0,0,0,0,1,37.3,14
Metformin,CN(C)C(=N)NC(N)=N,Medium,Biguanide Drug,curated,2,2,1,0,22.0,28.0,30.0,15.0,20.0,18.0,15.0,gold_literature,1.0,22.4,0,0,0,4,89.0,0
Coenzyme Q10,COc1c(OC)c(C)c(CC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)C)c(=O)c1=O,Medium,Coenzyme / Mitochondrial Antioxidant,curated,1,2,2,2,90.0,60.0,100.0,70.0,60.0,50.0,50.0,gold_literature,1.0,72.1,0,0,0,0,52.6,33
Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Medium,Flavonol,curated,1,2,0,0,80.0,80.0,60.0,70.0,70.0,60.0,60.0,gold_literature,1.0,71.4,5,1,3,5,131.4,1
Nicotinamide Riboside,NC(=O)c1ccc[n+](C2OC(CO)C(O)C2O)c1,High,NAD+ Precursor / Vitamin B3 Derivative,curated,2,1,1,1,70.0,60.0,90.0,70.0,80.0,70.0,70.0,gold_literature,1.0,72.1,0,0,1,4,116.9,3
Ashwagandha,CC12CCC3C(C1(O)CC(=O)C2=O)CCC4=CC(=O)CCC34C,Medium,Adaptogenic Herb / Withanolides,curated,1,1,1,0,80.0,90.0,70.0,60.0,80.0,70.0,80.0,gold_literature,1.0,77.1,0,0,0,1,71.4,0
Ginkgo Biloba,CC1(CCC(=C)C1)C(/C=C/C(=O)O)=C,High,Herbal Extract / Flavonoids + Terpenoids,curated,2,1,0,0,80.0,70.0,70.0,60.0,90.0,60.0,80.0,gold_literature,1.0,73.6,0,0,0,1,37.3,3
Sulforaphane,CS(=O)CCCCN=C=S,Medium,Isothiocyanate,curated,2,2,1,1,90.0,90.0,80.0,70.0,70.0,70.0,60.0,gold_literature,1.0,79.3,0,0,0,0,29.4,5
Vitamin C,OCC(O)C1OC(=O)C(O)=C1O,High,Vitamin / Ascorbic Acid,curated,2,1,1,0,90.0,70.0,70.0,60.0,70.0,50.0,60.0,gold_literature,1.0,70.7,0,0,0,4,107.2,2
Vitamin E,Cc1c(C)c2c(c(C)c1O)CC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,High,Vitamin / Tocopherol,curated,1,0,0,1,100.0,60.0,80.0,50.0,60.0,40.0,50.0,gold_literature,1.0,67.9,1,0,1,1,29.5,12
Alpha-Lipoic Acid,OC(=O)CCCCC1CCSS1,High,Antioxidant Cofactor / Dithiol,curated,1,2,1,1,90.0,80.0,90.0,70.0,70.0,50.0,60.0,gold_literature,1.0,77.1,0,0,0,1,37.3,5
N-Acetylcysteine,CC(=O)NC(CS)C(=O)O,Medium,Amino Acid Derivative / GSH Precursor,curated,1,1,2,1,90.0,70.0,80.0,60.0,60.0,50.0,50.0,gold_literature,1.0,70.0,0,0,0,3,66.4,3
Hesperetin,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,Medium,Flavanone,curated,1,1,0,0,80.0,80.0,60.0,70.0,60.0,50.0,60.0,gold_literature,1.0,69.3,3,1,2,3,96.2,2
Naringenin,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,Medium,Flavanone,curated,1,0,0,0,80.0,70.0,70.0,60.0,60.0,60.0,60.0,gold_literature,1.0,67.9,3,0,2,3,87.0,1
Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,High,Flavone,curated,1,2,1,0,80.0,90.0,70.0,80.0,70.0,70.0,70.0,gold_literature,1.0,77.9,3,0,3,3,90.9,1
Allicin,C=CCS[S+]([O-])CC=C,Medium,Organosulfur Compound,curated,0,1,0,0,70.0,80.0,60.0,50.0,50.0,40.0,50.0,gold_literature,1.0,61.4,0,0,0,0,23.1,5
Hyperforin,C1CCC(NC2CCCCC2)CC1.CCC(C)C(=O)[C@]12C(=O)[C@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C(=O)C(CC=C(C)C)=C2O,Medium,Phloroglucinol Derivative / St. John's Wort,curated,1,0,0,0,70.0,80.0,70.0,60.0,60.0,50.0,60.0,gold_literature,1.0,67.1,0,0,0,2,83.5,14
Bilobalide,CC(C)(C)[C@]1(O)CC2OC(=O)CC23C(=O)OC2OC(=O)[C@H](O)C231,High,Terpenoid / Ginkgo Biloba,curated,2,1,0,0,80.0,70.0,80.0,70.0,80.0,60.0,70.0,gold_literature,1.0,74.3,0,0,0,2,119.4,0
Thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,High,Vitamin B1,curated,1,0,1,0,60.0,60.0,90.0,50.0,60.0,40.0,50.0,gold_literature,1.0,60.7,0,0,2,2,75.9,4
Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc3n(CC(O)C(O)C(O)CO)c2cc1C,High,Vitamin B2,curated,0,0,0,0,70.0,50.0,80.0,40.0,50.0,40.0,40.0,gold_literature,1.0,55.7,0,0,1,5,161.6,5
Niacin,OC(=O)c1cccnc1,High,Vitamin B3,curated,2,1,1,1,70.0,60.0,90.0,60.0,70.0,50.0,50.0,gold_literature,1.0,66.4,0,0,1,1,50.2,1
Creatine,CN(CC(=O)O)C(=N)N,Low-Med,Nitrogenous Organic Acid,curated,1,1,2,2,60.0,50.0,100.0,70.0,60.0,40.0,50.0,gold_literature,1.0,62.9,0,0,0,3,90.4,2
Lutein,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CC(O)CC2(C)C)C(C)(C)CC(O)C1,Medium,Carotenoid / Xanthophyll,curated,1,0,0,0,90.0,70.0,60.0,50.0,60.0,40.0,40.0,gold_literature,1.0,64.3,0,0,0,2,40.5,10
Lycopene,CC(C)=CCCC(C)=CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,Medium,Carotenoid,curated,1,1,0,0,90.0,60.0,70.0,60.0,50.0,40.0,40.0,gold_literature,1.0,63.6,0,0,0,0,0.0,17
EGCG,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Medium,Catechin / Flavan-3-ol / Green Tea,curated,2,2,1,1,90.0,90.0,80.0,90.0,80.0,70.0,80.0,gold_literature,1.0,85.0,8,1,3,8,197.4,3
Chlorogenic Acid,OC1CC(OC(=O)/C=C/c2ccc(O)c(O)c2)CC(O)C1C(=O)O,Medium,Phenolic Acid,curated,1,0,0,0,80.0,80.0,70.0,60.0,70.0,50.0,60.0,gold_literature,1.0,70.7,2,1,1,5,144.5,4
Vitamin D,,High,Vitamin / Secosteroid,curated,2,1,1,1,70.0,80.0,60.0,70.0,70.0,60.0,60.0,gold_literature,1.0,69.3,0,0,0,0,80.0,5
Fisetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,Medium,Flavonol / Senolytic,curated,2,2,1,1,90.0,80.0,70.0,80.0,80.0,80.0,80.0,gold_literature,1.0,80.7,4,1,3,4,111.1,1
Pterostilbene,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,High,Stilbenoid / Resveratrol Analog,curated,1,1,2,1,80.0,80.0,80.0,70.0,80.0,70.0,70.0,gold_literature,1.0,77.1,1,0,2,1,38.7,4
Bacopa Monnieri,OCC1OC(OC2CCC3(C)C4CC=C5C(CCC5(CO)CO)C4(C)CCC3C2O)C(O)C(O)C1O,Medium,Adaptogenic Herb / Bacosides,curated,2,1,0,0,80.0,90.0,70.0,60.0,90.0,70.0,90.0,gold_literature,1.0,79.3,0,0,0,7,160.1,5
Lion's Mane (Hericenone),CCCCCCCCCC(=O)Cc1cc(O)cc(O)c1C=O,Medium,Functional Mushroom / Hericenones and Erinacines,curated,2,1,1,0,70.0,70.0,60.0,80.0,90.0,100.0,80.0,gold_literature,1.0,75.7,2,0,1,2,74.6,11
Rhodiola,OCC(=O)c1ccc(O)cc1,Medium,Adaptogenic Herb / Rosavins and Salidroside,curated,1,0,1,0,80.0,80.0,80.0,50.0,70.0,60.0,70.0,gold_literature,1.0,72.1,1,0,1,2,57.5,2
Phosphatidylserine,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(N)C(=O)O)OC(=O)CCCCCCCCCCCCCCC,High,Phospholipid,curated,1,1,0,0,60.0,70.0,70.0,60.0,80.0,50.0,70.0,gold_literature,1.0,66.4,0,0,0,3,171.7,38
Uridine,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,High,Nucleoside,curated,2,1,1,0,50.0,60.0,80.0,70.0,70.0,70.0,80.0,gold_literature,1.0,65.7,0,0,1,4,124.8,2
Taurine,NCCS(=O)(=O)O,High,Amino Sulfonic Acid,curated,1,2,2,1,80.0,80.0,90.0,60.0,60.0,60.0,60.0,gold_literature,1.0,72.9,0,0,0,2,80.4,2
Kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Medium,Flavonol,curated,1,1,0,0,80.0,80.0,60.0,70.0,70.0,60.0,70.0,gold_literature,1.0,72.1,4,0,3,4,111.1,1
Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,Low,Flavonol,curated,1,1,0,0,90.0,80.0,60.0,80.0,60.0,50.0,60.0,gold_literature,1.0,72.9,6,1,3,6,151.6,1
Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Medium,Flavone,curated,2,1,1,0,80.0,90.0,70.0,70.0,70.0,60.0,70.0,gold_literature,1.0,75.7,4,1,3,4,111.1,1
Catechin,OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,Medium,Flavan-3-ol,curated,1,1,0,0,80.0,70.0,60.0,70.0,60.0,60.0,60.0,gold_literature,1.0,67.9,4,1,2,5,110.4,1
Rutin,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Low,Flavonol Glycoside,curated,0,0,0,0,70.0,70.0,60.0,60.0,60.0,50.0,50.0,gold_literature,1.0,62.9,4,1,3,8,210.5,4
Baicalein,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,High,Flavone / Scutellaria baicalensis,curated,2,2,1,0,80.0,90.0,70.0,80.0,70.0,60.0,70.0,gold_literature,1.0,77.1,3,1,3,3,90.9,1
Wogonin,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,High,Flavone,curated,1,1,0,0,70.0,80.0,60.0,70.0,60.0,50.0,60.0,gold_literature,1.0,67.1,2,1,3,2,79.9,2
Daidzein,O=C1c2ccc(O)cc2OC=C1c1ccc(O)cc1,Medium,Isoflavone,curated,1,0,0,0,70.0,70.0,60.0,60.0,60.0,60.0,60.0,gold_literature,1.0,64.3,2,0,3,2,70.7,1
Genistein,O=C1c2cc(O)cc(O)c2OC(=C1O)c1ccc(O)cc1,Medium,Isoflavone,curated,1,0,0,0,70.0,80.0,60.0,70.0,70.0,60.0,60.0,gold_literature,1.0,69.3,4,0,3,4,111.1,1
Cyanidin,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,Low,Anthocyanin,curated,1,1,0,0,90.0,80.0,60.0,70.0,70.0,60.0,70.0,gold_literature,1.0,74.3,5,1,3,5,112.5,1
