name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier,sample_weight,nps
Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,Medium,Polyphenol / Curcuminoid,curated,2,2,1,1,90.0,90.0,70.0,80.0,70.0,60.0,70.0,gold_literature,1.0,79.3
Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,High,Stilbenoid,curated,1,1,2,1,80.0,80.0,90.0,70.0,80.0,70.0,80.0,gold_literature,1.0,79.3
Vitamin B12,,High,Vitamin B-group / Cobalamin,curated,2,0,1,0,60.0,80.0,70.0,50.0,70.0,50.0,60.0,gold_literature,1.0,65.0
Omega-3 (DHA/EPA),CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,High,Polyunsaturated Fatty Acid,curated,2,1,1,1,70.0,90.0,60.0,60.0,80.0,80.0,90.0,gold_literature,1.0,75.0
Metformin,CN(C)C(=N)NC(N)=N,Medium,Biguanide Drug,curated,2,2,1,0,22.0,28.0,30.0,15.0,20.0,18.0,15.0,gold_literature,1.0,22.4
Coenzyme Q10,COc1c(OC)c(C)c(CC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)C)c(=O)c1=O,Medium,Coenzyme / Mitochondrial Antioxidant,curated,1,2,2,2,90.0,60.0,100.0,70.0,60.0,50.0,50.0,gold_literature,1.0,72.1
Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Medium,Flavonol,curated,1,2,0,0,80.0,80.0,60.0,70.0,70.0,60.0,60.0,gold_literature,1.0,71.4
Nicotinamide Riboside,NC(=O)c1ccc[n+](C2OC(CO)C(O)C2O)c1,High,NAD+ Precursor / Vitamin B3 Derivative,curated,2,1,1,1,70.0,60.0,90.0,70.0,80.0,70.0,70.0,gold_literature,1.0,72.1
Ashwagandha,CC12CCC3C(C1(O)CC(=O)C2=O)CCC4=CC(=O)CCC34C,Medium,Adaptogenic Herb / Withanolides,curated,1,1,1,0,80.0,90.0,70.0,60.0,80.0,70.0,80.0,gold_literature,1.0,77.1
Ginkgo Biloba,CC1(CCC(=C)C1)C(/C=C/C(=O)O)=C,High,Herbal Extract / Flavonoids + Terpenoids,curated,2,1,0,0,80.0,70.0,70.0,60.0,90.0,60.0,80.0,gold_literature,1.0,73.6
