name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier
Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,Medium,Polyphenol / Curcuminoid,curated,2,2,1,1,90.0,90.0,70.0,80.0,70.0,60.0,70.0,gold
Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,High,Stilbenoid,curated,1,1,2,1,80.0,80.0,90.0,70.0,80.0,70.0,80.0,gold
Vitamin B12,,High,Vitamin B-group / Cobalamin,curated,2,0,1,0,60.0,80.0,70.0,50.0,70.0,50.0,60.0,gold
Omega-3 (DHA/EPA),CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,High,Polyunsaturated Fatty Acid,curated,2,1,1,1,70.0,90.0,60.0,60.0,80.0,80.0,90.0,gold
Metformin,CN(C)C(=N)NC(N)=N,Medium,Biguanide Drug,curated,2,2,1,0,70.0,70.0,80.0,90.0,60.0,70.0,50.0,gold
Coenzyme Q10,COc1c(OC)c(C)c(CC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)CCC/C=C(\C)C)c(=O)c1=O,Medium,Coenzyme / Mitochondrial Antioxidant,curated,1,2,2,2,90.0,60.0,100.0,70.0,60.0,50.0,50.0,gold
Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Medium,Flavonol,curated,1,2,0,0,80.0,80.0,60.0,70.0,70.0,60.0,60.0,gold
Nicotinamide Riboside,NC(=O)c1ccc[n+](C2OC(CO)C(O)C2O)c1,High,NAD+ Precursor / Vitamin B3 Derivative,curated,2,1,1,1,70.0,60.0,90.0,70.0,80.0,70.0,70.0,gold
Ashwagandha,CC12CCC3C(C1(O)CC(=O)C2=O)CCC4=CC(=O)CCC34C,Medium,Adaptogenic Herb / Withanolides,curated,1,1,1,0,80.0,90.0,70.0,60.0,80.0,70.0,80.0,gold
Ginkgo Biloba,CC1(CCC(=C)C1)C(/C=C/C(=O)O)=C,High,Herbal Extract / Flavonoids + Terpenoids,curated,2,1,0,0,80.0,70.0,70.0,60.0,90.0,60.0,80.0,gold
Sulforaphane,CS(=O)CCCCN=C=S,Medium,Isothiocyanate,curated,2,2,1,1,90.0,90.0,80.0,70.0,70.0,70.0,60.0,gold
Vitamin C,OCC(O)C1OC(=O)C(O)=C1O,High,Vitamin / Ascorbic Acid,curated,2,1,1,0,90.0,70.0,70.0,60.0,70.0,50.0,60.0,gold
Vitamin E,Cc1c(C)c2c(c(C)c1O)CC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,High,Vitamin / Tocopherol,curated,1,0,0,1,100.0,60.0,80.0,50.0,60.0,40.0,50.0,gold
Alpha-Lipoic Acid,OC(=O)CCCCC1CCSS1,High,Antioxidant Cofactor / Dithiol,curated,1,2,1,1,90.0,80.0,90.0,70.0,70.0,50.0,60.0,gold
N-Acetylcysteine,CC(=O)NC(CS)C(=O)O,Medium,Amino Acid Derivative / GSH Precursor,curated,1,1,2,1,90.0,70.0,80.0,60.0,60.0,50.0,50.0,gold
Hesperetin,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,Medium,Flavanone,curated,1,1,0,0,80.0,80.0,60.0,70.0,60.0,50.0,60.0,gold
Naringenin,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,Medium,Flavanone,curated,1,0,0,0,80.0,70.0,70.0,60.0,60.0,60.0,60.0,gold
Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,High,Flavone,curated,1,2,1,0,80.0,90.0,70.0,80.0,70.0,70.0,70.0,gold
Allicin,,Medium,Organosulfur Compound,curated,0,1,0,0,70.0,80.0,60.0,50.0,50.0,40.0,50.0,gold
Hyperforin,,Medium,Phloroglucinol Derivative / St. John's Wort,curated,1,0,0,0,70.0,80.0,70.0,60.0,60.0,50.0,60.0,gold
Bilobalide,,High,Terpenoid / Ginkgo Biloba,curated,2,1,0,0,80.0,70.0,80.0,70.0,80.0,60.0,70.0,gold
Thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,High,Vitamin B1,curated,1,0,1,0,60.0,60.0,90.0,50.0,60.0,40.0,50.0,gold
Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc3n(CC(O)C(O)C(O)CO)c2cc1C,High,Vitamin B2,curated,0,0,0,0,70.0,50.0,80.0,40.0,50.0,40.0,40.0,gold
Niacin,OC(=O)c1cccnc1,High,Vitamin B3,curated,2,1,1,1,70.0,60.0,90.0,60.0,70.0,50.0,50.0,gold
Creatine,CN(CC(=O)O)C(=N)N,Low-Med,Nitrogenous Organic Acid,curated,1,1,2,2,60.0,50.0,100.0,70.0,60.0,40.0,50.0,gold
Lutein,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CC(O)CC2(C)C)C(C)(C)CC(O)C1,Medium,Carotenoid / Xanthophyll,curated,1,0,0,0,90.0,70.0,60.0,50.0,60.0,40.0,40.0,gold
Lycopene,CC(C)=CCCC(C)=CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,Medium,Carotenoid,curated,1,1,0,0,90.0,60.0,70.0,60.0,50.0,40.0,40.0,gold
EGCG,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Medium,Catechin / Flavan-3-ol / Green Tea,curated,2,2,1,1,90.0,90.0,80.0,90.0,80.0,70.0,80.0,gold
Chlorogenic Acid,OC1CC(OC(=O)/C=C/c2ccc(O)c(O)c2)CC(O)C1C(=O)O,Medium,Phenolic Acid,curated,1,0,0,0,80.0,80.0,70.0,60.0,70.0,50.0,60.0,gold
Vitamin D,,High,Vitamin / Secosteroid,curated,2,1,1,1,70.0,80.0,60.0,70.0,70.0,60.0,60.0,gold
Fisetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,Medium,Flavonol / Senolytic,curated,2,2,1,1,90.0,80.0,70.0,80.0,80.0,80.0,80.0,gold
Pterostilbene,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,High,Stilbenoid / Resveratrol Analog,curated,1,1,2,1,80.0,80.0,80.0,70.0,80.0,70.0,70.0,gold
Bacopa Monnieri,OCC1OC(OC2CCC3(C)C4CC=C5C(CCC5(CO)CO)C4(C)CCC3C2O)C(O)C(O)C1O,Medium,Adaptogenic Herb / Bacosides,curated,2,1,0,0,80.0,90.0,70.0,60.0,90.0,70.0,90.0,gold
Lion's Mane (Hericenone),CCCCCCCCCC(=O)Cc1cc(O)cc(O)c1C=O,Medium,Functional Mushroom / Hericenones and Erinacines,curated,2,1,1,0,70.0,70.0,60.0,80.0,90.0,100.0,80.0,gold
Rhodiola,OCC(=O)c1ccc(O)cc1,Medium,Adaptogenic Herb / Rosavins and Salidroside,curated,1,0,1,0,80.0,80.0,80.0,50.0,70.0,60.0,70.0,gold
Phosphatidylserine,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(N)C(=O)O)OC(=O)CCCCCCCCCCCCCCC,High,Phospholipid,curated,1,1,0,0,60.0,70.0,70.0,60.0,80.0,50.0,70.0,gold
Uridine,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,High,Nucleoside,curated,2,1,1,0,50.0,60.0,80.0,70.0,70.0,70.0,80.0,gold
Taurine,NCCS(=O)(=O)O,High,Amino Sulfonic Acid,curated,1,2,2,1,80.0,80.0,90.0,60.0,60.0,60.0,60.0,gold
Kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Medium,Flavonol,curated,1,1,0,0,80.0,80.0,60.0,70.0,70.0,60.0,70.0,gold
Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,Low,Flavonol,curated,1,1,0,0,90.0,80.0,60.0,80.0,60.0,50.0,60.0,gold
Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Medium,Flavone,curated,2,1,1,0,80.0,90.0,70.0,70.0,70.0,60.0,70.0,gold
Catechin,OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,Medium,Flavan-3-ol,curated,1,1,0,0,80.0,70.0,60.0,70.0,60.0,60.0,60.0,gold
Epicatechin,OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,Medium,Flavan-3-ol,curated,1,1,0,0,80.0,70.0,70.0,60.0,70.0,70.0,80.0,gold
Rutin,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Low,Flavonol Glycoside,curated,0,0,0,0,70.0,70.0,60.0,60.0,60.0,50.0,50.0,gold
Baicalein,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,High,Flavone / Scutellaria baicalensis,curated,2,2,1,0,80.0,90.0,70.0,80.0,70.0,60.0,70.0,gold
Wogonin,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,High,Flavone,curated,1,1,0,0,70.0,80.0,60.0,70.0,60.0,50.0,60.0,gold
Daidzein,O=C1c2ccc(O)cc2OC=C1c1ccc(O)cc1,Medium,Isoflavone,curated,1,0,0,0,70.0,70.0,60.0,60.0,60.0,60.0,60.0,gold
Genistein,O=C1c2cc(O)cc(O)c2OC(=C1O)c1ccc(O)cc1,Medium,Isoflavone,curated,1,0,0,0,70.0,80.0,60.0,70.0,70.0,60.0,60.0,gold
Cyanidin,,Low,Anthocyanin,curated,1,1,0,0,90.0,80.0,60.0,70.0,70.0,60.0,70.0,gold
Delphinidin,,Low,Anthocyanin,curated,1,0,0,0,90.0,80.0,60.0,70.0,60.0,50.0,60.0,gold
Nobiletin,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,High,Polymethoxylated Flavone,curated,2,1,1,0,70.0,80.0,70.0,80.0,80.0,70.0,80.0,gold
Silymarin,COc1ccc(C2Oc3cc(O)cc(O)c3C(=O)C2c2ccc(O)c(OC)c2)cc1O,Low,Flavonolignan / Milk Thistle,curated,1,1,0,0,90.0,80.0,70.0,70.0,60.0,60.0,60.0,gold
Galangin,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,Medium,Flavonol,curated,1,0,0,0,70.0,70.0,60.0,70.0,60.0,50.0,60.0,gold
Taxifolin,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,Low,Dihydroflavonol,curated,1,0,0,0,90.0,80.0,70.0,70.0,60.0,50.0,60.0,gold
Isorhamnetin,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,Low,Flavonol,curated,0,0,0,0,80.0,70.0,60.0,60.0,60.0,50.0,50.0,gold
Phloretin,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,Low,Dihydrochalcone,curated,0,0,0,0,70.0,70.0,60.0,60.0,50.0,50.0,50.0,gold
Eriodictyol,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,Low,Flavanone,curated,1,0,0,0,80.0,80.0,60.0,60.0,60.0,50.0,60.0,gold
Xanthohumol,COc1cc(CC=C(C)C)cc(O)c1C(=O)/C=C/c1ccc(O)cc1,Low,Chalcone / Hops,curated,0,0,0,0,80.0,70.0,60.0,60.0,50.0,50.0,50.0,gold
Magnesium L-Threonate,OC(C(O)C(=O)O)C(=O)O,High,Mineral Supplement,curated,2,1,1,1,60.0,70.0,70.0,60.0,90.0,70.0,100.0,gold
Zinc,,Medium,Mineral Supplement,curated,1,0,0,0,70.0,60.0,60.0,60.0,60.0,50.0,60.0,gold
Selenium,,High,Trace Mineral,curated,1,0,1,0,80.0,70.0,70.0,60.0,60.0,50.0,50.0,gold
Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,High,Neurohormone / Pineal Indolamine,curated,2,2,1,1,90.0,80.0,80.0,70.0,70.0,70.0,60.0,gold
L-Theanine,CNC(=O)CCC(N)C(=O)O,High,Non-Protein Amino Acid / Green Tea,curated,1,0,0,0,60.0,70.0,60.0,50.0,80.0,60.0,80.0,gold
PQQ,OC(=O)c1cnc2cc(C(=O)O)c(=O)c(=O)c2c1,High,Redox Cofactor / Pyrroloquinoline Quinone,curated,2,1,1,1,90.0,70.0,100.0,70.0,80.0,80.0,70.0,gold
Berberine,COc1ccc2c(c1OC)-c1cc3c(cc1[N+]2=CC)OCO3,Low,Isoquinoline Alkaloid / Berberis species,curated,2,1,0,0,70.0,80.0,70.0,80.0,70.0,50.0,60.0,gold
Astaxanthin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)C(O)(CC2)C)C(C)(C)C(=O)C(O)C1,High,Keto-Carotenoid,curated,2,1,1,1,100.0,80.0,70.0,60.0,70.0,60.0,70.0,gold
