smiles,label,pchembl,year,source
C#CCCCC(=O)Nc1nc2cccc(Cl)c2c2nc(-c3ccco3)nn12,1,6.77,2016.0,ChEMBL
C#CCCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.05,2016.0,ChEMBL
C#CCCCCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCCNC(=O)c5ccc(S(=O)(=O)F)cc5)c4[nH]3)(CC1)CC2,1,8.605,2021.0,ChEMBL
C#CCCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,1,6.05,2020.0,ChEMBL
C#CCN1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1,1,6.1,2012.0,ChEMBL
C#CCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCC)c4[nH]3)(CC1)CC2,1,7.04,2021.0,ChEMBL
C#CCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCCNC(=O)c5ccc(S(=O)(=O)F)cc5)c4[nH]3)(CC1)CC2,1,7.46,2021.0,ChEMBL
C#CCOc1cccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)c1,1,7.35,2017.0,ChEMBL
C#CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,1,6.91,2002.0,ChEMBL
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCC2)n(C)c1=O,1,6.06,2013.0,ChEMBL
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(C)c1=O,0,4.94,2013.0,ChEMBL
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccc(OC)cc2)n(C)c1=O,0,4.99,2013.0,ChEMBL
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O,1,6.6,2013.0,ChEMBL
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2OC)n(C)c1=O,1,6.22,2013.0,ChEMBL
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccs2)n(C)c1=O,1,6.39,2013.0,ChEMBL
C#Cc1c(N)nc2c(c1-c1ccc3c(c1)OCO3)CCCC2,1,6.38,2022.0,ChEMBL
C#Cc1nc(NCc2cccc(Cl)c2)c2ncn([C@H]3[C@H](O)[C@H](O)[C@]4(C(=O)NC)C[C@H]34)c2n1,1,6.76,2008.0,ChEMBL
C#Cc1nc(NOC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,1,7.6,2007.0,ChEMBL
C/N=C(\S)OC[C@H]1OC(n2cnc3c(NC4CCOC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,1,7.15,2004.0,ChEMBL
C/N=C(\S)OC[C@H]1OC(n2cnc3c(NC4CCOC4)ncnc32)[C@H](O)[C@@H]1O,1,7.35,2004.0,ChEMBL
C/N=c1\nc(-c2ccccc2)n(-c2cccc(C)c2)s1,1,6.19,2004.0,ChEMBL
C=C(C)COc1ccc(-c2c(C#N)c(N)nc(SCC(N)=O)c2C#N)cc1,1,6.06,2018.0,ChEMBL
C=C(CCC)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,1,6.75,2014.0,ChEMBL
C=C(OCC)c1cnc(NC(=O)NC2CCCCC2)n2nc(-c3ccco3)nc12,0,4.9,2014.0,ChEMBL
C=CC(=O)Nc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,1,6.58,2019.0,ChEMBL
C=CC/N=C(\S)OC[C@H]1OC(n2cnc3c(NC4CCOC4)ncnc32)[C@H](O)[C@@H]1O,1,7.46,2004.0,ChEMBL
C=CCN(C)S(=O)(=O)c1ccc(NC(=O)Nc2ncnc3c2ncn3C2O[C@H](C(=O)NCC)[C@@H](O)[C@H]2O)cc1,1,6.69,2004.0,ChEMBL
C=CCN(CC=C)S(=O)(=O)c1ccc(NC(=O)Nc2ncnc3c2ncn3C2O[C@H](C(=O)NCC)[C@@H](O)[C@H]2O)cc1,1,6.42,2004.0,ChEMBL
C=CCN1C(=O)N2CC(CC)N=C2c2[nH]c(-c3cc(C)nn3C)nc21,1,6.29,2011.0,ChEMBL
C=CCNC(=O)OC[C@H]1OC(n2cnc3c(NC4CCOC4)ncnc32)[C@H](O)[C@@H]1O,1,6.28,2004.0,ChEMBL
C=CCOc1ccc(-c2c(C#N)c(N)nc(SCC(N)=O)c2C#N)cc1,1,6.49,2018.0,ChEMBL
C=CCOc1ccc(-c2c(C#N)c(N)nc(SCc3ccn[nH]3)c2C#N)cc1,1,7.36,2018.0,ChEMBL
C=CCOc1cccc(-c2nc(O)c3c4ccccc4c(=O)n(CC)n23)c1,1,7.3,2010.0,ChEMBL
C=CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,1,7.38,2002.0,ChEMBL
C=CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,1,7.72,2010.0,ChEMBL
C=CS/C(=C\C)c1ccc2n1[B-](F)(F)[N+]1=C(/C=C/c3ccc(OCC(=O)NCCCCCC(=O)NCCOCCOCCNc4ncnc5c4ncn5[C@@H]4O[C@H](C(=O)NCC)[C@@H](O)[C@H]4O)cc3)C=CC1=C2,1,6.19,2013.0,ChEMBL
C=Cc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1,1,6.79,2015.0,ChEMBL
CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,0,4.82,2023.0,ChEMBL
CC(=O)CCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,1,6.71,2015.0,ChEMBL
CC(=O)COc1cccc2cc(-c3ccccc3)c(=O)oc12,0,4.98,2020.0,ChEMBL
CC(=O)N1CCN(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)CC1,1,6.27,2008.0,ChEMBL
CC(=O)N1CCN(Cc2cccc3c2-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,1,7.47,2010.0,ChEMBL
CC(=O)N1CC[C@@H](Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1,1,6.58,2007.0,ChEMBL
CC(=O)NC(CC(=O)Nc1nc(C(C)=O)cs1)c1ccc(C)cc1,1,8.59,2023.0,ChEMBL
CC(=O)NCCNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,1,6.4,2016.0,ChEMBL
CC(=O)NCCNc1[nH]c(-c2ccccc2)nc2nc(C)c(C)c1-2,1,7.62,1999.0,ChEMBL
CC(=O)NCCNc1nc(-c2ccccc2)nc2[nH]c(C(=O)N3CCN(CCCc4ccccc4)CC3)cc12,1,7.43,2012.0,ChEMBL
CC(=O)Nc1cc(-c2ccc3c(c2)OCO3)cc(-c2ccc3c(c2)OCO3)n1,1,7.04,2017.0,ChEMBL
CC(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccc3c(c2)OCO3)n1,1,7.76,2013.0,ChEMBL
CC(=O)Nc1cc(-c2cccc(N(C)C)n2)nc(-n2nc(C)cc2C)n1,1,7.09,2008.0,ChEMBL
CC(=O)Nc1cc(-c2cccc(N)n2)nc(-n2nc(C)cc2C)n1,1,6.36,2008.0,ChEMBL
CC(=O)Nc1cc(-c2cccc(N3CCC(O)CC3)n2)nc(-n2nc(C)cc2C)n1,1,6.33,2008.0,ChEMBL
CC(=O)Nc1cc(-c2cccc(N3CCCC3)n2)nc(-n2nc(C)cc2C)n1,1,8.14,2008.0,ChEMBL
CC(=O)Nc1cc(-c2cccc(N3CCCCC3)n2)nc(-n2nc(C)cc2C)n1,1,7.51,2008.0,ChEMBL
CC(=O)Nc1cc(-c2cccc(N3CCCOCC3)n2)nc(-n2nc(C)cc2C)n1,1,6.55,2008.0,ChEMBL
