smiles,label,pchembl,year,source
CC(=O)N1N=C(c2ccc(-c3ccccc3)cc2)CC1c1ccc2c(c1)OCO2,1,6.003,2022.0,BindingDB+ChEMBL
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)c(OC)c1)CCCC3,1,7.35,2009.0,ChEMBL
CCNC(=O)Oc1ccc2c(c1)C(N)CC2,0,4.75,2002.0,ChEMBL
CN1CCN(c2c3c(nc4ccc([N+](=O)[O-])cc24)CCCC3)CC1,1,6.61,2022.0,BindingDB+ChEMBL
C[C@H](CC[C@@H](O)C(C)(C)O)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C,0,4.6,2011.0,ChEMBL
CN(C(=O)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)c1cccc(Cl)c1,0,4.301,2007.0,ChEMBL_inactive
O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O,0,4.0,2005.0,ChEMBL_inactive
CN(C)C(=O)Oc1cccc(-c2cn3c(C(F)(F)F)cccc3[n+]2C)c1,0,4.47,2010.0,ChEMBL
CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],1,9.399,2023.0,BindingDB+ChEMBL
COc1cc2c(cc1OC)C(=O)C(Oc1cccc(CN3CCCCC3)c1)C2,1,6.573,2013.0,BindingDB+ChEMBL
CC(OC[n+]1ccn(C)c1/C=N/O)C1CCCCC1,0,4.58,1989.0,ChEMBL
O=C1c2ccccc2C(=O)N1CCCCCCCNCc1ccccc1F,1,6.481,2015.0,BindingDB+ChEMBL
COc1cc2cc(C(=O)C3CCC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC,1,7.551,2004.0,BindingDB+ChEMBL
COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCN1CCCC1,0,4.61,2017.0,ChEMBL
O=C(CNCc1ccccc1F)Nc1ccc2nc3n(c(=O)c2c1)CCC3,1,6.279,2017.0,BindingDB+ChEMBL
CCN(CC)c1ccc(/C=C/c2cc(N3CCCCC3)c3ccccc3n2)cc1,0,4.19,2018.0,ChEMBL
Cc1cccc(C(=O)N2Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3CC2=O)c1,1,7.596,2021.0,BindingDB+ChEMBL
S=C(NNc1c2c(nc3ccccc13)CCCC2)Nc1ccccc1,1,6.212,2019.0,BindingDB+ChEMBL
COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccco1,0,4.0,2020.0,ChEMBL_inactive
COc1ccc(C2CC(c3ccc(Br)cc3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1OC,1,7.42,2020.0,BindingDB+ChEMBL
CC(C)(C)c1cccc(C(=O)C(F)F)c1,1,8.14,2015.0,ChEMBL
Cc1c(N2CCN(C)CC2)nc2ccccc2c1C(=O)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,1,8.39,2005.0,ChEMBL
O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,0,4.07,2019.0,ChEMBL
Clc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,0,4.01,2021.0,ChEMBL
C#CCNC1CCc2c(OC(=O)N(C)C)cccc21,1,6.475,2002.0,BindingDB+ChEMBL
CCCCNC(=O)OCCCCCCCCCCCCCCOC(=O)NCCCC,1,6.798,2005.0,BindingDB+ChEMBL
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,1,6.09,2011.0,ChEMBL
CC(=O)Oc1cccc([N+](C)(C)C)c1C,0,4.39,1997.0,ChEMBL
COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2,1,8.317,,BindingDB
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1,7.7,1992.0,ChEMBL
CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1ccccc1C(F)(F)F)CCCC3,0,4.75,2012.0,ChEMBL
O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,1,7.172,2018.0,BindingDB+ChEMBL
COc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1OC,0,4.09,2013.0,ChEMBL
CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,1,7.52,2010.0,ChEMBL
O/N=C/c1nc(CCCCNc2c3c(nc4ccc(Cl)cc24)CCCC3)ccc1O,0,4.98,2018.0,ChEMBL
CCCCN1CCC(CCC(=O)c2cc(I)c(N)cc2OC)CC1,1,6.18,2017.0,ChEMBL
COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3ccc(F)cc3)CC1)C2,1,8.556,2021.0,BindingDB+ChEMBL
O=C(c1cccc(F)c1)C(O)c1cccc(F)c1,0,4.0,2007.0,ChEMBL_inactive
COC1=CC(=O)[C@]2(C)[C@]3(O)Cc4c(cc(-c5cc(OC)c(OC)c(OC)c5)oc4=O)O[C@]3(C)CC[C@]2(O)C1(C)C,1,6.38,2005.0,ChEMBL
