smiles,label,pchembl,year,source
Brc1cccc(-c2c[nH]c(-c3cccc(CN4CCOCC4)c3)n2)c1,1,6.18,2011.0,ChEMBL
Brc1ccccc1/C=C1\C=C(CCN2CCOCC2)c2ccccc21,1,6.19,2016.0,ChEMBL
C#CCCCC#CCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,1,8.33,2000.0,ChEMBL
C#CCCCC#Cc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,1,6.34,2000.0,ChEMBL
C#CCCCC(=O)OCC(CO)OCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1,7.07,2011.0,ChEMBL
C#CCCCn1cc(C(=O)c2ccc3c(c2)CC(C)(C)C3)c2ccccc21,1,6.49,2021.0,ChEMBL
C#CCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,1,6.43,2000.0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0,4.595000000000001,,ChEMBL
C#Cc1c(C(=O)NN2CC3CCCC3C2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Cl)cc1,1,6.11,2004.0,ChEMBL
C#Cc1cccc(S(=O)(=O)F)c1Cn1nnc2c(N3CCC(F)(F)C3)nc(C(C)(C)C)nc21,1,6.51,2019.0,ChEMBL
C/C(N)=N/C(=N/S(=O)(=O)N1CCC(C(F)(F)F)CC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,7.484999999999999,2022.0,ChEMBL
C/C(N)=N/C(=N/S(=O)(=O)N1CCCC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,7.495000000000001,2022.0,ChEMBL
C/C(N)=N/C(=N/S(=O)(=O)N1CCOCC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,7.355,2022.0,ChEMBL
C/C(N)=N\C(=N\S(=O)(=O)N1CCC(F)(F)CC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,8.145,2022.0,ChEMBL
C/C(N)=N\C(=N\S(=O)(=O)N1CCCCC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,7.88,2022.0,ChEMBL
C/C(N)=N\C(=N\S(=O)(=O)N1CCCCC1)N1C[C@@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,6.21,2022.0,ChEMBL
C/C(N)=N\C(=N\S(=O)(=O)N1CCCCC1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,8.7,2022.0,ChEMBL
C/C=C/C=C/C=C/CC/C=C/C(=O)NCC(C)(C)O,1,8.05,2013.0,ChEMBL
C/C=C/C=C/C=C/CC/C=C/C=C/C(=O)NCC(C)C,1,7.0,2013.0,ChEMBL
C/C=C/C=C/C=C/c1c(O)cc(CC=C(C)C)c(O)c1C=O,0,4.82,2011.0,ChEMBL
C/C=C/C=C/C=C\CC/C=C/C(=O)NCC(C)(O)CO,1,7.39,2013.0,ChEMBL
C/C=C/C=C/C=C\CC/C=C/C=C/C(=O)NCC(C)(C)O,1,6.74,2013.0,ChEMBL
C/C=C1/CC2[C@H](C(=O)OC)C(NC)Cc3c([nH]c4ccccc34)[C@@H](c3cc4c(cc3OC)C3CCN5C[C@H]6C[C@H](CC)[C@H]5[C@@](C(=O)OC)(C6)C3N4)C[C@H]12,1,7.39,2011.0,ChEMBL
C/N=C(\NC(=O)c1ccc(Cl)cc1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,7.925,2004.0,ChEMBL
C/N=C(\NS(=O)(=O)N(C)C(C)C)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,7.9,2005.0,ChEMBL
C/N=C(\NS(=O)(=O)N(C)C)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,6.65,2011.0,ChEMBL
C/N=C(\NS(=O)(=O)N1CCCC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,6.64,2011.0,ChEMBL
C/N=C(\NS(=O)(=O)N1CCCCCC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,6.81,2011.0,ChEMBL
C/N=C(\NS(=O)(=O)N1CCCCCCC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,7.65,2005.0,ChEMBL
C/N=C(\NS(=O)(=O)N1CCOCC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,7.56,2005.0,ChEMBL
C/N=C(\NS(=O)(=O)N1CCS(=O)(=O)CC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,1,7.09,2005.0,ChEMBL
