smiles,label,pchembl,year,source
C=CC(C)(C)[C@H]1CC[C@@H](c2cccc(F)c2)N1C(=O)CNC(=O)c1ccc(Cc2cc(C)n[nH]c2=O)c(C)c1,1,10.3,2021,ChEMBL
CC(=O)C(C)(C)[C@H]1CC[C@@H](c2cccc(F)c2)N1C(=O)CNC(=O)c1ccc(Cc2cc(C)n[nH]c2=O)c(C)c1,1,9.57,2021,ChEMBL
CC(=O)N(C)C([C@H]1CC[C@@H](c2cccc(Cl)c2)N1C(=O)[C@@H](C)NC(=O)c1ccc(Oc2cc(C)n[nH]c2=O)c(C)c1)C(F)(F)F,1,10.61,2021,ChEMBL
CC(=O)N(C)C([C@H]1CC[C@@H](c2cccc(Cl)c2)N1C(=O)[C@@H](C)NC(=O)c1ccc(Oc2cc(C)n[nH]c2=O)c(C)n1)C(F)(F)F,1,10.61,2021,ChEMBL
CC(=O)N(C)[C@@H](C)[C@H]1CC[C@@H](c2cccc(F)c2)N1C(=O)CNC(=O)c1ccc(Cc2cc(C)n[nH]c2=O)c(C)c1,1,10.05,2021,ChEMBL
CC(=O)N(C)[C@@H](C)[C@H]1CC[C@@H](c2cccc(F)c2)N1C(=O)[C@@H](C)NC(=O)c1ccc(Cc2cc(C)n[nH]c2=O)c(C)c1,1,9.9,2021,ChEMBL
CC(=O)N(CC(F)(F)F)[C@@H](C)[C@H]1CC[C@@H](c2cccc(Cl)c2)N1C(=O)[C@@H](C)NC(=O)c1ccc(Oc2cc(C)n[nH]c2=O)c(C)c1,1,10.3,2021,ChEMBL
CC(=O)N(CC(F)(F)F)[C@@H](C)[C@H]1CC[C@@H](c2cccc(Cl)c2)N1C(=O)[C@@H](C)NC(=O)c1ccc(Oc2cc(C)n[nH]c2=O)c(C)n1,1,10.41,2021,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)[C@@H](C)O,1,6.31,1998,ChEMBL
CC(=O)NC([C@H]1CC[C@@H](c2cccc(Cl)c2)N1C(=O)[C@@H](C)NC(=O)c1ccc(Oc2cc(C)n[nH]c2=O)c(C)n1)C(F)(F)F,1,10.1,2021,ChEMBL
CC(=O)N[C@@H](C)[C@H]1CC[C@@H](c2cccc(F)c2)N1C(=O)CNC(=O)c1ccc(Cc2cc(C)n[nH]c2=O)c(C)c1,1,9.74,2021,ChEMBL
CC(=O)N[C@@H](C)[C@H]1CC[C@@H](c2cccc(F)c2)N1C(=O)[C@@H](C)NC(=O)c1ccc(Cc2cc(C)n[nH]c2=O)c(C)c1,1,9.92,2021,ChEMBL
CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)[C@@H](C)O)C(C)C,1,6.69,1998,ChEMBL
CC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)[C@@H](C)O)C(C)C,1,6.52,1998,ChEMBL
CC(C)(C)C(=O)N(Cc1cc(F)cc(F)c1)Cc1cnc2cc3c(cc2c1)C[C@@]1(C3)C(=O)Nc2ncccc21,1,9.16,2010,ChEMBL
CC(C)(C)C(=O)N(Cc1ccc2nc3c(cc2c1)C[C@@]1(C3)C(=O)Nc2ncccc21)C[C@@H]1CCc2ccccc21,1,9.96,2010,ChEMBL
CC(C)(C)C(=O)N(Cc1ccccc1)Cc1cnc2cc3c(cc2c1)C[C@@]1(C3)C(=O)Nc2ncccc21,1,8.89,2010,ChEMBL
CC(C)(C)C(=O)N(Cc1cnc2cc3c(cc2c1)C[C@@]1(C3)C(=O)Nc2ncccc21)C[C@@H]1CCc2ccccc21,1,10.43,2010,ChEMBL
CC(C)(C)C(=O)N(Cc1cnc2nc3c(cc2c1)C[C@@]1(C3)C(=O)Nc2ncccc21)C[C@@H]1CCc2ccccc21,1,9.82,2010,ChEMBL
CC(C)(C)CCN1C(=O)C(CC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)SC1c1cccc(F)c1N1CCN(C(C)(C)C)CC1,1,9.61,2014,ChEMBL
