smiles,label,pchembl,year,source
C#CCn1nc(Br)c2c(NC(=O)c3csc4c(N)ncnc34)cccc21,1,7.58,2019.0,ChEMBL
C1=C(c2cc(C3CNCNC3)ccc2NCc2ncc[nH]2)CCCC1,1,8.6,2024.0,ChEMBL
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,1,7.16,2021.0,ChEMBL
C1=C/COc2ccc(o2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,1,6.859999999999999,2018.0,ChEMBL
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,1,7.4,2022.0,ChEMBL
C=C(C)c1ccc(NC(=O)c2ncc(C#N)[nH]2)c(C2=CCCCC2)c1,1,7.48,2016.0,ChEMBL
C=C(C)c1cnc2ccc(Nc3ccc(OCc4ccc(OC)cc4)c(OC)c3)c(C#N)c2n1,1,7.56,2020.0,ChEMBL
C=C(C)c1cnc2ccc(Nc3ccc(OCc4ccc(OC)cc4)c(OC)c3)cc2n1,1,7.56,2020.0,ChEMBL
C=C(CN1CCOCC1)c1ccc(NC(=O)c2nc(C#N)c[nH]2)c(C2=CCCCC2)c1.O=C(O)C(F)(F)F,1,8.41,2016.0,ChEMBL
C=C(CN1CCOCC1)c1ccc(NC(=O)c2ncc(C#N)[nH]2)c(C2=CCCCC2)c1,1,8.41,2015.0,ChEMBL
C=C(CNC)c1ccc(NC(=O)c2nc(C#N)c[nH]2)c(C2=CCCCC2)c1,1,8.8,2015.0,ChEMBL
C=C(CNC)c1ccc(NC(=O)c2nc(C#N)c[nH]2)c(C2=CCCCC2)c1.O=C(O)C(F)(F)F,1,8.8,2016.0,ChEMBL
C=C(CNCCOC)c1ccc(NC(=O)c2nc(C#N)c[nH]2)c(C2=CCCCC2)c1,1,8.89,2015.0,ChEMBL
C=C(CNCCOC)c1ccc(NC(=O)c2nc(C#N)c[nH]2)c(C2=CCCCC2)c1.O=C(O)C(F)(F)F,1,8.89,2016.0,ChEMBL
C=CC(=O)N1CCN(CCCn2c(=O)c(-c3c(Cl)c(OC)cc(OC)c3Cl)cc3cnc(NC)nc32)CC1,1,8.09,2017.0,ChEMBL
C=CC(=O)N1CCN(c2ccc(NC(=O)Nc3ccc(-c4cc(C(=O)NC(C)C)c5ncccc5n4)cc3)cc2C(F)(F)F)CC1,1,6.1,2024.0,ChEMBL
C=CC(=O)N1CCN(c2ccc(NC(=O)Nc3ccc(-c4cc(C(=O)NC)c5ncccc5n4)cc3)cc2C(F)(F)F)CC1,1,6.71,2024.0,ChEMBL
