smiles,label,pchembl,year,source
Br.Br.CCCN(CCc1cc(O)c(CCN(CCC)[C@H]2CCc3c(O)cccc3C2)cc1O)[C@H]1CCc2c(O)cccc2C1,1,8.81,2023.0,ChEMBL
Br.CCCN(CCC)C1CCc2ccc(O)cc2C1,1,8.59,2012.0,ChEMBL
Br.CCCN1C[C@H](c2ccc(O)cc2)C[C@@H]2c3cc(O)c(O)cc3CC[C@H]21,1,8.15,2012.0,ChEMBL
Br.CN1CCc2ccccc2Cc2ccc(O)cc2CC1,1,7.28,2006.0,ChEMBL
Br.Oc1ccc([C@H]2CN[C@@H]3CCc4cc(O)c(O)cc4[C@H]3C2)cc1,1,7.3,2012.0,ChEMBL
Br.c1ccc(N2CCN(CCCCCNC3=Nc4ccccc4OC3)CC2)cc1,1,6.78,1997.0,ChEMBL
Br.c1ccc2c(c1)CCN(CCCc1nc3ccccc3s1)C2,1,7.1,2016.0,ChEMBL
Brc1ccc(-[n+]2cc[n+](Cc3ccccc3)cc2)c2cc[nH]c12,1,7.25,2013.0,ChEMBL
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,1,7.25,1998.0,ChEMBL
Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,1,6.7,2015.0,ChEMBL
Brc1ccc2c(c1)C1CN(Cc3ccccc3)CC1CO2,1,7.4,1999.0,ChEMBL
Brc1cccc(N2CCN(Cc3cc4ccccn4n3)CC2)n1,1,6.03,2008.0,ChEMBL
Brc1cccc(N2CCN(Cc3cnn4ccccc34)CC2)n1,1,6.39,2008.0,ChEMBL
C#CC1=CCC(N(CCC)CCC)CC1,1,6.72,2008.0,ChEMBL
C#CC1=CCC(N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,1,8.8,2013.0,ChEMBL
C#CC1=CCC(N(CCC)CCCCn2cc(-c3ccc(-c4ccccc4)cc3)nn2)CC1,1,8.55,2008.0,ChEMBL
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cc3ccccc3s2)CC1,1,9.37,2013.0,ChEMBL
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cc3ccccn3n2)CC1,1,8.0,2013.0,ChEMBL
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,1,9.385,2015.0,ChEMBL
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cn(CCCC)nn3)c(OC)c2)CO1,1,9.2,2015.0,ChEMBL
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1,1,9.0,2013.0,ChEMBL
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cnn3ccccc23)CC1,1,8.0,2013.0,ChEMBL
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cc3ccccc3s2)CC1,1,9.62,2013.0,ChEMBL
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cc3ccccn3n2)CC1,1,8.49,2013.0,ChEMBL
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,1,9.145,2015.0,ChEMBL
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cn(CCCC)nn3)c(OC)c2)CO1,1,8.66,2015.0,ChEMBL
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1,1,8.37,2013.0,ChEMBL
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cnn3ccccc23)CC1,1,8.07,2013.0,ChEMBL
C#CCN(CCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2ccc(O)cc2C1,1,8.45,2002.0,ChEMBL
