smiles,label,pchembl,year,source
Brc1ccc2[nH]c3c(c2c1)CCCC3n1cccc1,1,7.89,2022,ChEMBL
C/C(=C\Cc1c(O)c(Cl)c(C)c(C(=O)O)c1O)CC/C=C(\C)CC[C@H](O)C(C)(C)O,0,4.7,2021,ChEMBL
C/C(=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O)CC/C(C)=C(\C)C(C)CCCO,0,4.5,2021,ChEMBL
C/C(=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O)CC/C=C(\C)[C@@H]1CC(=O)C(C)(C)O1,1,6.35,2021,ChEMBL
C/C(=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O)CC/C=C(\C)[C@@H]1C[C@H](O)C(C)(C)O1,1,6.14,2021,ChEMBL
C/C(=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O)CC[C@H]1C(C)(C)C(=O)CC[C@@]1(C)O,0,4.96,2021,ChEMBL
C/C(=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O)CC[C@H]1C(C)(C)C(=O)CC[C@]1(C)O,0,4.47,2021,ChEMBL
C/C(=C\Cc1c(O)cc(C)c(C=O)c1O)CC[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C,0,4.96,2021,ChEMBL
C/C(=C\c1ccc2ccccc2c1)C(=O)Nc1ccc(F)cc1C(=O)O,1,7.39,2022,ChEMBL
C/C(=C\c1ccc2ccccc2c1Br)C(=O)Nc1ccc(F)cc1C(=O)O,1,7.38,2022,ChEMBL
C/C(=C\c1ccc2ccccc2c1Cl)C(=O)Nc1ccc(F)cc1C(=O)O,1,7.5,2022,ChEMBL
C/C(=C\c1ccc2ccccc2c1F)C(=O)Nc1ccc(F)cc1C(=O)O,1,7.36,2022,ChEMBL
C/C(=C\c1ccccc1)C(=O)Nc1ccccc1C(=O)O,1,6.09,2022,ChEMBL
C/C(O)=C(/C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1,6.53,2004,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(-c2cccc(C(F)(F)F)c2)cc1F,1,7.99,2022,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2c(Cl)cccc2Cl)cc1F,1,7.88,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2c(F)cccc2Br)cc1F,1,7.74,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2c(F)cccc2Cl)cc1F,1,7.65,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2c(F)cccc2F)cc1F,1,7.44,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2ccccc2Br)cc1F,1,7.38,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2ccccc2Cl)cc1F,1,7.33,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)c2ccccc2)cc1F,1,7.43,2022,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(Br)cccc2Br)cc1F,1,8.14,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(Cl)cccc2Br)cc1F,1,8.21,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(Cl)cccc2Cl)cc1F,1,8.24,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(F)cccc2Br)cc1F,1,8.17,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(F)cccc2Cl)cc1F,1,8.16,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(F)cccc2F)cc1F,1,7.8,2021,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)c2ccc(Cl)cc2)cc1F,1,7.15,2022,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)c2ccc(F)cc2)cc1F,1,7.14,2022,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)c2cccc(Cl)c2)cc1F,1,7.26,2022,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)c2cccc(F)c2)cc1F,1,7.2,2022,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)c2ccccc2)cc1F,1,7.54,2022,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)c2ccccc2Cl)cc1F,1,7.96,2022,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)c2ccccc2F)cc1F,1,7.62,2022,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)c(Cl)c1,1,7.18,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)cc1C(F)(F)F,0,4.515,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)cc1Cl,1,6.27,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1,1,7.15,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1Cl,1,6.94,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1,1,7.505,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1Cl,1,6.955,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(Cl)c1,1,8.115,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1,1,7.345,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1C(F)(F)F,1,7.225,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1Cl,1,7.205,2009,ChEMBL
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1,6.45,2022,ChEMBL
