smiles,label,pchembl,year,source
Brc1ccc2c(c1)-c1ncnn1Cc1c(-c3cccs3)ncn1-2,1,8.4,2009,ChEMBL
Brc1ccc2c(c1)-c1nncn1Cc1c(I)ncn1-2,1,8.11,2009,ChEMBL
Brc1cccc(-c2cnnc(-c3ccccc3)c2)c1,1,8.1,2005,ChEMBL
Brc1cccc(-c2cnnc(NCc3ccccc3)c2)c1,1,7.72,2005,ChEMBL
Brc1cccc(-c2cnnc(OCc3ccccc3)c2)c1,1,7.2,2005,ChEMBL
C#CCNC(=O)c1ncn2c1Cn1ncnc1-c1cc(F)ccc1-2,1,7.17,2009,ChEMBL
C#Cc1ccc(-n2[nH]c3c(cnc4ccccc43)c2=O)cc1,1,9.77,2000,ChEMBL
C#Cc1ccc2[nH]c3cnc(C(=O)OC(C)(C)C)cc3c2c1,1,6.68,2010,ChEMBL
C#Cc1ccc2[nH]c3cnc(C(=O)OCC(F)(F)F)cc3c2c1,1,6.91,2010,ChEMBL
C#Cc1ccc2c(c1)-c1nc(C)ncc1Cc1c(C(=O)OCC)ncn1-2,1,8.09,2009,ChEMBL
C#Cc1ccc2c(c1)-c1nc(C)ncc1Cc1c(Cl)ncn1-2,1,6.88,2009,ChEMBL
C#Cc1ccc2c(c1)-c1ncnn1Cc1c(C(=O)OCC)ncn1-2,1,9.22,2009,ChEMBL
C#Cc1ccc2c(c1)-c1nncn1Cc1c(C(=O)OCC)ncn1-2,1,8.64,2009,ChEMBL
C#Cc1ccc2c(c1)-c1nncn1Cc1c(Cl)ncn1-2,1,7.47,2009,ChEMBL
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2,1,9.4,2008,ChEMBL
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,1,9.31,2008,ChEMBL
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCCCCCOC(=O)c3ncn4c3CN(C)C(=O)c3cc(C#C)ccc3-4)ncn1-2,1,8.27,2008,ChEMBL
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCCCOC(=O)c3ncn4c3CN(C)C(=O)c3cc(C#C)ccc3-4)ncn1-2,1,7.82,2008,ChEMBL
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCOCOC(=O)c3ncn4c3CN(C)C(=O)c3cc(C#C)ccc3-4)ncn1-2,1,7.12,2008,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CCC[C@@H]1c1c(-c3nc(C)no3)ncn1-2,1,6.8,2000,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CCC[C@@H]1c1c(C(=O)OCC)ncn1-2,1,8.14,2000,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CCC[C@H]1c1c(-c3nc(-c4ccccc4)no3)ncn1-2,1,6.34,2000,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CCC[C@H]1c1c(-c3nc(C(C)C)no3)ncn1-2,1,8.32,2000,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CCC[C@H]1c1c(-c3nc(C)no3)ncn1-2,1,8.43,2000,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CCC[C@H]1c1c(-c3nc(CC)no3)ncn1-2,1,8.62,2000,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CCC[C@H]1c1c(C(=O)OC(C)(C)C)ncn1-2,1,7.4,2004,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CCC[C@H]1c1c(C(=O)OCC(F)(F)F)ncn1-2,1,8.08,2004,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CCC[C@H]1c1c(C(=O)OCC)ncn1-2,1,8.89,2004,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(-c4ccccc4)no3)ncn1-2,1,6.43,2000,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(C(C)C)no3)ncn1-2,1,8.07,2000,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(C)no3)ncn1-2,1,8.14,2000,ChEMBL
C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(CC)no3)ncn1-2,1,7.9,2000,ChEMBL
