smiles,label,pchembl,year,source
Br.Cc1cc(-c2ccccc2)nn(Cc2cc(O)no2)c1=N,1,6.0,1992,ChEMBL
Br.N=c1c2ccccc2c(-c2ccccc2)nn1Cc1cc(O)no1,1,6.82,1992,ChEMBL
Br.N=c1c2ccccc2c(-c2ccccc2)nn1Cc1cc(O)ns1,1,7.199999999999999,1992,ChEMBL
Br.N=c1ccc(-c2ccc(Cl)cc2)nn1Cc1cc(O)no1,1,6.51,1992,ChEMBL
Br.N=c1ccc(-c2ccc(Cl)cc2)nn1Cc1cc(O)ns1,1,7.18,1992,ChEMBL
Br.N=c1ccc(-c2ccc3c(c2)OCO3)nn1CCCC(=O)O,1,7.3,1992,ChEMBL
Br.N=c1ccc(-c2ccc3c(c2)OCO3)nn1Cc1cc(O)no1,1,7.67,1992,ChEMBL
Br.N=c1ccc(-c2ccc3c(c2)OCO3)nn1Cc1cc(O)ns1,1,8.445,1992,ChEMBL
Brc1ccc2[nH]c3cnc4c5ccccc5[nH]c4c3c2c1,1,8.4,2021,ChEMBL
C#CCCOC(=O)c1c(C)nc2sc3c(c2c1N)CCC1(C3)OCCO1,1,6.5,1995,ChEMBL
C#CCOC(=O)c1c(C)nc2sc3c(c2c1N)CCC1(C3)OCCO1,1,6.11,1995,ChEMBL
C#Cc1c(SC)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,1,6.98,2004,ChEMBL
C#Cc1ccc(C2SCC(C(C)(C)C)CS2)cc1,1,7.68,1993,ChEMBL
C(#Cc1ncn2c1COc1ccccc1-2)c1cccnc1,1,6.35,2015,ChEMBL
CC#Cc1ccc(C2SCC(C(C)(C)C)CS2)cc1,1,7.46,1993,ChEMBL
CC(=O)[C@H]1CCC2C3CC[C@H]4C[C@H](O)CC[C@]4(C)C3CC[C@@]21C,1,7.29,2018,ChEMBL
CC(=O)[C@H]1CCC2C3CC[C@H]4C[C@](C)(O)CC[C@]4(C)C3CC[C@@]21C,1,7.1,2018,ChEMBL
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@](C)(O)CC[C@@H]4[C@H]3CC[C@]12C,1,7.26,2015,ChEMBL
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,7.66,2015,ChEMBL
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@@H]4[C@H]3CC[C@]12C,1,7.13,2015,ChEMBL
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,1,6.74,2024,ChEMBL
CC(=O)c1cc2c(s1)CCCC1=C2NN(c2ccc(Cl)cc2)C(=O)C1,1,8.38,2003,ChEMBL
CC(C)(C)C(=O)c1cc2c3ccccc3nc-2c[nH]1,1,6.45,1997,ChEMBL
CC(C)(C)C1CSC(c2ccc(C#CC(=O)C=[N+]=[N-])cc2)SC1,1,6.16,1993,ChEMBL
CC(C)(C)C1CSC(c2ccc(C#CC(=O)O)cc2)SC1,1,8.15,1993,ChEMBL
CC(C)(C)C1CSC(c2ccc(C#CCC(=O)O)cc2)SC1,1,7.64,1993,ChEMBL
CC(C)(C)C1CSC(c2ccc(C#CCCC(=O)C=[N+]=[N-])cc2)SC1,1,6.08,1993,ChEMBL
CC(C)(C)C1CSC(c2ccc(C#CCCC(=O)O)cc2)SC1,1,8.3,1993,ChEMBL
CC(C)(C)C1CSC(c2ccc(C#CCCCO)cc2)SC1,1,6.39,1993,ChEMBL
CC(C)(C)C1CSC(c2ccc(C#CCCO)cc2)SC1,1,6.4,1993,ChEMBL
CC(C)(C)C1CSC(c2ccc(C#CCCP(=O)(O)O)cc2)SC1,1,8.0,1993,ChEMBL
CC(C)(C)C1CSC(c2ccc(C#CCO)cc2)SC1,1,7.12,1993,ChEMBL
CC(C)(C)COC(=O)c1cc2c(cn1)[nH]c1ccccc12,1,6.12,2021,ChEMBL
CC(C)(C)COC(=O)c1cc2c3ccccc3nc-2c[nH]1,1,6.12,1997,ChEMBL
CC(C)(C)COc1cc2c3ccccc3nc-2c[nH]1,1,7.02,1997,ChEMBL
CC(C)(C)OC(=O)c1cc2c(cn1)[nH]c1ccccc12,1,9.0,2021,ChEMBL
CC(C)(C)OC(=O)c1cc2c3ccccc3nc-2c[nH]1,1,8.0,1997,ChEMBL
CC(C)CCOc1cc2c3ccccc3nc-2c[nH]1,1,6.37,1997,ChEMBL
CC(C)COc1cc2c(cn1)[nH]c1ccccc12,1,7.03,1997,ChEMBL
CC(C)OC(=O)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12,1,6.57,2002,ChEMBL
CC(C)Oc1cc2c(cn1)[nH]c1ccccc12,1,6.29,1997,ChEMBL
CC(OC(=O)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12)c1ccccc1,1,6.86,2002,ChEMBL
CC12CC(=O)C3C(CCC4CC(O)CCC43C)C1CC(=N)N2,1,7.7,1992,ChEMBL
CCC#Cc1ccc(C2SCC(C(C)(C)C)CS2)cc1,1,6.16,1993,ChEMBL
CCC(C)Oc1cc2c3ccccc3nc-2c[nH]1,1,6.33,1997,ChEMBL
CCCC(=O)c1cc2c(cn1)[nH]c1ccccc12,1,8.08,2021,ChEMBL
CCCCCCn1c(Cc2cccc(Cl)c2)n[nH]c1=S,1,6.635,2014,ChEMBL
CCCCOc1cc2c(cn1)[nH]c1ccccc12,1,7.01,1997,ChEMBL
CCCCc1cc(N)ncc1C(=O)O,0,4.625,2014,ChEMBL
CCCCc1cc2c(cn1)[nH]c1ccccc12,1,6.64,1997,ChEMBL
CCCCn1c(Cc2cccc(Cl)c2)n[nH]c1=S,1,6.69,2014,ChEMBL
CCCOC(=O)c1cc2c(cn1)[nH]c1ccccc12,1,9.0,2021,ChEMBL
CCCOc1cc2c(cn1)[nH]c1ccccc12,1,8.24,2021,ChEMBL
CCCOc1ccc2[nH]c3cnc(C(=O)OCC)c(COC)c3c2c1,1,9.3,2021,ChEMBL
CCOC(=O)CC#Cc1ccc(C2SCC(C(C)(C)C)CS2)cc1,1,6.34,1993,ChEMBL
CCOC(=O)c1c(C)nc2sc3c(c2c1N)CCC1(C3)OCCO1,0,4.79,1995,ChEMBL
CCOC(=O)c1c(SC)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,1,7.6,2004,ChEMBL
CCOC(=O)c1cc2c(cn1)C(=O)c1ccccc1-2,0,4.59,1997,ChEMBL
CCOC(=O)c1cc2c(cn1)Cc1ccccc1-2,1,6.17,1997,ChEMBL
CCOC(=O)c1cc2c(cn1)[nH]c1ccccc12,1,8.65,2021,ChEMBL
CCOC(=O)c1ncc2[nH]c3ccc(O)cc3c2c1COC,1,9.3,2021,ChEMBL
CCOC(=O)c1ncc2[nH]c3ccc(OC)cc3c2c1COC,1,9.3,2021,ChEMBL
CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC,1,9.3,2021,ChEMBL
CCOC(=O)c1ncc2[nH]c3cccc(OC(C)C)c3c2c1C,1,9.4,2021,ChEMBL
CCOC(=O)c1ncc2[nH]c3cccc(OCc4ccccc4)c3c2c1COC,1,9.7,2021,ChEMBL
CCOC(=O)c1ncc2[nH]c3ccccc3c2c1COC,1,9.3,2021,ChEMBL
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1,9.05,2005,ChEMBL
CCOc1cc2c(cn1)[nH]c1ccccc12,1,7.62,1997,ChEMBL
CN(C(=O)CN)c1ccc(Cl)cc1C(=O)c1c(Cl)cccc1Cl.Cl,1,6.03,1982,ChEMBL
CN(C(=O)CN)c1ccc(Cl)cc1C(=O)c1ccccc1,1,8.0,1982,ChEMBL
