smiles,label,pchembl,year,source
Brc1ccc2c(c1)CC(Nc1nc(-c3cccnc3)nc3ccccc13)C2,1,6.75,2019.0,ChEMBL
C#CCOCCOCCNc1nc(-c2cccnc2)nc2ccccc12,0,4.9,2019.0,ChEMBL
C#CCOc1ccc(C(=O)c2ccc(C(=O)NCCCN3C[C@H](O)[C@@H](O)[C@H](O)[C@H]3CO)cc2)cc1,1,6.46,2010.0,ChEMBL
C#C[C@@H]1[C@@H](O)[C@H](O)CNC12CC2,1,7.994999999999999,2018.0,ChEMBL
C=C(C)c1cccc([C@@H](N)CN(C)S(=O)(=O)c2cc(F)cc(F)c2)c1,1,6.175,2024.0,ChEMBL
C=CCNc1nc(NCCO)nc(N2CCCC2)n1,0,4.4,2007.0,ChEMBL
C=C[C@@H]1[C@@H](O)[C@H](O)CNC12CC2,1,8.145,2018.0,ChEMBL
CC#C[C@@H]1[C@@H](O)[C@H](O)CNC12CC2,1,8.09,2018.0,ChEMBL
CC(=O)N1CCN(c2nc(-c3cccs3)nc3ccccc23)CC1,0,4.34,,ChEMBL
CC(=O)NCCCNC(=S)NCCCN(Cc1ccc(Cl)cc1)c1ccc(Br)cn1,0,4.0,,ChEMBL
CC(=O)Oc1ccc2c3c(c(=O)oc2c1C)CCCC3,0,4.49,,ChEMBL
CC(=O)c1nc(N2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)c2ccccc2n1,0,4.1,,ChEMBL
CC(C)(C)NC(=O)O/N=C1\N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0,4.54,2016.0,ChEMBL
CC(C)(C)OC(=O)N1CCN(c2nc(-c3cccs3)nc3ccccc23)CC1,0,4.29,,ChEMBL
CC(C)(C)OC(=O)NCCC#Cc1ccc2c(c1)CC(Nc1nc(-c3cccnc3)nc3ccccc13)C2,1,6.25,2019.0,ChEMBL
CC(C)(C)OC(=O)NCCCCCC(=O)Nc1ccc(-c2nc(NC3Cc4ccccc4C3)c3ccccc3n2)cc1,1,8.25,2019.0,ChEMBL
CC(C)(C)OC(=O)NCCOCCOCC(=O)Nc1ccc(-c2nc(NC3Cc4ccccc4C3)c3ccccc3n2)cc1,1,7.4,2019.0,ChEMBL
CC(C)(C)Oc1ccccc1Nc1nc(NCCO)nc(N2CCCC2)n1,1,6.48,2007.0,ChEMBL
CC(C)(C)SCC[C@H]1NC[C@@H](O)[C@H](O)[C@H]1O.Cl,1,7.54,2012.0,ChEMBL
CC(C)(C)c1ccc(C(=O)N2CCN(c3nc(N4CCCC4)nc4c3CCC4)CC2)cc1,1,8.25,2023.0,ChEMBL
CC(C)(C)c1ccc(C(=O)N2CCN(c3nc(N4CCCC4)nc4c3COC4)CC2)cc1,1,6.82,2023.0,ChEMBL
CC(C)(O)[C@H]1CNC[C@@H](O)[C@@H]1O,1,7.275,2013.0,ChEMBL
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,0,4.3,2014.0,ChEMBL
CC(C)C(C)NC(=O)CSc1nc2scc(-c3ccco3)c2c(=O)n1-c1ccccc1,0,4.5,,ChEMBL
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OCCCCCN5C[C@H](O)[C@@H](O)[C@H](O)[C@@H]5CO)CC[C@]4(C)[C@H]3CC[C@]12C,0,4.82,2014.0,ChEMBL
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OCCCCCN5C[C@H](O)[C@@H](O)[C@H](O)[C@H]5CO)CC[C@]4(C)[C@H]3CC[C@]12C,1,6.3,2014.0,ChEMBL
CC(C)CCSCC[C@H]1NC[C@@H](O)[C@H](O)[C@H]1O.Cl,1,8.36,2012.0,ChEMBL
CC(C)Cc1noc(CN(C)c2nc(-c3cccnc3)nc3ccccc23)n1,0,4.45,2019.0,ChEMBL
CC(C)N1CCC(Nc2nc(-c3cccnc3)nc3ccccc23)CC1,0,4.48,2019.0,ChEMBL
CC(C)SCC[C@H]1NC[C@@H](O)[C@H](O)[C@H]1O.Cl,1,7.12,2012.0,ChEMBL
CC(F)C[C@@H]1[C@@H](O)[C@H](O)CNC12CC2,1,7.25,2017.0,ChEMBL
CC(F)[C@H]1CNC[C@@H](O)[C@@H]1O,1,7.785,2013.0,ChEMBL
CC(O)[C@H]1CNC[C@@H](O)[C@@H]1O,1,7.27,2013.0,ChEMBL
CC1(C)CCC(Nc2nc(-c3cccnc3)nc3ccccc23)CC1,1,6.37,2019.0,ChEMBL
CC1(C)NC[C@@H](O)[C@H](O)[C@H]1CO,1,6.65,2018.0,ChEMBL
CC1=CC(C)=[N+]2C1=C(CCCCc1cn(C[C@@H]3[C@@H](O)[C@H](O)[C@@H](O)[C@@H]4O[C@H]34)nn1)c1c(C)cc(C)n1[B-]2(F)F,1,8.86,2015.0,ChEMBL
CC1CC(C)CN(C(=O)CSc2nc(Cc3cccs3)nc3ccccc23)C1,0,4.9,,ChEMBL
CC1CCC(Nc2nc(-c3cccnc3)nc3ccccc23)CC1,1,7.25,2019.0,ChEMBL
CC1CCCC(Nc2nc(-c3cccnc3)nc3ccccc23)C1,1,7.1,2019.0,ChEMBL
CC1CCCCC1Nc1nc(-c2cccnc2)nc2ccccc12,1,7.05,2019.0,ChEMBL
CCC#C[C@@H]1[C@@H](O)[C@H](O)CNC12CC2,1,8.62,2018.0,ChEMBL
CCC(=O)OCCNc1nc(-c2ccccc2)nc2ccccc12.Cl,0,4.79,,ChEMBL
CCC(C)Nc1nc(-c2cccc(OC)c2O)nc2ccccc12,0,3.79,,ChEMBL
CCC(O)[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,0,4.38,1992.0,ChEMBL
CCC1CCC(Nc2nc(-c3cccnc3)nc3ccccc23)CC1,1,6.9,2019.0,ChEMBL
CCCC#C[C@@H]1[C@@H](O)[C@H](O)CNC12CC2,1,8.17,2018.0,ChEMBL
CCCC(=O)NCCSCC[C@H]1NC[C@@H](O)[C@H](O)[C@H]1O.Cl,1,6.7,2012.0,ChEMBL
CCCC1CCC(C(=O)Nc2ccc3nc(N4CCOCC4)cc(C)c3c2)CC1,1,6.615,2007.0,ChEMBL
CCCCC(C(=O)c1ccc(OCCN(C)C)cc1)c1ccccc1C(C)C,1,6.16,2020.0,ChEMBL
CCCCCCCC/N=C1/SC[C@@H]2[C@@H](O)[C@H](O)CCN12,0,4.91,2016.0,ChEMBL
CCCCCCCC/N=C1/SC[C@@H]2[C@H](O)[C@H](O)CN12,0,4.63,2016.0,ChEMBL
CCCCCCCC/N=C1/SC[C@H]2[C@H](O)[C@@H](O)CN12,0,4.555,2016.0,ChEMBL
CCCCCCCCCC1NC[C@@H](O)[C@H](O)[C@H]1O,1,8.17,2022.0,ChEMBL
CCCCCCCCCCCC(=O)NC[C@H]1N[C@H](CO)[C@H](O)[C@@H]1O,1,7.0,2001.0,ChEMBL
CCCCCCCCCCCCCCn1cc(CN[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,1,7.05,2010.0,ChEMBL
CCCCCCCCCCCCC[C@@H](O)[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O.Cl,0,4.38,2024.0,ChEMBL
CCCCCCCCCCCCC[C@H](O)[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O.Cl,0,4.18,2024.0,ChEMBL
CCCCCCCCCCCCC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,1,6.11,2023.0,ChEMBL
