smiles,label,pchembl,year,source
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,0,4.602,2011.0,ChEMBL_inactive
CC(=O)N1CCN(c2nc(-c3ccncn3)cc(=O)n2C)[C@H](C)C1,1,7.31,2017.0,ChEMBL
CN1CCC(n2cc(C(=O)Nc3cc4cc(-c5cn(C)nn5)ccc4cn3)cn2)CC1,1,6.49,2020.0,ChEMBL
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0,4.523,2008.0,ChEMBL_inactive
CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,0,4.7,2006.0,ChEMBL
O=C1CC(c2cccs2)Sc2ccccc2N1C(=O)c1ccccc1,0,4.0,2013.0,ChEMBL_inactive
CC(C)C(=O)Nc1cc(C(=O)Nc2cnccc2OCC(F)F)ccn1,1,8.74,2023.0,ChEMBL
CCn1c(=O)c(C(=O)NNC(=O)CCc2ccc(O)cc2)c(O)c2ccccc21,0,4.699,2017.0,ChEMBL_inactive
CC(C)(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3ccon3)n[nH]2)C1,1,7.18,2021.0,ChEMBL
COc1ccc(-c2ccnc(N[C@H]3CO[C@H]4[C@@H]3OC[C@@H]4NC(=O)Nc3cccc(C#N)c3)n2)cc1,1,7.06,2021.0,ChEMBL
Clc1cccc(CSc2nnc(-c3ccncc3)o2)c1,1,6.09,2002.0,ChEMBL
Cn1ncc(-c2ccc3cnc(NC(=O)C4CCC(F)(F)CC4)cc3c2)c1CN1CCC1,1,6.9,2019.0,ChEMBL
O=C(c1cc2cc(F)ccc2[nH]1)N1C[C@]2(CCN(C3CCCNC3)C2)c2ccccc21,0,4.523,2012.0,ChEMBL_inactive
Cc1nnc(-c2ccc3cnc(NC(=O)N4[C@@H]5CC[C@H]4C[C@@H](N)C5)cc3c2)s1,1,6.48,2020.0,ChEMBL
Cc1nnc(-c2ccc3cnc(NC(=O)N4[C@@H]5CC[C@H]4C[C@H](N)C5)cc3c2)s1,1,6.99,2020.0,ChEMBL
CCCC(=O)Nc1n[nH]c2ncc(-c3ccc4ccccc4c3)cc12,1,6.771,2008.0,BindingDB+ChEMBL
CN(c1ncnc2[nH]c3cc(F)ccc3c12)C1CCCN(CCC#N)C1,1,6.008,2022.0,BindingDB+ChEMBL
O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1,1,6.961,2008.0,BindingDB+ChEMBL
COc1ccc(-c2ocnc2C(=O)NCc2ccnc(C(F)(F)F)c2)cc1Cl,1,6.575,2012.0,BindingDB+ChEMBL
COc1cnc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)CC(F)(F)F)C3)[nH]n2)cn1,1,7.789,2021.0,BindingDB+ChEMBL
O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1,1,6.269,2008.0,BindingDB+ChEMBL
COC(=O)c1ccc2c(c1)[nH]c1c(NC(=O)C3CC3)nccc12,1,7.155,2021.0,BindingDB+ChEMBL
Nc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,1,6.3,,ChEMBL
COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@](C)(=N)=O)c2)n1,1,7.06,2020.0,ChEMBL
