smiles,label,pchembl,year,source
Br.Br.COc1ccc(CCNC(=N)SCCCc2c[nH]cn2)cc1,1,7.7,2009,ChEMBL
Br.Br.COc1ccc(CNC(=N)SCCCc2c[nH]cn2)cc1,1,8.1,2009,ChEMBL
Br.Br.Cc1ccc(CCNC(=N)SCCCc2c[nH]cn2)cc1,1,7.9,2009,ChEMBL
Br.Br.Cc1ccc(CNC(=N)SCCCc2c[nH]cn2)cc1,1,8.2,2009,ChEMBL
Br.Br.N=C(N)SCCc1c[nH]cn1,1,10.1,2024,ChEMBL
Br.Br.N=C(NCCC(c1ccccc1)c1ccccc1)SCCCc1c[nH]cn1,1,7.5,2009,ChEMBL
Br.Br.N=C(NCCCc1ccccc1)SCCCc1c[nH]cn1,1,8.0,2009,ChEMBL
Br.Br.N=C(NCCc1ccc(Cl)cc1)SCCCc1c[nH]cn1,1,8.0,2009,ChEMBL
Br.Br.N=C(NCCc1ccc(I)cc1)SCCCc1c[nH]cn1,1,8.1,2009,ChEMBL
Br.Br.N=C(NCCc1ccccc1)SCCCc1c[nH]cn1,1,7.7,2009,ChEMBL
Br.Br.N=C(NCc1ccc(Cl)c(Cl)c1)SCCCc1c[nH]cn1,1,8.2,2009,ChEMBL
Br.Br.N=C(NCc1ccc(F)cc1)SCCCc1c[nH]cn1,1,8.3,2009,ChEMBL
Br.Br.N=C(NCc1ccc(I)cc1)SCCCc1c[nH]cn1,1,8.5,2009,ChEMBL
Br.Br.N=C(NCc1cccc(Cl)c1)SCCCc1c[nH]cn1,1,8.1,2009,ChEMBL
Br.Br.N=C(NCc1ccccc1)SCCCc1c[nH]cn1,1,8.1,2009,ChEMBL
Br.Br.N=C(NCc1ccccc1Cl)SCCCc1c[nH]cn1,1,8.1,2009,ChEMBL
Br.Br.NCCCCCc1c[nH]cn1,1,7.43,2020,ChEMBL
Br.Br.c1ncc(CC2CCNCC2)[nH]1,1,9.2,2024,ChEMBL
Br.CC(C)(C)N/C(=N/C1CCCC1)SCCCc1c[nH]cn1,1,7.17,2011,ChEMBL
Br.CCCCN/C(=N/C1CCCC1)SCCCc1c[nH]cn1,1,7.33,2011,ChEMBL
Br.CCCCN/C(=N/Cc1ccc(Cl)c(Cl)c1)SCCCc1c[nH]cn1,1,8.33,2011,ChEMBL
Br.CCCCN/C(=N/Cc1ccc(Cl)cc1)SCCCc1c[nH]cn1,1,8.31,2011,ChEMBL
