smiles,label,pchembl,year,source
C#CC(=O)N1CCC(OC(=O)NCc2ccc(C(=O)Nc3ccccc3N)cc2)CC1,1,6.18,2023,ChEMBL
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,1,7.52,2022,ChEMBL
C#CCN(C)CCCOc1cc(NCc2ccc(/C=C/C(=O)NO)cc2)ccc1Cl,1,6.29,2022,ChEMBL
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,1,6.85,2022,ChEMBL
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,1,6.05,2022,ChEMBL
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,1,6.17,2021,ChEMBL
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,1,7.8,2024,ChEMBL
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,1,7.06,2024,ChEMBL
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cc1,1,7.07,2024,ChEMBL
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1,1,6.26,2024,ChEMBL
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)Nc2cccc(C(=O)NO)c2)cc1,1,6.15,2024,ChEMBL
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)NNCCC)cc3)c2)CC1,1,6.86,2024,ChEMBL
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)Nc4ccccc4N)cc3)c2)CC1,1,6.85,2024,ChEMBL
C#CCNC(=O)CCNc1c(CCCCCC)nc2cc(/C=C/C(=O)NO)ccn12,1,6.85,2014,ChEMBL
C#Cc1ccc(-n2nc(N)c(C(=O)NCc3ccc(C(=O)NO)cc3)n2)cc1,1,8.77,2023,ChEMBL
C#Cc1ccc(-n2nc(N)c(C(=O)NCc3ccc(C(=O)Nc4ccccc4N)cc3)n2)cc1,1,7.11,2023,ChEMBL
C#Cc1ccc(CNC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,1,6.9,2015,ChEMBL
C#Cc1ccc(NC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,1,6.8,2015,ChEMBL
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,1,8.36,2020,ChEMBL
C#Cc1cccc(Nc2ncnc3cc(NC(=O)CCCCCCC(=O)NO)sc23)c1,1,7.53,2017,ChEMBL
C#Cc1cccc(Nc2ncnc3cc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)cc4)ccc23)c1,1,6.1,2012,ChEMBL
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,1,8.35,2010,ChEMBL
C#Cc1cccc(Nc2ncnc3ccc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,0,4.98,2012,ChEMBL
C#Cc1cccc(Nc2ncnc3ccc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)nc4)cc23)c1,1,6.51,2012,ChEMBL
C#Cc1cccc(Nc2ncnc3ccc(OCc4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,1,7.39,2012,ChEMBL
