smiles,label,pchembl,year,source
Br.CCCN(CCC)[C@@H]1Cc2cccc3nc(O)n(c23)C1,1,7.04,1992.0,ChEMBL
Br.c1ccc2c(c1)CCN(CCCc1nc3ccccc3s1)C2,1,7.02,2016.0,ChEMBL
Brc1ccc2[nH]cc(CCCN3CCN(CCCc4c[nH]c5ccccc45)CC3)c2c1,1,7.82,2013.0,ChEMBL
Brc1ccc2c(c1)c1c3n2CCN(Cc2ccccc2)C3CCC1,0,4.58,2015.0,ChEMBL
Brc1ccccc1OCC1=NCCN1,1,6.25,2013.0,ChEMBL
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4S(=O)(=O)c3ccccc3)CC2)cc1,1,6.17,2020.0,ChEMBL
C#CCN1CCC(CCC(=O)c2ccc(N3CCN(CCCCc4c[nH]c5ccc(C#N)cc45)CC3)cc2)CC1,1,7.54,2022.0,ChEMBL
C#CCOc1c(OC)cc2c3c1-c1cc(N)ccc1CC3N(C)CC2,1,6.37,2020.0,ChEMBL
C#CCOc1c(OC)cc2c3c1-c1cc(NC(=O)CCC)ccc1CC3N(C)CC2,1,6.18,2020.0,ChEMBL
C#CCOc1c(OC)cc2c3c1-c1cc(NC(N)=O)ccc1CC3N(C)CC2,1,6.04,2020.0,ChEMBL
C#CCOc1c(OC)cc2c3c1-c1cc(NS(C)(=O)=O)ccc1CC3N(C)CC2,1,6.29,2020.0,ChEMBL
C#CCOc1c(OC)cc2c3c1-c1cc([N+](=O)[O-])ccc1CC3N(C)CC2,1,6.69,2020.0,ChEMBL
C#CCOc1cccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3,1,7.3,2010.0,ChEMBL
C#CCOc1cccc2c1-c1cccc3c1[C@@H](C2)N(CCC)CC3,1,7.26,2010.0,ChEMBL
C#Cc1c[nH]c(CN2CCN(c3ccccc3)CC2)c1,1,6.57,2002.0,ChEMBL
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1,6.22,2023.0,ChEMBL
C(=C/c1ccccc1)\CN1CCN(c2nc3ccsc3n3cccc23)CC1,1,7.08,1996.0,ChEMBL
C/C(=N\OC(=O)Nc1ccccc1)c1cccc(-c2cccs2)c1,1,9.0,2010.0,ChEMBL
C/C=C/COc1cccc2c1-c1cccc3c1[C@@H](C2)N(CCC)CC3,1,7.96,2010.0,ChEMBL
C/C=C1\C[N@@+]2([O-])CCc3c([nH]c4ccccc34)[C@@H]2C[C@@H]1[C@H](CO)C(=O)OC,0,4.94,2019.0,ChEMBL
C1=C(CCN2CCc3ccccc3C2)CCc2ccccc21,1,6.86,2016.0,ChEMBL
C1=C(c2c[nH]c3ccccc23)CC2CCC1N2CCOc1cccc2[nH]ccc12,1,6.95,2004.0,ChEMBL
