smiles,label,pchembl,year,source
Br.Br.CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1,1,7.26,2003.0,ChEMBL
Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,1,6.9,2024.0,ChEMBL
Brc1ccc(N2CCNCC2)c2ccccc12.O=C(O)C(=O)O,1,7.27,2005.0,ChEMBL
Brc1ccc(OCCc2ccccc2)c(OC2CNC2)c1,1,7.57,2018.0,ChEMBL
Brc1ccc(Oc2ccccc2)c(OC2CNC2)c1,1,7.34,2018.0,ChEMBL
Brc1ccc2c(c1)c1c3n2CCN(Cc2ccccc2)C3CCC1,0,4.89,2015.0,ChEMBL
Brc1cccc(Cn2ccc3c(N[C@H]4CCNC4)nc4ccccc4c32)c1.Cl,1,8.0,2023.0,ChEMBL
C#CCN(C)Cc1ccc(OCCCCCCN2CCN(c3cccc4c3ccn4Cc3cccc(Cl)c3)CC2)cc1,1,6.86,2020.0,ChEMBL
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4Cc3cccc(Cl)c3)CC2)cc1,1,6.85,2020.0,ChEMBL
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4S(=O)(=O)c3ccccc3)CC2)cc1,1,6.745,2020.0,ChEMBL
C#CCN(C)Cc1ccc(OCCCCN2CCN(c3cccc4c3ccn4Cc3cccc(Cl)c3)CC2)cc1,1,6.71,2020.0,ChEMBL
C#CCN(C)Cc1ccc(OCCCCN2CCN(c3cccc4c3ccn4S(=O)(=O)c3ccccc3)CC2)cc1,1,7.27,2020.0,ChEMBL
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)NNCCC)cc3)c2)CC1,0,4.51,2024.0,ChEMBL
C#CCNC1CCc2c(OCCCCCCN3CCN(c4cccc5c4ccn5Cc4cccc(Cl)c4)CC3)cccc21,1,6.59,2020.0,ChEMBL
C#CCNC1CCc2c(OCCCCCN3CCN(c4cccc5c4ccn5Cc4cccc(Cl)c4)CC3)cccc21,1,6.65,2020.0,ChEMBL
C#CCNC1CCc2c(OCCCCCN3CCN(c4cccc5c4ccn5S(=O)(=O)c4ccccc4)CC3)cccc21,1,7.29,2020.0,ChEMBL
C#CCNC1CCc2c(OCCCCN3CCN(c4cccc5c4ccn5Cc4cccc(Cl)c4)CC3)cccc21,1,6.95,2020.0,ChEMBL
C#CCNC1CCc2c(OCCCCN3CCN(c4cccc5c4ccn5S(=O)(=O)c4ccccc4)CC3)cccc21,1,7.3,2020.0,ChEMBL
