smiles,label,pchembl,year,source
C#Cc1cc(C(=O)O)sc1SC,0,3.32,2022,ChEMBL
C#Cc1ccc(-c2cnco2)cc1,0,2.96,2022,ChEMBL
C=CCOC(=O)/N=c1\oc2cc(N(CC)CC)ccc2cc1-c1nc2ccccc2s1,0,4.805,2020,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3cc(C)c(C(=O)O)c(C)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O,1,7.275,2022,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3cc(F)c(C(=O)O)c(F)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O,1,7.555,2022,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3ccc(-c4nnn[nH]4)cc3)c2CSC[C@H](C(=O)N(C)C)NC1=O,1,6.27,2022,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3ccc(C(=O)O)c(C(F)(F)F)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O,1,7.125,2022,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3ccc(C(=O)O)c(C)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O,1,7.34,2022,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3ccc(C(=O)O)c(F)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O,1,7.275,2022,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3ccc(C(=O)O)c([N+](=O)[O-])c3)c2CSC[C@H](C(=O)N(C)C)NC1=O,1,7.265000000000001,2022,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3ccc(C(=O)O)cc3)c2CSC[C@H](C(=O)N(C)C)NC1=O,1,7.279999999999999,2022,ChEMBL
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3ccc(C(=O)O)s3)c2CSC[C@H](C(=O)N(C)C)NC1=O,1,7.35,2022,ChEMBL
CC(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O,1,7.2,2018,ChEMBL
CC(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O,1,6.77,2020,ChEMBL
CC(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,1,6.61,2016,ChEMBL
CC(=O)N[C@@H](CC(=O)O)C(=O)N1CSC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1CCCCC1)C(=O)O)[C@@H](C)O,1,7.38,2020,ChEMBL
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,1,6.14,2016,ChEMBL
CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O,1,7.43,2016,ChEMBL
CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O,1,7.35,2018,ChEMBL
