smiles,label,pchembl,year,source
CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccccc12,0,4.92,2012.0,ChEMBL
C#CCN(CCO)CCCOc1cc(N)c(Cl)cc1Cl,1,8.119,,BindingDB
COc1ccc2c(=O)c3ccccc3oc2c1O,0,4.75,2004.0,ChEMBL
C#CCOc1ccc(-c2cc(-c3ccccc3OCC#C)nc(-c3ccccc3)n2)cc1,0,4.66,2019.0,ChEMBL
Fc1ccc([C@@H]2C[C@H]2NC[C@H]2CC[C@H](Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)cc1F,0,4.68,2019.0,ChEMBL
COc1ccc(CN[C@H]2CC2c2ccccc2)c(C)c1C,0,4.67,2015.0,ChEMBL
NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Cl)cc1,0,4.16,2010.0,ChEMBL
Cc1cc(=O)c(O)c(CO)n1CCCn1cc(COc2ccc3ccc(=O)oc3c2)nn1,1,7.55,2022.0,ChEMBL
CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3cc(F)ccc3C(F)(F)F)cc2)CC1,0,4.83,2013.0,ChEMBL
CN1CCN(C(=O)CNC2CC2c2ccc(-c3cc(F)ccc3C(F)(F)F)cc2)CC1,0,4.82,2011.0,ChEMBL
O=C1c2ccccc2-c2nccc3cc(OCCCCCN4CCN(c5cccc(Cl)c5Cl)CC4)cc1c23,1,8.221,2022.0,BindingDB+ChEMBL
N#CC1(CS(=O)(=O)c2ccc(OC/C(=C/F)CN)cc2)CCOCC1,0,4.7,2022.0,ChEMBL
O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,0,4.94,2018.0,ChEMBL
C#CCNC1CCc2c(OC(=O)N(C)C)cccc21,1,7.278,2022.0,BindingDB+ChEMBL
Cc1ccc(-c2cccc(S(=O)(=O)c3cnc(CN)s3)c2)cc1,0,4.57,2017.0,ChEMBL
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,1,8.32,2014.0,ChEMBL
Clc1ccccc1CN=Nc1nc2ccccc2nc1Cc1ccccc1,1,8.237,,BindingDB
COc1cccc(C2CC(c3ccc(C)cc3)=NN2C(=O)Cn2c(=O)oc3ccccc32)c1OC,1,7.55,2021.0,ChEMBL
N[C@H]1C[C@@H]1c1ccccc1,1,6.33,2018.0,BindingDB+ChEMBL
N[C@@H]1C[C@@H]1c1ccccc1,0,4.96,2008.0,ChEMBL
Fc1cccc(CN[C@H]2CC2c2ccccc2)c1,0,4.75,2015.0,ChEMBL
c1ccc(C2C[C@@H]2NCCC2CCCCC2)cc1,0,4.69,2019.0,ChEMBL
COc1cccc(/C=C/C(=O)c2ccco2)c1,0,4.72,2013.0,ChEMBL
CC1=NN(C(=O)CN2CCOCC2)C(c2cc(Cl)ccc2O)C1,0,4.88,2015.0,ChEMBL
COc1ccc(C(=O)N2N=C(c3cc(Br)ccc3O)C[C@@H]2c2ccc(C)cc2)cc1,0,4.1,2014.0,ChEMBL
O=[N+]([O-])c1ccc(N/C(S)=N/CCCn2ccnc2)cc1,0,4.44,2025.0,ChEMBL
CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,1,8.048,2004.0,BindingDB+ChEMBL
Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,1,6.625,2010.0,BindingDB+ChEMBL
O=[N+]([O-])c1ccc(-c2csc([N]N=C3[C][C][C][C]3)n2)cc1,1,6.463,,BindingDB
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,1,6.101,2022.0,BindingDB+ChEMBL
NCCCCc1ccccc1,0,4.51,2008.0,ChEMBL
COc1cc(C2=NN(S(=O)(=O)c3ccc(C)cc3)C(c3ccccc3)C2)ccc1O,1,7.221,2016.0,BindingDB+ChEMBL
CC(=O)c1ccc(OCc2ccc(Cl)cc2)cc1O,0,4.6,2016.0,ChEMBL
CSc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,0,4.83,2009.0,ChEMBL
O=C1OCc2ccc(NCc3ccccc3)cc21,0,4.22,2013.0,ChEMBL
C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,1,7.221,2014.0,BindingDB+ChEMBL
c1ccc2c(c1)[nH]c1cnccc12,1,6.58,2018.0,ChEMBL
COc1cc(/C=C/C(=O)N2CCc3ccccc3C2)ccc1OC(=O)N(c1ccccc1)c1ccccc1,0,4.77,2020.0,ChEMBL
Cc1cc(OC(F)(F)F)ccc1-c1ccc2cc(-n3ccnc3)ccc2n1,1,6.551,2014.0,BindingDB+ChEMBL
O=C1CC(c2ccccc2)Cc2nc(Nc3ccc(Cl)c(Cl)c3)ncc21,0,4.62,2025.0,ChEMBL
C#CCN(C)CC(=C)c1cccc(COc2ccc(F)cc2)c1,1,8.85,2015.0,ChEMBL
O=S(=O)(c1cccc(Cl)c1)N1CCc2cc(C3CC3NCC3CCNCC3)ccc21,0,4.13,2022.0,ChEMBL
CN1C(=N)N/C(=C\c2c[nH]c3cc(Br)ccc23)C1=O,1,6.78,2012.0,ChEMBL
O=C1CCc2cc(OCc3ccccc3)ccc2N1,0,4.6,2013.0,ChEMBL
C#CCN(C)CCCOc1cc(N)c(Cl)cc1Cl,1,7.827,2023.0,BindingDB+ChEMBL
O=C(NCCCN1CCOCC1)c1cc2ccccc2oc1=O,0,4.37,2014.0,ChEMBL
CC(=O)c1ccc(OCCN2CCN(Cc3ccccc3)CC2)cc1O,0,4.58,2019.0,ChEMBL
N[C@H]1CC[C@H](N[C@@H]2C[C@H]2c2ccccc2)CC1,0,4.35,2016.0,ChEMBL
