smiles,label,pchembl,year,source
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,0,4.6,2011.0,ChEMBL
Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O,1,6.85,2011.0,BindingDB+ChEMBL
CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccccc12,0,4.37,2012.0,ChEMBL
COc1ccc(C2CC(c3ccccc3)=NN2C(=O)Cn2c(=O)oc3ccc(Cl)cc32)cc1OC,0,4.3,2021.0,ChEMBL
Cc1ccc(/C=N/c2ccc(OCc3ccccc3)cc2)c(O)c1,0,4.61,2017.0,ChEMBL
CC(C)(C)C(=O)N1CCc2cc(C3CC3NCC3CCNCC3)ccc21,0,4.15,2022.0,ChEMBL
COc1ccc(/C=C2\COc3ccccc3C2=O)cc1O,1,6.321,2011.0,BindingDB+ChEMBL
C#CCOc1ccc(-c2cc(-c3ccccc3OCC#C)nc(-c3ccccc3)n2)cc1,0,4.84,2019.0,ChEMBL
Cc1cccc(COc2ccc3occc(=O)c3c2)c1,1,7.721,2012.0,BindingDB+ChEMBL
Fc1ccccc1-c1nc2ccc(N3CCCCC3)nc2o1,1,6.179,2013.0,BindingDB+ChEMBL
O=C(/C=C/c1ccc(Cl)cc1)c1ccccc1,1,6.02,2020.0,ChEMBL
Fc1ccc([C@@H]2C[C@H]2NC[C@H]2CC[C@H](Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)cc1F,0,4.69,2019.0,ChEMBL
COc1ccc(CN[C@H]2CC2c2ccccc2)c(C)c1C,0,4.6,2015.0,ChEMBL
Cn1c(=O)c2c(cc(/C=C/c3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,1,6.32,2013.0,ChEMBL
NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Cl)cc1,0,4.41,2010.0,ChEMBL
Cc1cc(=O)c(O)c(CO)n1CCCn1cc(COc2ccc3ccc(=O)oc3c2)nn1,1,6.17,2020.0,ChEMBL
O=C(O)c1cc2ccccc2oc1=O,1,7.765,2013.0,BindingDB+ChEMBL
O=C1c2ccccc2-c2nccc3cc(OCCCCCN4CCN(c5cccc(Cl)c5Cl)CC4)cc1c23,1,6.05,2022.0,ChEMBL
N[C@H]1C[C@@H]1c1ccc(-c2cc(Cl)cc(Cl)c2)nc1,1,6.26,2017.0,BindingDB+ChEMBL
